str_no_string|CHYBÍ TEXT!
str_give_up_fight|Chceš opravdu odejít?
str_do_you_wish_to_leave_tutorial|Chceš ukončit výcvik?
str_do_you_wish_to_surrender|Chceš opravdu se vzdát?
str_can_not_retreat|Nemůžeš se stáhnout, všude kolem jsou nepřátelé!
str_s1_joined_battle_enemy|{s1} se k bitvě připojuje na straně nepřítele.
str_s1_joined_battle_friend|{s1} se k bitvě připojuje na tvé straně.
str_entrance_to_town_forbidden|Městské stráže bedlivě pátrají po samozvaném uchazeči o trůn. Nepodaří se ti kolem nich projít nepozorovaně.
str_sneaking_to_town_impossible|Městské stráže mají pohotovost. Nepodaří se ti kolem nich proplížit ani v tom nejlepším převleku.
str_battle_won|Vyhráváš!
str_battle_lost|Prohráváš!
str_attack_walls_success|Po urputném boji se tvým statečným vojákům podařilo vytlačit nepřítele z hradeb.
str_attack_walls_failure|Tví vojáci jeden po druhém padají mrtví z hradeb. Ta hrstka, které se podařilo přežít, nespořádaně ustupuje.
str_attack_walls_continue|V této krvavé bitvě obě strany bojují zhruba stejně silně. Navzdory úporné snaze tvých vojsk zůstává pevnost stále v rukou nepřátel.
str_order_attack_success|Tví vojáci bojovali statečně a porazili nepřítele.
str_order_attack_failure|Se vzrůstajícím zoufalstvím pozoruješ, jak nepřítel pobíjí tvé vojsko a pak snadno rozežene hrstku přeživších.
str_order_attack_continue|Přestože tvá družina bojovala dlouho a ze všech sil, nepodařilo se jí zvítězit.
str_join_order_attack_success|Tví vojáci bojovali po boku svých spojenců, společně slavně porazili nepřítele a teď se podělí se o slávu.
str_join_order_attack_failure|Se vzrůstajícím zoufalstvím pozoruješ, jak nepřítel pobíjí tvé vojsko a pak snadno rozežene hrstku přeživších.
str_join_order_attack_continue|Přestože tvé jednotky i tví spojenci bojovali urputně a ze všech sil, nepodařilo se jim zvítězit.
str_siege_defender_order_attack_success|Muži z posádky brání hradby zkušeně a odvážně, odrážejí nepřátelské útoky a dovedně mění vlastní neodvratnou porážku v plnohodnotné vítězství.
str_siege_defender_order_attack_failure|Útok se záhy změnil v krveprolití. Statečné úsilí se obrátilo vniveč: nepříliš početné posádce se nepodařilo udržet hradby, a tak všichni obránci brzy zahynuli meči nepřátel.
str_siege_defender_order_attack_continue|Opakované pokusy o dobytí obce vyšly prozatím vniveč, ale ani obránci si dosud nemohou blahopřát k vítězství - nepřátel je stále příliš mnoho. Obléhání pokračuje.
str_hero_taken_prisoner|{s2} získává cenného zajatce. Je jím {s1} z frakce {s3}.
str_hero_freed|{s1}, jehož sídlem je {s3}, osvobozuje jednoho ze zajatců v místě {s2}.
str_center_captured|{s2} přebírá obec {s1}, která původně patřila frakci {s3}.
str_troop_relation_increased|Vztahy, které s tebou má {s1}, se zlepšily z {reg1} na {reg2}.
str_troop_relation_detoriated|Vztahy, které s tebou má {s1}, se zhoršily z {reg1} na {reg2}.
str_faction_relation_increased|Vztahy, které s tebou má {s1}, se zlepšily z {reg1} na {reg2}.
str_faction_relation_detoriated|Vztahy, které s tebou má {s1}, se zhoršily z {reg1} na {reg2}.
str_party_gained_morale|Morálka tvé družiny se zvýšila o {reg1}.
str_party_lost_morale|Morálka tvé družiny se snížila o {reg1}.
str_qst_follow_spy_noticed_you|Zpozoroval tě špeh! Dal se do běhu!
str_father|otec
str_husband|manžel
str_wife|manželka
str_daughter|dcera
str_mother|matka
str_son|syn
str_brother|bratr
str_sister|sestra
str_he|On
str_she|Ona
str_s3s_s2|{s2} {s3}
str_s5_is_s51|{s5} - {s51}.
str_s5_is_the_ruler_of_s51|{s5} je vládcem panství {s51}. 
str_s5_is_a_nobleman_of_s6|{s5} je šlechtic z panství {s6}. 
str_relation_mnus_100|               Nevraživost
str_relation_mnus_90|               Nevraživost
str_relation_mnus_80|               Nevraživost
str_relation_mnus_70|               Nenávist
str_relation_mnus_60|               Nenávist
str_relation_mnus_50|               Nepřátelství
str_relation_mnus_40|               Nepřátelství
str_relation_mnus_30|               Podezřívavost
str_relation_mnus_20|               Podezřívavost
str_relation_mnus_10|               Lhostejnost
str_relation_plus_0|               Lhostejnost
str_relation_plus_10|               Lhostejnost
str_relation_plus_20|               Sympatie
str_relation_plus_30|               Sympatie
str_relation_plus_40|               Podpora
str_relation_plus_50|               Podpora
str_relation_plus_60|               Přátelství
str_relation_plus_70|               Přátelství
str_relation_plus_80|               Oddanost
str_relation_plus_90|               Oddanost
str_relation_mnus_100_ns|{s60} se ti chce pomstít.
str_relation_mnus_90_ns|{s60} se ti chce pomstít.
str_relation_mnus_80_ns|{s60} se ti chce pomstít.
str_relation_mnus_70_ns|{s60} tě nenávidí.
str_relation_mnus_60_ns|{s60} tě nenávidí.
str_relation_mnus_50_ns|{s60} tě nenávidí.
str_relation_mnus_40_ns|{s60} se na tebe zlobí.
str_relation_mnus_30_ns|{s60} má na tebe vztek.
str_relation_mnus_20_ns|{s60} se k tobě chová odmítavě.
str_relation_mnus_10_ns|{s60} se k tobě chová podezřívavě.
str_relation_plus_0_ns|{s60} se k tobě chová lhostejně.
str_relation_plus_10_ns|{s60} se k tobě chová přívětivě.
str_relation_plus_20_ns|{s60} je k tobě vstřícný.
str_relation_plus_30_ns|{s60} je ti příznivě nakloněn.
str_relation_plus_40_ns|{s60} tě podporuje.
str_relation_plus_50_ns|{s60} se k tobě chová přátelsky.
str_relation_plus_60_ns|{s60} se k tobě chová mile.
str_relation_plus_70_ns|{s60} se k tobě chová laskavě.
str_relation_plus_80_ns|{s60} je ti věrným spojencem.
str_relation_plus_90_ns|{s60} je tvým oddaným přítelem.
str_relation_reg1|Vztah: {reg1}
str_center_relation_mnus_100|Obyvatelstvo tě z hloubi duše nenávidí
str_center_relation_mnus_90|Obyvatelstvo tě upřímně nenávidí
str_center_relation_mnus_80|Obyvatelstvo tě silně nenávidí
str_center_relation_mnus_70|Obyvatelstvo tě nenávidí
str_center_relation_mnus_60|Obyvatelstvo k tobě chová nenávist
str_center_relation_mnus_50|Obyvatelstvo se k tobě chová krajně nepřátelsky
str_center_relation_mnus_40|Obyvatelstvo se k tobě chová značně nepřátelsky
str_center_relation_mnus_30|Obyvatelstvo se k tobě chová nepřátelsky
str_center_relation_mnus_20|Obyvatelstvo je proti tobě
str_center_relation_mnus_10|Obyvatelstvo si tě protiví
str_center_relation_plus_0|Obyvatelstvo je k tobě lhostejné
str_center_relation_plus_10|Obyvatelstvo tě uznává
str_center_relation_plus_20|Obyvatelstvo je ochotné ke spolupráci
str_center_relation_plus_30|Obyvatelstvo tě do jisté míry podporuje
str_center_relation_plus_40|Obyvatelstvo tě podporuje
str_center_relation_plus_50|Obyvatelstvo tě všeobecně podporuje
str_center_relation_plus_60|Obyvatelstvo je ti věrné
str_center_relation_plus_70|Obyvatelstvo je ti absolutně věrné
str_center_relation_plus_80|Obyvatelstvo je ti hluboce oddáno
str_center_relation_plus_90|Obyvatelstvo je ti vroucně oddáno
str_town_prosperity_0|Ve městě zvaném {s60} panuje nesnesitelná bída.
str_town_prosperity_10|Zbídačené město {s60} už se téměř vylidnilo.
str_town_prosperity_20|Město {s60} vypadá jako ubohé a bezútěšné místo.
str_town_prosperity_30|Město {s60} vypadá uboze a zanedbaně.
str_town_prosperity_40|Město {s60} těžce bojuje o přežití.
str_town_prosperity_50|Město {s60} není ničím zajímavé.
str_town_prosperity_60|Město {s60} vzkvétá a daří se mu.
str_town_prosperity_70|Město {s60} prosperuje a je tu živo.
str_town_prosperity_80|Město {s60} vypadá jako bohaté a dobře udržované.
str_town_prosperity_90|Město {s60} je plné blahobytu a místní lidé se mají dobře.
str_town_prosperity_100|Bohaté město {s60} přímo kypí životem.
str_village_prosperity_0|Ve vesnici zvané {s60} panuje nesnesitelná bída.
str_village_prosperity_10|Zbídačená vesnice {s60} už se téměř vylidnila.
str_village_prosperity_20|Vesnice {s60} vypadá jako ubohé a bezútěšné místo.
str_village_prosperity_30|Vesnice {s60} vypadá uboze a zanedbaně.
str_village_prosperity_40|Vesnice {s60} těžce bojuje o přežití.
str_village_prosperity_50|Vesnice {s60} vypadá velmi obyčejně.
str_village_prosperity_60|Vesnice {s60} vzkvétá a lidem se tu daří.
str_village_prosperity_70|Vesnice {s60} prosperuje.
str_village_prosperity_80|Vesnice {s60} vypadá blahobytně a spokojeně.
str_village_prosperity_90|Vesnice {s60} je bohatá a vzkvétá.
str_village_prosperity_100|Vesnice {s60}, obklopená širými lány úrodných polí, staví na odiv své bohatství.
str_war_report_minus_4|tuhle válku jsme skoro prohráli
str_war_report_minus_3|situace vypadá bledě
str_war_report_minus_2|věci se pro nás nevyvíjejí moc dobře
str_war_report_minus_1|pokud spojíme své síly, můžeme válku vyhrát
str_war_report_0|máme s nepřítelem zhruba vyrovnané síly
str_war_report_plus_1|máme slušnou šanci vyhrát válku
str_war_report_plus_2|věci se pro nás vyvíjejí dobře
str_war_report_plus_3|měli bychom nad nimi bez problémů zvítězit
str_war_report_plus_4|tuhle válku už máme skoro vyhranou
str_persuasion_summary_very_bad|Snažíš se, jak jen umíš, aby se {s50} nechal přesvědčit, ale žádný z tvých argumentů nepadl na úrodnou půdu. Spolu s rozumnými důvody vždycky řekneš něco nevhodného a můžeš začít znova. Po skončení rozhovoru si uvědomuješ, že se ti nepodařilo předložit žádný přesvědčivý argument, zato jsi svému posluchači pro smích. {s50} z toho nebyl nijak nadšený, což tě ani příliš nepřekvapuje.
str_persuasion_summary_bad|Snažíš ses horem dolem, aby se od tebe {s50} nechal  přesvědčit, ale zjišťuješ, má v téhle debatě nad tebou jasnou výhodu. I když použiješ své nejlepší argumenty, máš co dělat, aby sis je nakonec nenechal rozmluvit. Je ti jasné, že si {s50} bude stát na svém.
str_persuasion_summary_average|{s50} umí se slovy mistrovsky zacházet a tobě se nedaří najít žádný vhodný argument. Nakonec se  vám nepodařilo k ničemu dospět.
str_persuasion_summary_good|Díky bystrosti a šikovné argumentaci se ti podařilo předestřít celý případ v příznivém světle a  {s50} s tebou neochotně souhlasí. Přesto však má ohledně tvé prosby určité pochybnosti.
str_persuasion_summary_very_good|Tvá řeč byla strhující, posluchačům připadala spíše jako básnické či hudební dílo. Celý svět jako by se ztišil a naslouchá ti. Tvými slovy se nechal ovlivnit i {s50} a je ochoten ti pomoci.
str_secret_sign_1|V noci si i almara zatancuje...
str_secret_sign_2|Mám na prodej pěkné turecké gobelíny. Nechceš si nějaký koupit?
str_secret_sign_3|Posílá mě jeden kamarád mého přítele...
str_secret_sign_4|Od východu se zvedá silný vítr a voda v řece rudne krví...
str_countersign_1|Tančí, aby potěšila komodu nebo snad prádelník?
str_countersign_2|Ano, chtěl bych, máš nějaký modrý?
str_countersign_3|Jo, příteli, kamarád tvého přítele by těžko hledal kamaráda, jako jsem já.
str_countersign_4|Není ti dobře?
str_name_1|Sirko
str_name_2|Mozira
str_name_3|Filon
str_name_4|Buchalo
str_name_5|Nečuj
str_name_6|Pupk
str_name_7|Asmund
str_name_8|Björn
str_name_9|Sigmar
str_name_10|Torgeir
str_name_11|Gunštejn
str_name_12|Čert
str_name_13|Okáč
str_name_14|Beznos
str_name_15|Rváč
str_name_16|Chodec
str_name_17|Tabaš
str_name_18|Zamora
str_name_19|Hudec
str_name_20|Barnabáš
str_name_21|Vojtěch
str_name_22|Garša
str_name_23|Bajbak
str_name_24|Ahmed
str_name_25|Akun
str_surname_1|{s50} Šermíř
str_surname_2|{s50} Rozparovač
str_surname_3|{s50} Býčí oko
str_surname_4|{s50} Dlouhokrký
str_surname_5|{s50} Prcek
str_surname_6|{s50} Zlatoústý
str_surname_7|{s50} Hromobij
str_surname_8|{s50} Sivý
str_surname_9|{s50} Lakomý
str_surname_10|{s50} Dobrotivý
str_surname_11|{s50} Ušlechtilý
str_surname_12|{s50} Tuhý kořínek
str_surname_13|{s50} Vychrtlý
str_surname_14|{s50} Šakal
str_surname_15|{s50} Chvastoun
str_surname_16|{s50} Mrchožrout
str_surname_17|{s50} Křižák
str_surname_18|{s50} Dubina
str_surname_19|{s50} Ušatý
str_surname_20|{s50} Mušketa
str_surname_21|{s50} Bílý
str_surname_22|{s50} Černý
str_surname_23|{s50} Zrzoun
str_surname_24|{s50} Hrobařík
str_surname_25|{s50} Železný
str_surname_26|{s50} Prosťáček
str_surname_27|{s50} Starý
str_surname_28|{s50} Dlouhoruký
str_surname_29|{s50} Kanec
str_surname_30|{s50} Hrbatý
str_surname_31|{s50} Bochánek
str_surname_32|{s50} Vypasený
str_surname_33|{s50} Veselák
str_surname_34|{s50} Truchlivý
str_surname_35|{s50} Šilhavý
str_surname_36|{s50} Včelař
str_surname_37|{s50} Nemluva
str_surname_38|{s50} Střelec
str_surname_39|{s50} Srdcežrout
str_surname_40|{s50} Lichvář
str_surname_41|{s50} Vlk
str_surnames_end|konec přízvisek
str_number_of_troops_killed_reg1|Počet zabitých jednotek: {reg1}
str_number_of_troops_wounded_reg1|Počet zraněných jednotek: {reg1}
str_number_of_own_troops_killed_reg1|Počet zabitých spojeneckých jednotek: {reg1}
str_number_of_own_troops_wounded_reg1|Počet zraněných spojeneckých jednotek: {reg1}
str_retreat|Stahujeme se!
str_siege_continues|Boj pokračuje...
str_casualty_display|Tvoje ztráty:^{s10}^^Ztráty protivníka:^{s11}{s12}
str_casualty_display_hp|^Zranili tě za {reg1} bodů zdraví.
str_quest_log_updated|Seznam úkolů se aktualizoval.
str_banner_selection_text|Získáváš právo mít vlastní zástavu. Tvoje zástava je znakem tvého stavu a díky ní se proslavíš. Jakou zástavu si vybereš?
str_retirement_text_1|Příliš pozdě si uvědomuješ, že ti peníze nebudou stačit na dlouhé bezstarostné stáří. O skromné úspory brzy přijdeš a musíš se vrátit k dobrodružnému životu. Ke stáru jsi žebrákem v obci {s9}, kde nuzně živoříš z almužen.
str_retirement_text_2|Příliš pozdě si uvědomuješ, že ti peníze nebudou stačit na dlouhé bezstarostné stáří. O skromné úspory brzy přijdeš a nezbývá ti než se dát na zločineckou dráhu v uličkách města {s9}, kde okrádáš ženské a chudé měšťany o posledních pár měďáků.
str_retirement_text_3|Příliš pozdě si uvědomuješ, že ti peníze nebudou stačit na dlouhé bezstarostné stáří. O skrovné úspory brzy přijdeš a nezbývá ti než se stát hospodským povalečem. Obcházíš krčmy, loudíš pití od shovívavých štamgastů a platíš jim za ně válečnými historkami, kterým beztak už dávno nikdo nevěří.
str_retirement_text_4|Našetřeno sice moc nemáš, ale stačilo ti to na koupi menší polnosti poblíž obce zvané {s7}. Jsi teď svobodným sedlákem, začínají ti dohazovat vhodné partie a ty přemýšlíš o svatbě. Vesničané tě stále považují za místního hrdinu - na slavnostech vždycky sedáváš na čestném místě a o tvých hrdinských skutcích se donekonečna vypráví v hospodách a krčmách.
str_retirement_text_5|Našetřeno sice moc nemáš, ale stačilo ti to na koupi malé hospody v obci {s9}. Místní lidé se tě sice zpočátku báli, ale brzy tě přijali mezi sebe. Po nějaké době začala hospoda hezky prosperovat a stala se oblíbeným dějištěm slavností. Lidé sem začali jezdit i z okolních měst a zpravidla se zdrželi na večeři a nocleh, aby si poslechli  vyprávění o tvé hrdinské minulosti.
str_retirement_text_6|Celý život si uvážlivě šetříš peníze a teď je můžeš chytře investovat. Jsi majitelem několika obchodů a skladišť ve městě zvaném {s9}, kde se brzy stáváš jedním z nejvlivnějších místních obchodníků, tvé bohatství se rozrůstá a tvá obchodní říše je časem stejně vyhlášená jako kdysi tvé bojové schopnosti.
str_retirement_text_7|Jako šlechtic žijící na vlastním panství, i když nevelkém, máš budoucnost v podstatě zajištěnou. Usadíš se ve své državě {s7}, staráš se o vesnice i o přilehlé polnosti, děláš smírčího soudce a plníš všechny povinnosti vůči svému lennímu pánovi. Ten tě občas požádá, ať pro něj naplánuješ vojenské tažení nebo se ujmeš nějakého velení, ale většinou to vyřešíš rychle a k dřívějšímu dobrodružnému životu, jaký jsi {vedl/vedla} v mládí, už se v podstatě nikdy nevrátíš. Máš dost peněz, vlastní pevnost a panství a můžeš si dovolit všechno, po čem toužíš.
str_retirement_text_8|Není pochyb o tom, že se ti vede dobře. Tvé rozsáhlé državy a našetřené peníze ti stačí na bohatý a pohodlný život. Vracíš se na své panské sídlo ve městě {s8}, místo dobrodružství se dáš na politiku a v království svého lenního pána se brzy staneš významnou politickou veličinou. Spřádáš intriky, jezdíš na lov, pořádáš oslavy a plesy a vyprávíš svým hostům tisíce skvělých válečnických historek. Jinými slovy, žiješ si skvěle.
str_retirement_text_9|Tvůj lenní pán ti za dlouhé spolehlivé a věrné služby udělil dědičný titul, takže teď patříš mezi přední šlechtice. Pak tě jmenovali {vládcem/vládkyní} panství {s7} a stáváš se jedním z nejbližších rádců a pobočníků svého vladaře. Díky svému věhlasu máš značný vliv a politickou moc. Zabýváš se teď převážně plánováním mocenských her, správou svých rozsáhlých držav a občas vzpomínáš na staré časy dobrodružství a slávy.
str_retirement_text_10|Přestože jsi prostého původu, tvůj lenní pán si tě vysoce váží, ale i tak se celá země podivila, když ti vládce udělil titul {hraběte/hraběnky} z panství {s9}. Spravuješ teď rozsáhlé léno a bohatství. Brzy se stáváš rádcem svého panovníka, tvá moc a vliv se téměř vyrovnají těm jeho a pomáháš mu se správou říše. Plným právem tě považují za jednu z nejmocnějších osob v celé zemi.
str_loot_village|zaútočit na bezbranné vesničany
str_steal_from_villagers|okrást ubohé vesničany
str_men_hungry|být o hladu
str_men_unpaid|třít bídu s nouzí
str_excessive_casualties|každou bitvu, do které se zapojíš, proměnit v prohru a krveprolití
str_flee_battle|utéct z bitvy
str_fail_quest|nesplnit úkol, ačkoli jsi dal čestné slovo
str_squander_money|utratit peníze svěřené do opatrování
str_murder_merchant|spáchat chladnokrevnou vraždu
str_round_up_serfs|chytat uprchlé nevolníky na příkaz šlechtice
str_battle_fate_1|V žáru bitvy jsme se rozdělili
str_battle_fate_2|Byl jsem zraněn a nechali mě chcípnout
str_battle_fate_3|Nepřítel mě srazil do bezvědomí
str_battle_fate_4|Zajali mě a požadovali za mě výkupné
str_battle_fate_5|Zajali mě, ale podařilo se mi utéct
str_npc_morale_report|Můj názor na tebe: {s6} tvůj výběr společníků, {s7} tvé velitelské schopnosti a {s8}, jak plníš zadané úkoly.
str_happy|velmi se mi líbí
str_content|líbí se mi
str_concerned|nelíbí se mi
str_not_happy|vůbec se mi nelíbí
str_miserable|protiví se mi
str_morale_reg1| Morálka: {reg1}
str_bar_enthusiastic|                   voják je nadšený
str_bar_content|              voják je spokojený
str_bar_weary|          voják je unavený
str_bar_disgruntled|     voják je nespokojený
str_bar_miserable|  voják je zoufalý
str_here_plus_space|tady
str_npc1_intro|Koho to nevidím! Nesloužil jsi pod praporcem knížete Jeremiáše?
str_npc2_intro|Promiň, prosím - my se známe?
str_npc3_intro|{Synu/Dcero}! Dovol, abych požehnal tvé hostině a pronesl zvláštní, velmi krásnou modlitbu, která ti přinese štěstí v boji. A přijde tě to všehovšudy na pár korbelů pěnivého studeného pivečka!
str_npc4_intro|Buď zdráv, kozáku! Nechceš si se mnou vypít pohárek výborné kořalky?
str_npc5_intro|Pane rytíři, dovol mi přisednout si ke tvému stolu.
str_npc6_intro|Buď pozdraven, cizinče! Nehledáš náhodou schopné lidi? Jsem střelec, říkají mi Fjodor...
str_npc7_intro|Jestli se mi chystáš nabídnout nějaký chlast, tak to radši ani nezkoušej!
str_npc8_intro|Isenmese!
str_npc9_intro|Dobrý den. Nejsi náhodou z Litvy?
str_npc10_intro|Victor de la Buscador, k tvým službám!
str_npc11_intro|Myslím, že už se známe. Potřebuji tvou pomoc.
str_npc12_intro|Máš nějakou nezdravou barvu, {pane/paní}. Nechceš to pití trochu omezit?
str_npc13_intro|Jestli chceš něco vyvěštit, nevybral sis dobrou dobu. Předvídám budoucnost, jenom když je měsíc v první čtvrti.
str_npc14_intro|Dobrý den, {pane/paní}. Mají tu vynikající víno, nezdá se ti?
str_npc15_intro|Kam se hrneš, mám tě snad přetáhnout válečkem?
str_npc16_intro|Nechystáš se mi náhodou nabídnout 10 tolarů, když s tebou půjdu na pokoj, že ne? Ať tě to ani nenapadne, na takové mám připravenou ostrou dýku.
str_npc1_intro_response_1|S někým si mě pleteš, pantáto. Ale říká se, že v téhle krčmě často vysedává slovutný pan Zagloba. Potřebuju se s ním seznámit.
str_npc2_intro_response_1|Zatím ne. Já jsem {playername}.
str_npc3_intro_response_1|Buď zdráv, svatý otče! Co že se potloukáš po hospodách?
str_npc4_intro_response_1|A co bych si nevypil, s dobrým člověkem...
str_npc5_intro_response_1|Jen si přisedni, vojáku, a povídej - co dělá švédský mušketýr na takovémhle místě?
str_npc6_intro_response_1|Možná i hledám. Ale co to, že máš prostřílený kabát, k tomu halapartnu... Nejsi náhodou dezertér?
str_npc7_intro_response_1|Proč? Nic takového nemám v úmyslu, ani náhodou. Ale já sám si s dovolením pohárek dopřeju...
str_npc8_intro_response_1|Promiň, cos to říkal?
str_npc9_intro_response_1|Myslím, že si mě s někým pleteš, kamaráde.
str_npc10_intro_response_1|Zajímavé jméno. Hispánské?
str_npc11_intro_response_1|Nepamatuju se na tebe. O co jde?
str_npc12_intro_response_1|Omezit pití? A ty jsi kdo, doktor?
str_npc13_intro_response_1|Zajímavé. A proč zrovna v první čtvrti a ne třeba za úplňku?
str_npc14_intro_response_1|Vidím, že se ve víně vyznáš...
str_npc15_intro_response_1|Bože chraň! Jen se mi zdálo, že si možná chceš popovídat. Jak zní tvé ctěné jméno?
str_npc16_intro_response_1|Ani nápad! Naopak, to já se {chtěl/chtěla} se zeptat, jestli tě někdo neotravuje...
str_npc1_intro_response_2|Na srdečné popovídání teď nemám náladu.
str_npc2_intro_response_2|Promiň, spletl jsem se.
str_npc3_intro_response_2|Ty jsi ten poslední, na koho mám dneska náladu... Jdi svou cestou, svatý otče, a bůh ti žehnej...
str_npc4_intro_response_2|Děkuji, ale právě odjíždím.
str_npc5_intro_response_2|Promiň, ale mám naspěch.
str_npc6_intro_response_2|Kdepak, podvedli tě.
str_npc7_intro_response_2|Pro boha svatého, co je mi po tobě?
str_npc8_intro_response_2|Jdi si hezky po svém, mohamedáne. Já té vaší hatmatilce nerozumím.
str_npc9_intro_response_2|Promluvíme si později, příteli. Teď spěchám.
str_npc10_intro_response_2|S radostí. Uvidíme se později.
str_npc11_intro_response_2|Promiň, ale spěchám.
str_npc12_intro_response_2|Seber si své pijavice a kliď se mi z očí, mastičkáři!
str_npc13_intro_response_2|Nevěřím na věštby. Promiň.
str_npc14_intro_response_2|Promiň, ale teď mi není do řeči. Přeju ti pěkný večer...
str_npc15_intro_response_2|Kdepak! Jsem už na odchodu...
str_npc16_intro_response_2|Uklidni se, jen jsem se {chtěl/chtěla} zeptat, kudy se jde ven. Tak či tak už jdu pryč.
str_npc1_backstory_a|Tak to máš štěstí, {synku/děvenko}. Pan Zagloba jsem totiž já!
str_npc2_backstory_a|Jsem poslední ze starobylého rodu rumunské šlechty. Můj proslulý předek, Vlad III. Tepeš zvaný Drákula, byl metlou Turků a vládcem Transylvánie!
str_npc3_backstory_a|Od jisté doby... jak bych to tak řekl... už nenosím sutanu služebníků božích.
str_npc4_backstory_a|Všichni mi říkají Mamaj. Jsem potomkem toho slavného kozáka, o kterém zpívají všichni kobzaři. Sice na rozdíl od něj nestačí, abych si vytřepal gatě, a hned jde k zemi deset lechů, ale vím, jak se drží v ruce píka. 
str_npc5_backstory_a|Však já taky nemám dovolenku. Jsem dočasně mimo službu.
str_npc6_backstory_a|Máš pravdu. Utekl jsem ze služby. Ale to by na mém místě udělal každý! Já jsem z Tuly a posledních pár let jsem sloužil v Moskvě u střelců. Poctivě jsem plnil všechny rozkazy. Ale pro carský dvůr jsem nebyl nic než dobytek.
str_npc7_backstory_a|Víno, kořalka, šnaps - to je prokletí mého života. Sotva si smočím rty v nějakém silnějším chlastu, začne mě svědit celé tělo a naskáče mi vyrážka...
str_npc8_backstory_a|Promiň, spletl jsem se. "Isenmese" znamená tatarsky "Ty ještě žiješ?" Je to něco v tom smyslu jako vaše "Jak se ti vede?".
str_npc9_backstory_a|Promiň, prosím. Dovol, abych se představil - Olgerd. Příjmení bych si radši nechal pro sebe.
str_npc10_backstory_a|Jsem potomkem starobylého rodu, jehož državy se nacházejí ve Starém i Novém světě. Buscadorové bojovali snad ve všech válkách, co jich od dob Rekonkvisty bylo.
str_npc11_backstory_a|Honí mě chánovi lidé. Tři koně jsem uhnal, než jsem jim utekl, a nakonec jsem se schoval tady.
str_npc12_backstory_a|Pocházím z Kyjeva. Studoval jsem na kyjevské bratrské koleji, tam jsem byl také promován a pak jsem si zřídil lékařskou praxi. Donedávna jsem léčil kozáky z kureněvského předměstí. Převážně potřebovali vyléčit z kocoviny, také jsem pouštěl žilou, raněným jsem dělal převazy. A byl bych si nežil špatně, kdybych nebyl narazil na francouzského kartografa... jak on se jmenoval... Guillaume Le Vasseur de Beauplan. Když projížděl Kyjevem, vážně onemocněl. Tak mě k němu povolali, abych mu přiložil pijavice.
str_npc13_backstory_a|Jsem Oksana, vědma. Věštecké umění v mé rodině předávají babičky svým vnučkám už od nepaměti. 
str_npc14_backstory_a|Ještě aby ne. Jsem vojenská markytánka, mám patent od samotného švédského krále. Donedávna jsem mu věrně sloužila.
str_npc15_backstory_a|Jmenuju se Varvara, rodem z Novgorodu. Tam jsem taky žila celý život, dokud jsem neovdověla.
str_npc16_backstory_a|Jestli mě někdo neobtěžuje? Mě? Nikdo z těch, kteří se mě pokusili obtěžovat, už dávno není naživu.
