qst_deliver_message|Doručení zprávy
qst_oim_tzr_korsar|Carský korzár
qst_oim_tzr_korsar_text|Carský korzár
qst_oim_potop_main|Potopa
qst_oim_potop_main_text|Potopa
qst_oim_potop_find_zagloba|Pan Zagloba
qst_oim_potop_find_zagloba_text|Pan Zagloba
qst_oim_potop_deliver_letter|Špatné zprávy pro krále
qst_oim_potop_deliver_letter_text|Špatné zprávy pro krále
qst_oim_potop_deliver_swedish_solders|Nájezd do švédského zázemí
qst_oim_potop_deliver_swedish_solders_text|Nájezd do švédského zázemí
qst_oim_potop_deliver_swedish_troops_reward|Jít si vybrat odměnu
qst_oim_potop_deliver_swedish_troops_reward_text|Jít si vybrat odměnu
qst_oim_potop_defend_church|Polská svatyně
qst_oim_potop_defend_church_text|Polská svatyně
qst_oim_potop_defend_get_back_warshaw|Varšava
qst_oim_potop_defend_get_back_warshaw_text|Varšava
qst_oim_potop_capture_swedish_lord|Protestantské bludy
qst_oim_potop_capture_swedish_lord_text|Protestantské bludy
qst_oim_potop_shtirlic|Nový chán
qst_oim_potop_alias|Tatarský společník
qst_oim_potop_alias_text|Tatarský společník
qst_oim_potop_return|Návrat hrdiny
qst_oim_potop_return_text|Návrat hrdiny
qst_oim_potop_kmitic|Chovanský do hlízy!
qst_oim_potop_kmitic_text|Chovanský do hlízy!
qst_oim_potop_volodievskiy|Zloděj koní
qst_oim_potop_volodievskiy_text|Zloděj koní
qst_oim_potop_kshetuskiy|Unesená nevěsta
qst_oim_potop_kshetuskiy_text|Unesená nevěsta
qst_oim_potop_marshal|Ranec s maršálskou holí
qst_oim_potop_marshal_text|Ranec s maršálskou holí
qst_oim_potop_marshal_started|Volby maršála
qst_oim_potop_marshal_started_text|Volby maršála
qst_oim_potop_mission_impossible|Hrdina - osvoboditel
qst_oim_potop_mission_impossible_text|Hrdina - osvoboditel
qst_oim_potop_capture_tszar|Carský lov
qst_oim_potop_capture_tszar_text|Carský lov
qst_oim_potop_king_elections_kings_node|Zaglobovo povstání
qst_oim_potop_king_elections_kings_node_text|Zaglobovo povstání
qst_oim_potop_king_elections_zagloba|Nevyužito
qst_oim_potop_king_elections_zagloba_text|Nevyužito
qst_oim_potop_last_qst|Smrt při odletu
qst_oim_potop_last_qst_text|Smrt při odletu
qst_oim_potop_zagloba_revoult|Císař Zagloba!
qst_oim_potop_zagloba_revoult_text|Císař Zagloba!
qst_oim_potop_invasion_info|Německé pluky
qst_oim_potop_invasion_info_text|Německé pluky
qst_oim_potop_destroy_mercs|Německé pluky
qst_oim_potop_destroy_mercs_text|Německé pluky
qst_oim_potop_dismiss_king|Proticarská koalice
qst_oim_potop_dismiss_king_text|Proticarská koalice
qst_oim_potop_execute_king|Odříct se krále
qst_oim_potop_execute_king_text|Odříct se krále
qst_oim_potop_final_qst|Poslední hranice
qst_oim_potop_final_qst_text|Poslední hranice
qst_oim_getman_defend_villages|Obrana vesnice
qst_oim_getman_defend_villages_text|Obrana vesnice
qst_oim_getman_main|Tajemství Černého hejtmana
qst_oim_getman_main_text|Tajemství Černého hejtmana
qst_oim_getman_kozaks_service|Na pochůzkách
qst_oim_getman_kozaks_service_text|Na pochůzkách
qst_oim_getman_za_radzivilla|Za Velikou Litvu!
qst_oim_getman_za_radzivilla_text|Za Velikou Litvu!
qst_oim_getman_radzivill_rebelion|Radzivillovo povstání
qst_oim_getman_radzivill_rebelion_text|Radzivillovo povstání
qst_oim_getman_radzivill_capture_city|První rozkaz
qst_oim_getman_radzivill_capture_city_text|První rozkaz
qst_oim_getman_kiev_capture|Dobytí Kyjeva
qst_oim_getman_kiev_capture_text|Dobytí Kyjeva
qst_oim_getman_kiev_burgomistr|Hlášení kyjevského starosty
qst_oim_getman_kiev_burgomistr_text|Hlášení kyjevského starosty
qst_oim_getman_kiev_burgomistr_gold|Kyjevská legenda
qst_oim_getman_kiev_burgomistr_gold_text|Kyjevská legenda
qst_oim_getman_ask_add_info|Nesdílný Radziville
qst_oim_getman_ask_add_info_text|Nesdílný Radziville
qst_oim_getman_capture_tatarin|Tatarský šlechtic
qst_oim_getman_capture_tatarin_text|Tatarský šlechtic
qst_oim_getman_tampliers_archives|Templářský archiv
qst_oim_getman_tampliers_archives_text|Templářský archiv
qst_oim_getman_nesviz_grobnica_radzivilov|Rodinná hrobka
qst_oim_getman_nesviz_grobnica_radzivilov_text|Rodinná hrobka
qst_oim_getman_nesviz_legend|Nesvižská legenda
qst_oim_getman_nesviz_legend_text|Nesvižská legenda
qst_oim_getman_tayna_knyaza|Tajemství knížecího rodu Olegovičů
qst_oim_getman_tayna_knyaza_text|Tajemství knížecího rodu Olegovičů
qst_oim_getman_borat_dlg|Kníže Borjatynský
qst_oim_getman_voron_book|Boronova kniha
qst_oim_getman_voron_translate|Pafnutij
qst_oim_getman_kozak_legend|Kozácké legendy
qst_oim_getman_barabash|Hejtman Barabáš
qst_oim_getman_nesvizh_pernach|Nesvěž
qst_oim_getman_kill_radzivill|Hejtman Radziville
qst_oim_getman_za_barabasha|Za Barabáše!
qst_oim_getman_caravan|Karavana s dopisem
qst_oim_getman_za_hmelya|Za Chmelnického!
qst_oim_na_rech_pospolitu|Na Rzeczpospolitu!
qst_oim_getman_hmel_reb|Povstání
qst_oim_getman_hmel_casus_beli|Vojenský konflikt
qst_oim_getman_hmel_greate_war|Válka na dvou frontách
qst_oim_getman_korona_vitovta|Witoldova koruna
qst_oim_getman_last_qst|Od moře k moři
qst_oim_na_msk_tsarzd|Na Moskevské carství!
qst_oim_getman_barabash_reb|Povstání!
qst_oim_getman_barabash_casus_beli|Vojenský konflikt
qst_oim_getman_barabash_greate_war|Válka na dvou frontách
qst_oim_dmitriy_main|Carská tajemství.
qst_dmitriy_loot_villages|Vyplenit vesnice
qst_oim_dmitriy_gerasim|Gerasim Evangelík
qst_oim_dmitriy_elena|Eleonora
qst_oim_dmitriy_eleonora|Přivézt Eleonoru Karlovi
qst_oim_dmitriy_eleonora_home|Přivézt Eleonoru knížeti...
qst_oim_dmitriy_deliver_letter_msk|Dopis pro cara
qst_oim_dmitriy_deliver_letter_shwed|Dopis pro cara
qst_oim_dmitriy_talk_to_voevoda|Rozhovor s vojvodou
qst_oim_dmitriy_tsar_prison|Carská milost
qst_oim_dmitriy_razin|Stěnka Razin
qst_biyars_specnaz|Za bojary
qst_oim_alevtina_hanum|Alevtina v harému
qst_oim_black_lord|Lžidmitrij III.
qst_oim_black_lord_text|Lžidmitrij III.
qst_oim_dmitriy_elections|Carské volby
qst_oim_dmitriy_elections_text|Carské volby
qst_oim_duel_wound|Zranění v souboji
qst_oim_duel_wound_text|Zranění v souboji
qst_oim_alcoholic|Alkoholismus
qst_oim_alcoholic_text|Alkoholismus
qst_oim_illness_1|Zimnice
qst_oim_illness_1_text|Zimnice
qst_oim_illness_2|Podagra
qst_oim_illness_2_text|Podagra
qst_oim_illness_3|Vodnatelnost
qst_oim_illness_3_text|Vodnatelnost
qst_oim_illness_4|Úplavice
qst_oim_illness_4_text|Úplavice
qst_oim_illness_5|Svrab
qst_oim_illness_5_text|Svrab
qst_oim_potop_capture_city|Obsazení města
qst_oim_deliver_caravan|Výprava karavany
qst_oim_trade_pantent|Obchodní patent
qst_oim_hunt_down_thieves|Honba za zloději
qst_oim_get_feast_supplies|Zásoby na hostinu
qst_oim_invest_2|Navrácení peněz
qst_quests_end|Úkol splněn
