str_no_string|NO STRING!
str_siege_defender_order_attack_success|守 军 训 练 有 素 ， 以 高 昂 的 士 气 守 住 了 城 墙 ， 粉 碎 了 敌 人 的 进 攻 ， 将 一 次 威 胁 转 变 成 为 了 敌 人 的 全 面 溃 逃 。 
str_siege_defender_order_attack_failure|战 斗 迅 速 变 成 一 片 血 海 ， 英 勇 的 防 守 化 为 乌 有 ， 守 军 无 法 保 住 城 墙 ， 敌 人 把 每 一 个 防 御 者 斩 于 剑 下 。 
str_siege_defender_order_attack_continue|对 城 墙 接 二 连 三 的 进 攻 依 旧 不 能 换 来 一 个 立 足 点 ， 不 过 防 御 者 想 要 宣 告 胜 利 的 话 还 为 时 过 早 。 攻 城 仍 然 在 继 续 。 
str_hero_taken_prisoner|{s3}的 {s1}被 {s2}俘 虏 。 
str_hero_freed|{s3}的 {s1}被 {s2}成 功 解 救 。 
str_center_captured|{s2}从 {s3}那 里 夺 取 了 {s1}。 
str_troop_relation_increased|你 与 {s1}的 关 系 从 {reg1}提 升 到 {reg2}。 
str_troop_relation_detoriated|你 与 {s1}的 关 系 从 {reg1}恶 化 为 {reg2}。 
str_faction_relation_increased|你 与 {s1}的 关 系 从 {reg1}提 升 到 {reg2}。 
str_faction_relation_detoriated|你 与 {s1}的 关 系 从 {reg1}恶 化 为 {reg2}。 
str_party_gained_morale|你 的 队 伍 获 得 {reg1}士 气 。 
str_party_lost_morale|你 的 队 伍 失 去 {reg1}士 气 。 
str_qst_follow_spy_noticed_you|那 个 间 谍 觉 察 到 你 了 ， 他 准 备 开 溜 了 ！ 
str_father|父 亲 
str_husband|丈 夫 
str_wife|妻 子 
str_daughter|女 儿 
str_mother|母 亲 
str_son|儿 子 
str_brother|兄 弟 
str_sister|姐 妹 
str_he|他 
str_she|她 
str_s3s_s2|{s3}的 {s2}
str_s5_is_s51|{s5}是 {s51}。 
str_s5_is_the_ruler_of_s51|{s5}是 {s51}的 领 主 。 
str_s5_is_a_nobleman_of_s6|{s5}是 {s6}的 贵 族 。 
str_relation_mnus_100|与 你 势 同 水 火 
str_relation_mnus_90|与 你 势 同 水 火 
str_relation_mnus_80|与 你 势 同 水 火 
str_relation_mnus_70|对 你 充 满 敌 意 
str_relation_mnus_60|对 你 充 满 敌 意 
str_relation_mnus_50|非 常 讨 厌 你 
str_relation_mnus_40|非 常 讨 厌 你 
str_relation_mnus_30|开 始 厌 恶 你 
str_relation_mnus_20|开 始 厌 恶 你 
str_relation_mnus_10|面 无 表 情 的 看 着 你 
str_relation_plus_0|面 无 表 情 的 看 着 你 
str_relation_plus_10|面 无 表 情 的 看 着 你 
str_relation_plus_20|友 善 地 看 着 你 
str_relation_plus_30|友 善 地 看 着 你 
str_relation_plus_40|亲 切 地 看 着 你 
str_relation_plus_50|亲 切 地 看 着 你 
str_relation_plus_60|非 常 支 持 你 
str_relation_plus_70|非 常 支 持 你 
str_relation_plus_80|对 你 忠 心 耿 耿 
str_relation_plus_90|对 你 忠 心 耿 耿 
str_relation_mnus_100_ns|{s60}与 你 势 同 水 火 。 
str_relation_mnus_90_ns|{s60}与 你 势 同 水 火 。 
str_relation_mnus_80_ns|{s60}与 你 势 同 水 火 。 
str_relation_mnus_70_ns|{s60}对 你 充 满 敌 意 。 
str_relation_mnus_60_ns|{s60}对 你 充 满 敌 意 。 
str_relation_mnus_50_ns|{s60}狠 狠 地 盯 着 你 。 
str_relation_mnus_40_ns|{s60}非 常 讨 厌 你 。 
str_relation_mnus_30_ns|{s60}开 始 厌 恶 你 。 
str_relation_mnus_20_ns|{s60}警 惕 地 看 着 你 。 
str_relation_mnus_10_ns|{s60}意 味 深 长 地 看 着 你 。 
str_relation_plus_0_ns|{s60}面 无 表 情 的 看 着 你 。 
str_relation_plus_10_ns|{s60}开 始 接 受 你 。 
str_relation_plus_20_ns|{s60}友 善 地 看 着 你 。 
str_relation_plus_30_ns|{s60}亲 切 地 看 着 你 。 
str_relation_plus_40_ns|{s60}热 切 地 望 着 你 。 
str_relation_plus_50_ns|{s60}友 好 地 望 着 你 。 
str_relation_plus_60_ns|{s60}非 常 支 持 你 。 
str_relation_plus_70_ns|{s60}非 常 尊 敬 你 。 
str_relation_plus_80_ns|{s60}为 你 欢 呼 。 
str_relation_plus_90_ns|{s60}对 你 忠 心 耿 耿 。 
str_relation_reg1|关 系 ： {reg1}
str_center_relation_mnus_100|当 地 居 民 与 你 势 同 水 火 
str_center_relation_mnus_90|当 地 居 民 对 你 恨 之 入 骨 
str_center_relation_mnus_80|当 地 居 民 对 你 怒 视 
str_center_relation_mnus_70|当 地 居 民 对 你 充 满 敌 意 
str_center_relation_mnus_60|当 地 居 民 非 常 憎 恨 你 
str_center_relation_mnus_50|当 地 居 民 狠 狠 地 盯 着 你 
str_center_relation_mnus_40|当 地 居 民 非 常 讨 厌 你 
str_center_relation_mnus_30|当 地 居 民 开 始 厌 恶 你 
str_center_relation_mnus_20|当 地 居 民 警 惕 地 看 着 你 
str_center_relation_mnus_10|当 地 居 民 意 味 深 长 地 看 着 你 
str_center_relation_plus_0|当 地 居 民 面 无 表 情 的 看 着 你 
str_center_relation_plus_10|当 地 居 民 开 始 接 受 你 
str_center_relation_plus_20|当 地 居 民 友 善 地 看 着 你 
str_center_relation_plus_30|当 地 居 民 亲 切 地 看 着 你 
str_center_relation_plus_40|当 地 居 民 热 切 地 望 着 你 
str_center_relation_plus_50|当 地 居 民 对 你 交 口 称 赞 
str_center_relation_plus_60|当 地 居 民 非 常 支 持 你 
str_center_relation_plus_70|当 地 居 民 非 常 尊 敬 你 
str_center_relation_plus_80|当 地 居 民 为 你 欢 呼 
str_center_relation_plus_90|当 地 居 民 对 你 忠 心 耿 耿 
str_town_prosperity_0|{s60}镇 的 贫 穷 到 了 不 可 忍 受 的 地 步 。 
str_town_prosperity_10|{s60}镇 看 起 来 相 当 贫 穷 且 凄 凉 。 
str_town_prosperity_20|{s60}镇 看 起 来 非 常 贫 穷 且 荒 芜 。 
str_town_prosperity_30|{s60}镇 看 起 来 很 贫 穷 且 被 忽 视 。 
str_town_prosperity_40|{s60}镇 看 起 来 有 点 贫 穷 且 在 奋 斗 中 。 
str_town_prosperity_50|{s60}镇 似 乎 很 不 起 眼 。 
str_town_prosperity_60|{s60}镇 似 乎 很 繁 荣 。 
str_town_prosperity_70|{s60}镇 似 乎 非 常 有 活 力 。 
str_town_prosperity_80|{s60}镇 看 起 来 很 富 有 而 且 很 气 派 。 
str_town_prosperity_90|{s60}镇 看 起 来 非 常 富 有 而 且 物 质 丰 富 。 
str_town_prosperity_100|{s60}镇 看 起 来 极 其 富 有 而 且 富 丽 堂 皇 。 
str_village_prosperity_0|{s60}村 的 贫 穷 到 了 不 可 忍 受 的 地 步 。 
str_village_prosperity_10|{s60}村 看 起 来 相 当 贫 穷 且 凄 凉 。 
str_village_prosperity_20|{s60}村 看 起 来 非 常 贫 穷 且 荒 芜 。 
str_village_prosperity_30|{s60}村 看 起 来 很 贫 穷 且 被 忽 视 。 
str_village_prosperity_40|{s60}村 看 起 来 有 点 贫 穷 且 在 奋 斗 中 。 
str_village_prosperity_50|{s60}村 似 乎 很 不 起 眼 。 
str_village_prosperity_60|{s60}村 似 乎 很 繁 荣 。 
str_village_prosperity_70|{s60}村 似 乎 非 常 有 活 力 。 
str_village_prosperity_80|{s60}村 看 起 来 很 富 有 而 且 很 气 派 。 
str_village_prosperity_90|{s60}村 看 起 来 非 常 富 有 而 且 物 质 丰 富 。 
str_village_prosperity_100|{s60}村 看 起 来 极 其 富 有 而 且 物 质 丰 富 。 
str_war_report_minus_4|我 们 几 乎 要 输 掉 这 场 战 争 了 
str_war_report_minus_3|现 在 的 形 势 看 起 来 有 些 严 峻 
str_war_report_minus_2|战 事 进 展 得 不 太 顺 利 
str_war_report_minus_1|如 果 我 们 能 振 作 起 来 ， 我 们 还 是 可 以 赢 得 这 场 战 争 的 
str_war_report_0|我 们 与 敌 人 势 均 力 敌 
str_war_report_plus_1|我 们 有 一 定 机 会 赢 得 这 场 战 争 
str_war_report_plus_2|战 事 进 展 得 非 常 顺 利 
str_war_report_plus_3|打 败 他 们 完 全 不 成 问 题 
str_war_report_plus_4|胜 利 就 在 我 们 眼 前 
str_persuasion_summary_very_bad|你 尽 最 大 努 力 去 说 服 {s50}， 但 是 你 没 有 一 个 论 证 是 正 确 的 。 每 次 你 开 始 想 使 表 达 的 东 西 变 得 有 意 义 ， 但 是 你 说 的 东 西 似 乎 都 是 彻 底 错 误 的 ， 以 至 于 使 你 自 己 的 思 路 都 断 了 。 当 你 结 束 交 涉 的 时 候 ， 你 都 没 能 把 你 认 同 的 某 一 个 观 点 表 达 清 楚 ， 而 且 你 意 识 到 你 所 做 的 一 切 是 在 把 自 己 推 进 一 个 越 挖 越 深 的 大 坑 里 。 毫 不 奇 怪 ， {s50}完 全 不 为 你 动 。 
str_persuasion_summary_bad|你 试 着 说 服 {s50}， 但 是 {reg51?她 :他 }从 最 开 始 起 就 提 防 着 你 。 你 再 好 的 辩 论 对 于 你 自 己 的 耳 朵 而 言 也 还 是 那 么 空 洞 。 {s50}同 样 也 没 能 从 你 说 的 东 西 看 出 什 么 高 见 。 
str_persuasion_summary_average|{s50}被 证 实 是 一 个 有 着 尖 锐 思 想 且 很 能 辩 论 的 人 ， 你 基 本 就 没 有 办 法 使 {reg51?她 :他 }反 过 来 接 受 你 的 任 何 观 点 。 最 终 ， 在 这 场 辩 论 中 ， 你 们 两 人 都 没 能 使 对 方 偏 向 各 自 的 立 场 。 
str_persuasion_summary_good|凭 借 敏 捷 的 思 维 和 流 畅 的 辩 论 ， 你 设 法 把 你 的 观 点 论 证 得 很 好 ， 迫 使 {s50}认 同 你 的 一 些 观 点 。 然 而 {reg51?她 :他 }仍 然 对 你 的 要 求 表 示 怀 疑 。 
str_persuasion_summary_very_good|你 富 有 激 情 的 演 讲 像 诗 歌 一 样 在 听 众 耳 朵 里 回 想 。 整 个 世 界 似 乎 都 安 静 下 来 以 便 更 清 楚 地 听 你 演 讲 。 这 些 激 励 人 心 的 话 语 把 {s50}深 深 打 动 了 ， {reg51?她 :他 }看 起 来 非 常 乐 意 帮 助 你 。 
str_secret_sign_1|大 衣 柜 在 午 夜 的 时 候 跳 起 舞 来 … … 
str_secret_sign_2|我 正 在 卖 这 些 土 耳 其 挂 毯 。 你 想 买 一 条 吗 ？ 
str_secret_sign_3|我 一 个 朋 友 的 朋 友 送 我 … … 
str_secret_sign_4|风 猛 烈 里 从 东 面 吹 来 ， 这 条 河 的 水 变 红 了 … … 
str_countersign_1|但 是 他 是 为 梳 妆 台 或 者 烛 台 而 跳 的 吗 ？ 
str_countersign_2|是 的 ， 我 想 买 一 条 ， 你 有 蓝 色 的 吗 ？ 
str_countersign_3|但 是 ， 我 的 朋 友 ， 你 朋 友 的 朋 友 没 有 一 个 朋 友 会 是 像 我 这 样 的 。 
str_countersign_4|你 生 病 了 吗 ？ 
str_name_1|希 尔 科 
str_name_2|默 日 拉 
str_name_3|菲 隆 
str_name_4|布 哈 洛 
str_name_5|尼 克 胡 伊 
str_name_6|鲁 尔 克 
str_name_7|阿 斯 蒙 
str_name_8|比 约 恩 
str_name_9|西 格 瓦 
str_name_10|托 格 雷 尔 
str_name_11|古 恩 施 坦 因 
str_name_12|肖 尔 
str_name_13|奥 肯 
str_name_14|无 鼻 男 
str_name_15|斗 殴 者 
str_name_16|沃 克 
str_name_17|塔 巴 什 
str_name_18|萨 莫 拉 
str_name_19|古 济 
str_name_20|巴 纳 巴 斯 
str_name_21|沃 伊 切 赫 
str_name_22|加 尔 沙 
str_name_23|白 巴 克 
str_name_24|巴 赫 梅 特 
str_name_25|阿 昆 
str_surname_1|长 雀 斑 的 {s50}
str_surname_2|开 膛 手 {s50}
str_surname_3|牛 眼 睛 {s50}
str_surname_4|瘦 子 {s50}
str_surname_5|胖 子 {s50}
str_surname_6|金 口 {s50}
str_surname_7|猛 攻 者 {s50}
str_surname_8|灰 发 {s50}
str_surname_9|贪 婪 者 {s50}
str_surname_10|好 人 {s50}
str_surname_11|高 个 儿 {s50}
str_surname_12|大 个 儿 {s50}
str_surname_13|皮 包 骨 {s50}
str_surname_14|豺 狼 {s50}
str_surname_15|牛 皮 大 王 {s50}
str_surname_16|骗 子 {s50}
str_surname_17|蜘 蛛 {s50}
str_surname_18|笨 蛋 {s50}
str_surname_19|大 耳 朵 {s50}
str_surname_20|火 枪 {s50}
str_surname_21|白 衣 {s50}
str_surname_22|黑 衣 {s50}
str_surname_23|红 衣 {s50}
str_surname_24|守 灵 人 {s50}
str_surname_25|铁 手 {s50}
str_surname_26|傻 瓜 {s50}
str_surname_27|老 {s50}
str_surname_28|长 臂 {s50}
str_surname_29|野 猪 {s50}
str_surname_30|驼 背 {s50}
str_surname_31|炮 弹 {s50}
str_surname_32|大 胖 子 {s50}
str_surname_33|活 泼 者 {s50}
str_surname_34|郁 闷 者 {s50}
str_surname_35|眯 眯 眼 {s50}
str_surname_36|蜜 蜂 大 王 {s50}
str_surname_37|哑 巴 {s50}
str_surname_38|神 射 手 {s50}
str_surname_39|小 白 脸 {s50}
str_surname_40|钱 币 兑 换 者 {s50}
str_surname_41|色 狼 {s50}
str_surnames_end|surnames end 
str_number_of_troops_killed_reg1|杀 敌 数 ： {reg1}
str_number_of_troops_wounded_reg1|伤 敌 数 ： {reg1}
str_number_of_own_troops_killed_reg1|我 方 阵 亡 ： {reg1}
str_number_of_own_troops_wounded_reg1|我 方 受 伤 ： {reg1}
str_retreat|撤 退 ！ 
str_siege_continues|继 续 战 斗 … … 
str_casualty_display|我 方 伤 亡 ： {s10}^敌 方 伤 亡 ： {s11}^{s12}
str_casualty_display_hp|你 受 到 {reg1}点 伤 害 。 
str_quest_log_updated|任 务 日 志 更 新 … … 
str_banner_selection_text|你 被 授 予 携 带 旗 帜 的 权 利 。 旗 帜 是 身 份 与 荣 耀 的 象 征 。 你 想 选 择 哪 种 旗 帜 ？ 
str_retirement_text_1|当 你 意 识 到 你 将 入 不 敷 出 的 时 候 已 经 晚 了 。 即 使 精 打 细 算 你 也 很 快 花 光 了 身 上 所 有 的 钱 ， 而 你 在 窘 困 中 进 行 了 几 次 令 人 绝 望 的 努 力 企 图 重 新 开 始 自 己 的 冒 险 。 最 后 你 在 {s9}城 里 当 了 个 乞 丐 ， 靠 接 济 和 教 堂 的 施 舍 过 活 。 
str_retirement_text_2|当 你 意 识 到 你 将 入 不 敷 出 的 时 候 已 经 晚 了 。 即 使 精 打 细 算 你 也 很 快 花 光 了 身 上 所 有 的 钱 。 当 你 的 钱 很 快 地 在 你 的 手 中 消 失 你 被 迫 开 始 了 在 {s9}城 的 后 街 小 巷 里 的 犯 罪 生 涯 ， 用 你 的 那 点 能 耐 靠 打 劫 妇 女 以 及 贫 穷 的 市 民 勉 强 维 持 生 活 。 
str_retirement_text_3|当 你 意 识 到 你 将 入 不 敷 出 的 时 候 已 经 晚 了 。 即 使 精 打 细 算 你 也 很 快 花 光 了 身 上 所 有 的 钱 ， 最 后 作 为 一 个 身 无 分 文 的 流 浪 者 ， 从 一 个 酒 馆 漂 流 到 另 一 个 酒 馆 ， 靠 讲 些 没 人 相 信 的 战 争 故 事 来 讨 口 酒 喝 。 
str_retirement_text_4|你 存 下 来 的 钱 并 不 能 维 持 多 久 ， 但 是 你 想 办 法 凑 了 足 够 的 钱 在 {s7}村 庄 的 附 近 买 了 一 小 片 地 。 当 上 了 自 由 农 。 很 快 你 就 吸 引 了 未 来 的 {妻 子 /丈 夫 }。 现 在 你 就 成 了 当 地 的 英 雄 。 你 时 常 在 宴 会 上 得 到 人 们 的 尊 重 ， 而 你 的 冒 险 经 历 在 酒 馆 和 客 栈 一 遍 又 一 遍 地 被 人 们 口 口 相 传 ， 所 以 孩 子 们 将 永 远 记 得 你 的 事 迹 。 
str_retirement_text_5|你 存 下 来 的 钱 并 不 能 维 持 多 久 ， 不 过 还 是 够 用 来 在 {s9}城 买 个 小 酒 馆 。 尽 管 当 地 人 一 开 始 对 你 有 所 提 防 ， 他 们 很 快 就 接 受 容 纳 了 你 。 现 在 你 让 酒 馆 成 了 一 个 受 欢 迎 的 宴 会 和 见 面 场 所 。 人 们 从 数 英 里 以 外 赶 来 吃 饭 和 留 宿 ， 因 为 他 们 都 被 你 绝 对 的 声 望 和 你 所 说 的 那 些 冒 险 岁 月 里 眼 花 缭 乱 的 故 事 迷 住 了 。 
str_retirement_text_6|你 在 你 的 冒 险 生 涯 中 精 明 地 存 下 钱 来 ， 而 现 在 你 的 银 子 和 你 的 聪 明 才 智 让 你 进 行 了 一 些 极 好 的 投 资 来 巩 固 你 的 未 来 。 收 购 了 {s9}城 的 几 个 铺 子 和 仓 库 之 后 ， 你 的 机 智 让 你 成 为 城 里 最 为 卓 越 的 商 人 之 一 ， 并 且 你 很 快 成 为 一 个 富 有 的 {人 /人 }， 你 的 贸 易 帝 国 就 像 你 的 战 争 事 迹 一 样 闻 名 。 
str_retirement_text_7|作 为 一 个 有 封 地 的 贵 族 ， 不 管 封 地 有 多 小 ， 你 的 未 来 也 差 不 多 可 以 确 定 了 。 你 迁 入 了 你 的 领 地 {s7}， 主 宰 着 村 庄 和 农 田 ， 支 配 着 地 方 法 院 并 且 向 你 的 君 主 履 行 着 你 的 义 务 。 有 时 候 你 的 君 主 召 集 你 并 且 在 他 的 战 役 中 听 命 ， 但 是 这 些 日 常 工 作 还 是 简 单 的 ， 而 你 再 也 没 有 真 正 回 到 你 年 轻 时 候 的 冒 险 经 历 。 你 已 经 置 下 大 笔 财 富 。 因 为 拥 有 自 己 的 领 主 大 厅 和 领 地 ， 除 了 你 健 康 的 体 魄 和 自 己 的 领 地 所 能 给 予 给 你 的 以 外 ， 你 也 没 有 别 的 奢 求 了 。 
str_retirement_text_8|毫 无 疑 问 ， 你 为 你 自 己 做 的 非 常 好 。 你 广 阔 的 领 地 和 积 累 的 财 富 足 够 保 证 你 在 余 下 的 日 子 里 过 着 富 足 而 省 心 的 生 活 。 退 休 在 你 的 封 地 {s8}， 你 改 变 你 的 冒 险 生 涯 而 转 向 政 治 ， 很 快 你 就 在 你 君 主 的 王 国 里 面 建 立 了 自 己 相 当 可 观 的 权 威 。 随 着 自 己 的 兴 趣 爱 好 忙 碌 ， 在 自 己 的 林 地 里 打 猎 ， 在 领 主 大 厅 里 大 摆 宴 席 ， 以 及 吹 嘘 着 上 百 个 耐 听 的 战 争 事 迹 ， 你 无 忧 无 虑 地 让 剩 余 的 每 一 年 都 过 的 有 滋 有 味 。 
str_retirement_text_9|作 为 你 得 力 和 忠 心 服 务 的 回 报 ， 你 的 君 主 宣 布 你 被 授 予 一 个 世 袭 的 头 衔 ， 加 入 了 士 族 最 显 赫 的 贵 族 圈 。 很 快 你 完 成 了 作 为 {s7}男 爵 的 授 勋 仪 式 ， 并 且 你 成 为 了 你 君 主 的 近 臣 和 副 手 之 一 。 你 蕴 藏 的 声 望 给 予 了 你 很 多 无 形 的 影 响 力 进 而 成 为 你 公 开 的 政 治 能 力 。 现 在 你 在 权 力 游 戏 之 中 消 磨 时 光 ， 管 理 着 你 巨 大 的 封 地 ， 并 且 叙 述 着 当 年 的 冒 险 与 光 荣 。 
str_retirement_text_10|尽 管 你 出 身 卑 微 ， 你 的 君 主 却 对 你 尊 重 有 加 ， 当 他 赐 予 你 {s9}城 的 {伯 爵 /女 伯 爵 }世 袭 头 衔 的 时 候 在 当 地 士 族 中 引 起 了 轩 然 大 波 。 巨 大 的 封 地 和 财 富 现 在 供 你 支 配 。 你 很 快 成 为 了 你 的 君 主 最 信 任 的 谋 臣 ， 几 乎 和 他 平 起 平 坐 并 且 处 理 他 领 土 的 大 部 分 事 务 ， 而 且 作 为 这 个 国 度 最 有 权 势 的 角 色 你 在 你 那 光 彩 夺 目 的 宫 殿 里 安 放 了 一 个 与 之 相 配 的 王 座 。 
str_loot_village|攻 击 无 辜 的 村 民 
str_steal_from_villagers|偷 窃 贫 穷 村 民 的 东 西 
str_men_hungry|部 队 缺 少 军 粮 
str_men_unpaid|不 够 支 付 士 兵 的 薪 金 
str_excessive_casualties|让 每 场 战 斗 在 我 方 来 说 只 是 用 敌 人 鲜 血 洗 澡 
str_flee_battle|逃 跑 
str_fail_quest|一 个 以 荣 誉 担 保 的 任 务 失 败 了 
str_squander_money|托 管 的 钱 被 浪 费 了 
str_murder_merchant|我 们 将 自 己 陷 于 冷 血 的 谋 杀 
str_round_up_serfs|代 表 贵 族 围 捕 奴 隶 
str_battle_fate_1|战 斗 最 激 烈 的 时 刻 我 们 分 散 了 
str_battle_fate_2|我 受 了 重 伤 ， 躺 着 等 死 
str_battle_fate_3|我 被 击 昏 了 
str_battle_fate_4|我 被 俘 虏 并 悬 出 赎 金 
str_battle_fate_5|我 被 俘 虏 ， 不 久 找 了 个 机 会 逃 跑 了 
str_npc_morale_report|我 {s6}你 选 择 的 同 伴 ， {s7}你 的 领 导 风 格 ， {s8}现 在 的 总 体 情 况 。 
str_happy|喜 欢 
str_content|满 足 于 
str_concerned|关 心 
str_not_happy|一 点 都 不 喜 欢 
str_miserable|特 别 害 怕 
str_morale_reg1|士 气 ： {reg1}
str_bar_enthusiastic|热 情 
str_bar_content|满 足 
str_bar_weary|厌 倦 
str_bar_disgruntled|不 满 
str_bar_miserable|害 怕 
str_here_plus_space|这 里 
str_npc1_intro|嘿 ， 旅 行 者 。 你 不 想 成 为 亚 列 马 亲 王 的 一 位 战 士 吗 ？ 
str_npc2_intro|抱 歉 ， 我 们 以 前 见 过 吗 ？ 
str_npc3_intro|我 的 孩 子 ！ 允 许 我 为 你 祝 福 ， 吟 诵 一 篇 优 美 而 精 巧 的 祈 祷 文 吧 ， 这 会 给 你 带 来 幸 运 ， 你 给 我 几 杯 凉 爽 的 啤 酒 就 行 ！ 
str_npc4_intro|你 好 ， 哥 萨 克 人 ！ 想 和 我 喝 几 杯 伏 特 加 么 ？ 
str_npc5_intro|骑 士 先 生 ， 愿 意 陪 我 喝 一 杯 吗 ？ 
str_npc6_intro|你 好 ， 朋 友 ！ 你 是 不 是 想 雇 用 佣 兵 ？ 我 是 个 神 射 手 ， 名 叫 费 多 特 … … 
str_npc7_intro|你 别 指 望 我 跟 你 喝 酒 了 ！ 
str_npc8_intro|伊 桑 梅 色 兹 ！ 
str_npc9_intro|{先 生 /夫 人 }， 也 许 你 来 自 立 陶 宛 ？ 
str_npc10_intro|维 克 多 · 德 · 拉 布 斯 卡 多 ， 乐 意 为 您 效 劳 ！ 
str_npc11_intro|我 们 以 前 好 像 见 过 ， 我 需 要 你 的 帮 助 。 
str_npc12_intro|你 的 脸 色 真 令 我 担 忧 ， {先 生 /夫 人 }， 也 许 你 应 该 使 用 水 蛭 … … 
str_npc13_intro|如 果 你 想 找 人 算 命 ， 你 来 得 可 不 是 时 候 ， 我 只 在 新 月 的 时 候 算 命 。 
str_npc14_intro|{先 生 /夫 人 }， 这 里 的 葡 萄 酒 真 是 恶 心 ， 对 吧 ？ 
str_npc15_intro|你 看 什 么 看 ？ 想 尝 尝 我 的 擀 面 杖 吗 ？ 
