str_no_string|NO STRING!
str_siege_defender_order_attack_success|守 軍 訓 練 有 素 ， 以 高 昂 的 士 氣 守 住 了 城 牆 ， 粉 碎 了 敵 人 的 進 攻 ， 將 一 次 威 脅 轉 變 成 為 了 敵 人 的 全 面 潰 逃 。 
str_siege_defender_order_attack_failure|戰 斗 迅 速 變 成 一 片 血 海 ， 英 勇 的 防 守 化 為 烏 有 ， 守 軍 無 法 保 住 城 牆 ， 敵 人 把 每 一 個 防 御 者 斬 於 劍 下 。 
str_siege_defender_order_attack_continue|對 城 牆 接 二 連 三 的 進 攻 依 舊 不 能 換 來 一 個 立 足 點 ， 不 過 防 御 者 想 要 宣 告 勝 利 的 話 還 為 時 過 早 。 攻 城 仍 然 在 繼 續 。 
str_hero_taken_prisoner|{s3}的 {s1}被 {s2}俘 虜 。 
str_hero_freed|{s3}的 {s1}被 {s2}成 功 解 救 。 
str_center_captured|{s2}從 {s3}那 裡 奪 取 了 {s1}。 
str_troop_relation_increased|你 與 {s1}的 關 系 從 {reg1}提 升 到 {reg2}。 
str_troop_relation_detoriated|你 與 {s1}的 關 系 從 {reg1}惡 化 為 {reg2}。 
str_faction_relation_increased|你 與 {s1}的 關 系 從 {reg1}提 升 到 {reg2}。 
str_faction_relation_detoriated|你 與 {s1}的 關 系 從 {reg1}惡 化 為 {reg2}。 
str_party_gained_morale|你 的 隊 伍 獲 得 {reg1}士 氣 。 
str_party_lost_morale|你 的 隊 伍 失 去 {reg1}士 氣 。 
str_qst_follow_spy_noticed_you|那 個 間 諜 覺 察 到 你 了 ， 他 准 備 開 溜 了 ！ 
str_father|父 親 
str_husband|丈 夫 
str_wife|妻 子 
str_daughter|女 兒 
str_mother|母 親 
str_son|兒 子 
str_brother|兄 弟 
str_sister|姐 妹 
str_he|他 
str_she|她 
str_s3s_s2|{s3}的 {s2}
str_s5_is_s51|{s5}是 {s51}。 
str_s5_is_the_ruler_of_s51|{s5}是 {s51}的 領 主 。 
str_s5_is_a_nobleman_of_s6|{s5}是 {s6}的 貴 族 。 
str_relation_mnus_100|與 你 勢 同 水 火 
str_relation_mnus_90|與 你 勢 同 水 火 
str_relation_mnus_80|與 你 勢 同 水 火 
str_relation_mnus_70|對 你 充 滿 敵 意 
str_relation_mnus_60|對 你 充 滿 敵 意 
str_relation_mnus_50|非 常 討 厭 你 
str_relation_mnus_40|非 常 討 厭 你 
str_relation_mnus_30|開 始 厭 惡 你 
str_relation_mnus_20|開 始 厭 惡 你 
str_relation_mnus_10|面 無 表 情 的 看 著 你 
str_relation_plus_0|面 無 表 情 的 看 著 你 
str_relation_plus_10|面 無 表 情 的 看 著 你 
str_relation_plus_20|友 善 地 看 著 你 
str_relation_plus_30|友 善 地 看 著 你 
str_relation_plus_40|親 切 地 看 著 你 
str_relation_plus_50|親 切 地 看 著 你 
str_relation_plus_60|非 常 支 持 你 
str_relation_plus_70|非 常 支 持 你 
str_relation_plus_80|對 你 忠 心 耿 耿 
str_relation_plus_90|對 你 忠 心 耿 耿 
str_relation_mnus_100_ns|{s60}與 你 勢 同 水 火 。 
str_relation_mnus_90_ns|{s60}與 你 勢 同 水 火 。 
str_relation_mnus_80_ns|{s60}與 你 勢 同 水 火 。 
str_relation_mnus_70_ns|{s60}對 你 充 滿 敵 意 。 
str_relation_mnus_60_ns|{s60}對 你 充 滿 敵 意 。 
str_relation_mnus_50_ns|{s60}狠 狠 地 盯 著 你 。 
str_relation_mnus_40_ns|{s60}非 常 討 厭 你 。 
str_relation_mnus_30_ns|{s60}開 始 厭 惡 你 。 
str_relation_mnus_20_ns|{s60}警 惕 地 看 著 你 。 
str_relation_mnus_10_ns|{s60}意 味 深 長 地 看 著 你 。 
str_relation_plus_0_ns|{s60}面 無 表 情 的 看 著 你 。 
str_relation_plus_10_ns|{s60}開 始 接 受 你 。 
str_relation_plus_20_ns|{s60}友 善 地 看 著 你 。 
str_relation_plus_30_ns|{s60}親 切 地 看 著 你 。 
str_relation_plus_40_ns|{s60}熱 切 地 望 著 你 。 
str_relation_plus_50_ns|{s60}友 好 地 望 著 你 。 
str_relation_plus_60_ns|{s60}非 常 支 持 你 。 
str_relation_plus_70_ns|{s60}非 常 尊 敬 你 。 
str_relation_plus_80_ns|{s60}為 你 歡 呼 。 
str_relation_plus_90_ns|{s60}對 你 忠 心 耿 耿 。 
str_relation_reg1|關 系 ： {reg1}
str_center_relation_mnus_100|當 地 居 民 與 你 勢 同 水 火 
str_center_relation_mnus_90|當 地 居 民 對 你 恨 之 入 骨 
str_center_relation_mnus_80|當 地 居 民 對 你 怒 視 
str_center_relation_mnus_70|當 地 居 民 對 你 充 滿 敵 意 
str_center_relation_mnus_60|當 地 居 民 非 常 憎 恨 你 
str_center_relation_mnus_50|當 地 居 民 狠 狠 地 盯 著 你 
str_center_relation_mnus_40|當 地 居 民 非 常 討 厭 你 
str_center_relation_mnus_30|當 地 居 民 開 始 厭 惡 你 
str_center_relation_mnus_20|當 地 居 民 警 惕 地 看 著 你 
str_center_relation_mnus_10|當 地 居 民 意 味 深 長 地 看 著 你 
str_center_relation_plus_0|當 地 居 民 面 無 表 情 的 看 著 你 
str_center_relation_plus_10|當 地 居 民 開 始 接 受 你 
str_center_relation_plus_20|當 地 居 民 友 善 地 看 著 你 
str_center_relation_plus_30|當 地 居 民 親 切 地 看 著 你 
str_center_relation_plus_40|當 地 居 民 熱 切 地 望 著 你 
str_center_relation_plus_50|當 地 居 民 對 你 交 口 稱 贊 
str_center_relation_plus_60|當 地 居 民 非 常 支 持 你 
str_center_relation_plus_70|當 地 居 民 非 常 尊 敬 你 
str_center_relation_plus_80|當 地 居 民 為 你 歡 呼 
str_center_relation_plus_90|當 地 居 民 對 你 忠 心 耿 耿 
str_town_prosperity_0|{s60}鎮 的 貧 窮 到 了 不 可 忍 受 的 地 步 。 
str_town_prosperity_10|{s60}鎮 看 起 來 相 當 貧 窮 且 淒 涼 。 
str_town_prosperity_20|{s60}鎮 看 起 來 非 常 貧 窮 且 荒 蕪 。 
str_town_prosperity_30|{s60}鎮 看 起 來 很 貧 窮 且 被 忽 視 。 
str_town_prosperity_40|{s60}鎮 看 起 來 有 點 貧 窮 且 在 奮 斗 中 。 
str_town_prosperity_50|{s60}鎮 似 乎 很 不 起 眼 。 
str_town_prosperity_60|{s60}鎮 似 乎 很 繁 榮 。 
str_town_prosperity_70|{s60}鎮 似 乎 非 常 有 活 力 。 
str_town_prosperity_80|{s60}鎮 看 起 來 很 富 有 而 且 很 氣 派 。 
str_town_prosperity_90|{s60}鎮 看 起 來 非 常 富 有 而 且 物 質 豐 富 。 
str_town_prosperity_100|{s60}鎮 看 起 來 極 其 富 有 而 且 富 麗 堂 皇 。 
str_village_prosperity_0|{s60}村 的 貧 窮 到 了 不 可 忍 受 的 地 步 。 
str_village_prosperity_10|{s60}村 看 起 來 相 當 貧 窮 且 淒 涼 。 
str_village_prosperity_20|{s60}村 看 起 來 非 常 貧 窮 且 荒 蕪 。 
str_village_prosperity_30|{s60}村 看 起 來 很 貧 窮 且 被 忽 視 。 
str_village_prosperity_40|{s60}村 看 起 來 有 點 貧 窮 且 在 奮 斗 中 。 
str_village_prosperity_50|{s60}村 似 乎 很 不 起 眼 。 
str_village_prosperity_60|{s60}村 似 乎 很 繁 榮 。 
str_village_prosperity_70|{s60}村 似 乎 非 常 有 活 力 。 
str_village_prosperity_80|{s60}村 看 起 來 很 富 有 而 且 很 氣 派 。 
str_village_prosperity_90|{s60}村 看 起 來 非 常 富 有 而 且 物 質 豐 富 。 
str_village_prosperity_100|{s60}村 看 起 來 極 其 富 有 而 且 物 質 豐 富 。 
str_war_report_minus_4|我 們 幾 乎 要 輸 掉 這 場 戰 爭 了 
str_war_report_minus_3|現 在 的 形 勢 看 起 來 有 些 嚴 峻 
str_war_report_minus_2|戰 事 進 展 得 不 太 順 利 
str_war_report_minus_1|如 果 我 們 能 振 作 起 來 ， 我 們 還 是 可 以 贏 得 這 場 戰 爭 的 
str_war_report_0|我 們 與 敵 人 勢 均 力 敵 
str_war_report_plus_1|我 們 有 一 定 機 會 贏 得 這 場 戰 爭 
str_war_report_plus_2|戰 事 進 展 得 非 常 順 利 
str_war_report_plus_3|打 敗 他 們 完 全 不 成 問 題 
str_war_report_plus_4|勝 利 就 在 我 們 眼 前 
str_persuasion_summary_very_bad|你 盡 最 大 努 力 去 說 服 {s50}， 但 是 你 沒 有 一 個 論 證 是 正 確 的 。 每 次 你 開 始 想 使 表 達 的 東 西 變 得 有 意 義 ， 但 是 你 說 的 東 西 似 乎 都 是 徹 底 錯 誤 的 ， 以 至 於 使 你 自 己 的 思 路 都 斷 了 。 當 你 結 束 交 涉 的 時 候 ， 你 都 沒 能 把 你 認 同 的 某 一 個 觀 點 表 達 清 楚 ， 而 且 你 意 識 到 你 所 做 的 一 切 是 在 把 自 己 推 進 一 個 越 挖 越 深 的 大 坑 裡 。 毫 不 奇 怪 ， {s50}完 全 不 為 你 動 。 
str_persuasion_summary_bad|你 試 著 說 服 {s50}， 但 是 {reg51?她 :他 }從 最 開 始 起 就 提 防 著 你 。 你 再 好 的 辯 論 對 於 你 自 己 的 耳 朵 而 言 也 還 是 那 麼 空 洞 。 {s50}同 樣 也 沒 能 從 你 說 的 東 西 看 出 什 麼 高 見 。 
str_persuasion_summary_average|{s50}被 證 實 是 一 個 有 著 尖 銳 思 想 且 很 能 辯 論 的 人 ， 你 基 本 就 沒 有 辦 法 使 {reg51?她 :他 }反 過 來 接 受 你 的 任 何 觀 點 。 最 終 ， 在 這 場 辯 論 中 ， 你 們 兩 人 都 沒 能 使 對 方 偏 向 各 自 的 立 場 。 
str_persuasion_summary_good|憑 借 敏 捷 的 思 維 和 流 暢 的 辯 論 ， 你 設 法 把 你 的 觀 點 論 證 得 很 好 ， 迫 使 {s50}認 同 你 的 一 些 觀 點 。 然 而 {reg51?她 :他 }仍 然 對 你 的 要 求 表 示 懷 疑 。 
str_persuasion_summary_very_good|你 富 有 激 情 的 演 講 像 詩 歌 一 樣 在 聽 眾 耳 朵 裡 回 想 。 整 個 世 界 似 乎 都 安 靜 下 來 以 便 更 清 楚 地 聽 你 演 講 。 這 些 激 勵 人 心 的 話 語 把 {s50}深 深 打 動 了 ， {reg51?她 :他 }看 起 來 非 常 樂 意 幫 助 你 。 
str_secret_sign_1|大 衣 櫃 在 午 夜 的 時 候 跳 起 舞 來 … … 
str_secret_sign_2|我 正 在 賣 這 些 土 耳 其 掛 毯 。 你 想 買 一 條 嗎 ？ 
str_secret_sign_3|我 一 個 朋 友 的 朋 友 送 我 … … 
str_secret_sign_4|風 猛 烈 裡 從 東 面 吹 來 ， 這 條 河 的 水 變 紅 了 … … 
str_countersign_1|但 是 他 是 為 梳 妝 台 或 者 燭 台 而 跳 的 嗎 ？ 
str_countersign_2|是 的 ， 我 想 買 一 條 ， 你 有 藍 色 的 嗎 ？ 
str_countersign_3|但 是 ， 我 的 朋 友 ， 你 朋 友 的 朋 友 沒 有 一 個 朋 友 會 是 像 我 這 樣 的 。 
str_countersign_4|你 生 病 了 嗎 ？ 
str_name_1|希 爾 科 
str_name_2|默 日 拉 
str_name_3|菲 隆 
str_name_4|布 哈 洛 
str_name_5|尼 克 胡 伊 
str_name_6|魯 爾 克 
str_name_7|阿 斯 蒙 
str_name_8|比 約 恩 
str_name_9|西 格 瓦 
str_name_10|托 格 雷 爾 
str_name_11|古 恩 施 坦 因 
str_name_12|肖 爾 
str_name_13|奧 肯 
str_name_14|無 鼻 男 
str_name_15|斗 毆 者 
str_name_16|沃 克 
str_name_17|塔 巴 什 
str_name_18|薩 莫 拉 
str_name_19|古 濟 
str_name_20|巴 納 巴 斯 
str_name_21|沃 伊 切 赫 
str_name_22|加 爾 沙 
str_name_23|白 巴 克 
str_name_24|巴 赫 梅 特 
str_name_25|阿 昆 
str_surname_1|長 雀 斑 的 {s50}
str_surname_2|開 膛 手 {s50}
str_surname_3|牛 眼 睛 {s50}
str_surname_4|瘦 子 {s50}
str_surname_5|胖 子 {s50}
str_surname_6|金 口 {s50}
str_surname_7|猛 攻 者 {s50}
str_surname_8|灰 發 {s50}
str_surname_9|貪 婪 者 {s50}
str_surname_10|好 人 {s50}
str_surname_11|高 個 兒 {s50}
str_surname_12|大 個 兒 {s50}
str_surname_13|皮 包 骨 {s50}
str_surname_14|豺 狼 {s50}
str_surname_15|牛 皮 大 王 {s50}
str_surname_16|騙 子 {s50}
str_surname_17|蜘 蛛 {s50}
str_surname_18|笨 蛋 {s50}
str_surname_19|大 耳 朵 {s50}
str_surname_20|火 槍 {s50}
str_surname_21|白 衣 {s50}
str_surname_22|黑 衣 {s50}
str_surname_23|紅 衣 {s50}
str_surname_24|守 靈 人 {s50}
str_surname_25|鐵 手 {s50}
str_surname_26|傻 瓜 {s50}
str_surname_27|老 {s50}
str_surname_28|長 臂 {s50}
str_surname_29|野 豬 {s50}
str_surname_30|駝 背 {s50}
str_surname_31|炮 彈 {s50}
str_surname_32|大 胖 子 {s50}
str_surname_33|活 潑 者 {s50}
str_surname_34|郁 悶 者 {s50}
str_surname_35|瞇 瞇 眼 {s50}
str_surname_36|蜜 蜂 大 王 {s50}
str_surname_37|啞 巴 {s50}
str_surname_38|神 射 手 {s50}
str_surname_39|小 白 臉 {s50}
str_surname_40|錢 幣 兌 換 者 {s50}
str_surname_41|色 狼 {s50}
str_surnames_end|surnames end 
str_number_of_troops_killed_reg1|殺 敵 數 ： {reg1}
str_number_of_troops_wounded_reg1|傷 敵 數 ： {reg1}
str_number_of_own_troops_killed_reg1|我 方 陣 亡 ： {reg1}
str_number_of_own_troops_wounded_reg1|我 方 受 傷 ： {reg1}
str_retreat|撤 退 ！ 
str_siege_continues|繼 續 戰 斗 … … 
str_casualty_display|我 方 傷 亡 ： {s10}^敵 方 傷 亡 ： {s11}^{s12}
str_casualty_display_hp|你 受 到 {reg1}點 傷 害 。 
str_quest_log_updated|任 務 日 志 更 新 … … 
str_banner_selection_text|你 被 授 予 攜 帶 旗 幟 的 權 利 。 旗 幟 是 身 份 與 榮 耀 的 象 征 。 你 想 選 擇 哪 種 旗 幟 ？ 
str_retirement_text_1|當 你 意 識 到 你 將 入 不 敷 出 的 時 候 已 經 晚 了 。 即 使 精 打 細 算 你 也 很 快 花 光 了 身 上 所 有 的 錢 ， 而 你 在 窘 困 中 進 行 了 幾 次 令 人 絕 望 的 努 力 企 圖 重 新 開 始 自 己 的 冒 險 。 最 後 你 在 {s9}城 裡 當 了 個 乞 丐 ， 靠 接 濟 和 教 堂 的 施 捨 過 活 。 
str_retirement_text_2|當 你 意 識 到 你 將 入 不 敷 出 的 時 候 已 經 晚 了 。 即 使 精 打 細 算 你 也 很 快 花 光 了 身 上 所 有 的 錢 。 當 你 的 錢 很 快 地 在 你 的 手 中 消 失 你 被 迫 開 始 了 在 {s9}城 的 後 街 小 巷 裡 的 犯 罪 生 涯 ， 用 你 的 那 點 能 耐 靠 打 劫 婦 女 以 及 貧 窮 的 市 民 勉 強 維 持 生 活 。 
str_retirement_text_3|當 你 意 識 到 你 將 入 不 敷 出 的 時 候 已 經 晚 了 。 即 使 精 打 細 算 你 也 很 快 花 光 了 身 上 所 有 的 錢 ， 最 後 作 為 一 個 身 無 分 文 的 流 浪 者 ， 從 一 個 酒 館 漂 流 到 另 一 個 酒 館 ， 靠 講 些 沒 人 相 信 的 戰 爭 故 事 來 討 口 酒 喝 。 
str_retirement_text_4|你 存 下 來 的 錢 並 不 能 維 持 多 久 ， 但 是 你 想 辦 法 湊 了 足 夠 的 錢 在 {s7}村 莊 的 附 近 買 了 一 小 片 地 。 當 上 了 自 由 農 。 很 快 你 就 吸 引 了 未 來 的 {妻 子 /丈 夫 }。 現 在 你 就 成 了 當 地 的 英 雄 。 你 時 常 在 宴 會 上 得 到 人 們 的 尊 重 ， 而 你 的 冒 險 經 歷 在 酒 館 和 客 棧 一 遍 又 一 遍 地 被 人 們 口 口 相 傳 ， 所 以 孩 子 們 將 永 遠 記 得 你 的 事 跡 。 
str_retirement_text_5|你 存 下 來 的 錢 並 不 能 維 持 多 久 ， 不 過 還 是 夠 用 來 在 {s9}城 買 個 小 酒 館 。 盡 管 當 地 人 一 開 始 對 你 有 所 提 防 ， 他 們 很 快 就 接 受 容 納 了 你 。 現 在 你 讓 酒 館 成 了 一 個 受 歡 迎 的 宴 會 和 見 面 場 所 。 人 們 從 數 英 裡 以 外 趕 來 吃 飯 和 留 宿 ， 因 為 他 們 都 被 你 絕 對 的 聲 望 和 你 所 說 的 那 些 冒 險 歲 月 裡 眼 花 繚 亂 的 故 事 迷 住 了 。 
str_retirement_text_6|你 在 你 的 冒 險 生 涯 中 精 明 地 存 下 錢 來 ， 而 現 在 你 的 銀 子 和 你 的 聰 明 才 智 讓 你 進 行 了 一 些 極 好 的 投 資 來 鞏 固 你 的 未 來 。 收 購 了 {s9}城 的 幾 個 鋪 子 和 倉 庫 之 後 ， 你 的 機 智 讓 你 成 為 城 裡 最 為 卓 越 的 商 人 之 一 ， 並 且 你 很 快 成 為 一 個 富 有 的 {人 /人 }， 你 的 貿 易 帝 國 就 像 你 的 戰 爭 事 跡 一 樣 聞 名 。 
str_retirement_text_7|作 為 一 個 有 封 地 的 貴 族 ， 不 管 封 地 有 多 小 ， 你 的 未 來 也 差 不 多 可 以 確 定 了 。 你 遷 入 了 你 的 領 地 {s7}， 主 宰 著 村 莊 和 農 田 ， 支 配 著 地 方 法 院 並 且 向 你 的 君 主 履 行 著 你 的 義 務 。 有 時 候 你 的 君 主 召 集 你 並 且 在 他 的 戰 役 中 聽 命 ， 但 是 這 些 日 常 工 作 還 是 簡 單 的 ， 而 你 再 也 沒 有 真 正 回 到 你 年 輕 時 候 的 冒 險 經 歷 。 你 已 經 置 下 大 筆 財 富 。 因 為 擁 有 自 己 的 領 主 大 廳 和 領 地 ， 除 了 你 健 康 的 體 魄 和 自 己 的 領 地 所 能 給 予 給 你 的 以 外 ， 你 也 沒 有 別 的 奢 求 了 。 
str_retirement_text_8|毫 無 疑 問 ， 你 為 你 自 己 做 的 非 常 好 。 你 廣 闊 的 領 地 和 積 累 的 財 富 足 夠 保 證 你 在 余 下 的 日 子 裡 過 著 富 足 而 省 心 的 生 活 。 退 休 在 你 的 封 地 {s8}， 你 改 變 你 的 冒 險 生 涯 而 轉 向 政 治 ， 很 快 你 就 在 你 君 主 的 王 國 裡 面 建 立 了 自 己 相 當 可 觀 的 權 威 。 隨 著 自 己 的 興 趣 愛 好 忙 碌 ， 在 自 己 的 林 地 裡 打 獵 ， 在 領 主 大 廳 裡 大 擺 宴 席 ， 以 及 吹 噓 著 上 百 個 耐 聽 的 戰 爭 事 跡 ， 你 無 憂 無 慮 地 讓 剩 余 的 每 一 年 都 過 的 有 滋 有 味 。 
str_retirement_text_9|作 為 你 得 力 和 忠 心 服 務 的 回 報 ， 你 的 君 主 宣 布 你 被 授 予 一 個 世 襲 的 頭 銜 ， 加 入 了 士 族 最 顯 赫 的 貴 族 圈 。 很 快 你 完 成 了 作 為 {s7}男 爵 的 授 勳 儀 式 ， 並 且 你 成 為 了 你 君 主 的 近 臣 和 副 手 之 一 。 你 蘊 藏 的 聲 望 給 予 了 你 很 多 無 形 的 影 響 力 進 而 成 為 你 公 開 的 政 治 能 力 。 現 在 你 在 權 力 游 戲 之 中 消 磨 時 光 ， 管 理 著 你 巨 大 的 封 地 ， 並 且 敘 述 著 當 年 的 冒 險 與 光 榮 。 
str_retirement_text_10|盡 管 你 出 身 卑 微 ， 你 的 君 主 卻 對 你 尊 重 有 加 ， 當 他 賜 予 你 {s9}城 的 {伯 爵 /女 伯 爵 }世 襲 頭 銜 的 時 候 在 當 地 士 族 中 引 起 了 軒 然 大 波 。 巨 大 的 封 地 和 財 富 現 在 供 你 支 配 。 你 很 快 成 為 了 你 的 君 主 最 信 任 的 謀 臣 ， 幾 乎 和 他 平 起 平 坐 並 且 處 理 他 領 土 的 大 部 分 事 務 ， 而 且 作 為 這 個 國 度 最 有 權 勢 的 角 色 你 在 你 那 光 彩 奪 目 的 宮 殿 裡 安 放 了 一 個 與 之 相 配 的 王 座 。 
str_loot_village|攻 擊 無 辜 的 村 民 
str_steal_from_villagers|偷 竊 貧 窮 村 民 的 東 西 
str_men_hungry|部 隊 缺 少 軍 糧 
str_men_unpaid|不 夠 支 付 士 兵 的 薪 金 
str_excessive_casualties|讓 每 場 戰 斗 在 我 方 來 說 只 是 用 敵 人 鮮 血 洗 澡 
str_flee_battle|逃 跑 
str_fail_quest|一 個 以 榮 譽 擔 保 的 任 務 失 敗 了 
str_squander_money|托 管 的 錢 被 浪 費 了 
str_murder_merchant|我 們 將 自 己 陷 於 冷 血 的 謀 殺 
str_round_up_serfs|代 表 貴 族 圍 捕 奴 隸 
str_battle_fate_1|戰 斗 最 激 烈 的 時 刻 我 們 分 散 了 
str_battle_fate_2|我 受 了 重 傷 ， 躺 著 等 死 
str_battle_fate_3|我 被 擊 昏 了 
str_battle_fate_4|我 被 俘 虜 並 懸 出 贖 金 
str_battle_fate_5|我 被 俘 虜 ， 不 久 找 了 個 機 會 逃 跑 了 
str_npc_morale_report|我 {s6}你 選 擇 的 同 伴 ， {s7}你 的 領 導 風 格 ， {s8}現 在 的 總 體 情 況 。 
str_happy|喜 歡 
str_content|滿 足 於 
str_concerned|關 心 
str_not_happy|一 點 都 不 喜 歡 
str_miserable|特 別 害 怕 
str_morale_reg1|士 氣 ： {reg1}
str_bar_enthusiastic|熱 情 
str_bar_content|滿 足 
str_bar_weary|厭 倦 
str_bar_disgruntled|不 滿 
str_bar_miserable|害 怕 
str_here_plus_space|這 裡 
str_npc1_intro|嘿 ， 旅 行 者 。 你 不 想 成 為 亞 列 馬 親 王 的 一 位 戰 士 嗎 ？ 
str_npc2_intro|抱 歉 ， 我 們 以 前 見 過 嗎 ？ 
str_npc3_intro|我 的 孩 子 ！ 允 許 我 為 你 祝 福 ， 吟 誦 一 篇 優 美 而 精 巧 的 祈 禱 文 吧 ， 這 會 給 你 帶 來 幸 運 ， 你 給 我 幾 杯 涼 爽 的 啤 酒 就 行 ！ 
str_npc4_intro|你 好 ， 哥 薩 克 人 ！ 想 和 我 喝 幾 杯 伏 特 加 麼 ？ 
str_npc5_intro|騎 士 先 生 ， 願 意 陪 我 喝 一 杯 嗎 ？ 
str_npc6_intro|你 好 ， 朋 友 ！ 你 是 不 是 想 雇 用 傭 兵 ？ 我 是 個 神 射 手 ， 名 叫 費 多 特 … … 
str_npc7_intro|你 別 指 望 我 跟 你 喝 酒 了 ！ 
str_npc8_intro|伊 桑 梅 色 茲 ！ 
str_npc9_intro|{先 生 /夫 人 }， 也 許 你 來 自 立 陶 宛 ？ 
str_npc10_intro|維 克 多 · 德 · 拉 布 斯 卡 多 ， 樂 意 為 您 效 勞 ！ 
str_npc11_intro|我 們 以 前 好 像 見 過 ， 我 需 要 你 的 幫 助 。 
str_npc12_intro|你 的 臉 色 真 令 我 擔 憂 ， {先 生 /夫 人 }， 也 許 你 應 該 使 用 水 蛭 … … 
