str_no_string|BRAK LINII!
str_persuasion_summary_good|Nie mielesz jęzorem po próżnicy i przytaczasz argumenty nie do zbicia, więc {s50} niechętnie się z Tobą zgadza. Jednak wciąż {reg51?ma:ma} co do Twojej prośby wątpliwości.
str_persuasion_summary_very_good|Wygłaszasz płomienną przemowę, która pieści uszy słuchaczy jak muzyka. Wydaje się, że cały świat zamarł i uważnie Cię słucha. {s50} jest poruszony twoimi słowami i zgadza się udzielić Ci pomocy.
str_secret_sign_1|Szafa tańczy nocą...
str_secret_sign_2|Sprzedaję najlepsze tureckie gobeliny. Nie chciałbyś zerknąć?
str_secret_sign_3|Znajomy mego przyjaciela przysłał...
str_secret_sign_4|Od wschodu wieje silny wiatr i rzeka staje się czerwona...
str_countersign_1|Tańczy dla komody czy dla świecznika?
str_countersign_2|A niebieski jest?
str_countersign_3|Ale, mój przyjacielu, znajomy twego przyjaciela nigdy nie będzie miał takiego przyjaciela jak ja.
str_countersign_4|Jesteś chory?
str_name_1|Sirko
str_name_2|Mozyra
str_name_3|Filon
str_name_4|Buchało
str_name_5|Nieczaj
str_name_6|Rurk
str_name_7|Asmund
str_name_8|Bjorn
str_name_9|Sygwar
str_name_10|Thorgeir
str_name_11|Gunstein
str_name_12|Czort
str_name_13|Okoń
str_name_14|Beznos
str_name_15|Bujan
str_name_16|Chodok
str_name_17|Tabasz
str_name_18|Zamora
str_name_19|Guzd
str_name_20|Barnaba
str_name_21|Wojciech
str_name_22|Garsza
str_name_23|Bajbak
str_name_24|Bachmet
str_name_25|Akun
str_surname_1|{s50} Znaczony
str_surname_2|{s50} Patroszyciel
str_surname_3|{s50} Bycze oko
str_surname_4|{s50} Tyka
str_surname_5|{s50} Mały
str_surname_6|{s50} Złotousty
str_surname_7|{s50} Grom
str_surname_8|{s50} Siwy
str_surname_9|{s50} Chciwy
str_surname_10|{s50} Dobry
str_surname_11|{s50} Szlachetny
str_surname_12|{s50} Krzepki
str_surname_13|{s50} Chudy
str_surname_14|{s50} Szakal
str_surname_15|{s50} Chwalipięta
str_surname_16|{s50} Jastrząb
str_surname_17|{s50} Krzyżak
str_surname_18|{s50} Pała
str_surname_19|{s50} Uszaty
str_surname_20|{s50} Muszkiet
str_surname_21|{s50} Biały
str_surname_22|{s50} Czarny
str_surname_23|{s50} Rudy
str_surname_24|{s50} Trumniarz
str_surname_25|{s50} Żelazny
str_surname_26|{s50} Prostak
str_surname_27|{s50} Stary
str_surname_28|{s50} Długoręki
str_surname_29|{s50} Knur
str_surname_30|{s50} Garbaty
str_surname_31|{s50} Bochenek
str_surname_32|{s50} Tłusty
str_surname_33|{s50} Wesołek
str_surname_34|{s50} Ponurak
str_surname_35|{s50} Krzywy
str_surname_36|{s50} Pszczelarz
str_surname_37|{s50} Niemy
str_surname_38|{s50} Strzelec
str_surname_39|{s50} Bawidamek
str_surname_40|{s50} Spekulant
str_surname_41|{s50} Wilk
str_surnames_end|koniec nazwisk
str_number_of_troops_killed_reg1|Zabito jednostek: {reg1}
str_number_of_troops_wounded_reg1|Ogłuszono jednostek: {reg1}
str_number_of_own_troops_killed_reg1|Zabito sojuszniczych jednostek: {reg1}
str_number_of_own_troops_wounded_reg1|Ogłuszono sojuszniczych jednostek: {reg1}
str_retreat|Odwrót!
str_siege_continues|Walka trwa...
str_casualty_display|Twoje straty: {s10}^Straty wroga: {s11}{s12}
str_casualty_display_hp|^Zostałeś ranny i straciłeś {reg1} punktów zdrowia.
str_quest_log_updated|Dziennik zadań zaktualizowany.
str_banner_selection_text|Dostąpiłeś zaszczytu wyboru własnego sztandaru, który będzie symbolem Twojego statusu i sławy. Pamiętaj jednak, że raz wybrany sztandar nie może być zmieniony! Który pragniesz wybrać?
str_retirement_text_1|Zbyt późno dociera do Ciebie, że nie wystarczy Ci pieniędzy na dostatnią starość. Skąpe oszczędności szybko się kończą, więc znów rozpaczliwie rzucasz się na poszukiwanie przygód. {s9} staje się kresem Twej wędrówki, gdzie kończysz jako biedak żyjący wyłącznie z jałmużny.
str_retirement_text_2|Zbyt późno dociera do Ciebie, że nie wystarczy Ci pieniędzy na dostatnią starość. Skąpe oszczędności szybko się kończą, więc możesz tylko zostać przestępcą szlajającym się po ciemnych zaułkach, gdzie okradasz kobiety i biednych mieszczan, zabierając im resztki pieniędzy. {s9} staje się twoim ostatnim przystankiem.
str_retirement_text_3|Zbyt późno dociera do Ciebie, że nie wystarczy Ci pieniędzy na dostatnią starość. Skąpe oszczędności szybko się kończą, więc wyruszasz na wędrówkę po karczmach. Pełni współczucia goście czasem częstują Cię kielichem, żeby wysłuchać Twoich opowieści o wojnie. Zresztą, już od dawna nikt Ci nie wierzy.
str_retirement_text_4|Twoje oszczędności są niewielkie, lecz wystarczają na zakup niedużego kawałka ziemi w pobliżu miejscowości {s7}. Tak stałeś się wolnym właścicielem ziemskim i wkrótce zwróciły na Ciebie uwagę potencjalne/i {narzeczone/narzeczeni}. Z czasem mieszkańcy wioski zaczęli uważać Cię za miejscowego bohatera - przy stole zawsze sadzano Cię na honorowym miejscu, a o Twoich wyczynach bezustannie opowiadano w piwiarniach i karczmach. 
str_retirement_text_5|Twoje oszczędności są niewielkie, lecz wystarczają na zakup małej karczmy w miejscowości {s9}. Z początku miejscowi odnosili się do Ciebie nieufnie, lecz z czasem przyjęli Cię do swojego grona. Z biegiem lat Twoja karczma zyskała popularność, świętowano w niej wiele uroczystości. Niektórzy przyjeżdżali z innych miast specjalnie po to, żeby wieczerzać lub przenocować w twoim przybytku i posłuchać opowieści o Twojej bohaterskiej przeszłości. 
str_retirement_text_6|Przez całą karierę nieustannie odkładałeś pieniądze, a potem mądrze rozporządzałeś swoim bogactwem. Kupiłeś kilka kramów i składów w miejscowości {s9} i wkrótce stałeś się jednym z najbogatszych kupców w mieście. Pomnażasz swój majątek i w krótkim czasie sława Twojego handlowego imperium dorównuje Twojej sławie wojennej.
str_retirement_text_7|Miałeś posiadłość ziemską, niewielką, ale Twoja przyszłość była mniej więcej zabezpieczona. Zadomowiłeś się w swoim majątku w miejscowości {s7}, dbałeś o wioskę i pola, pełniłeś rolę sędziego pokoju i wypełniałeś swoje obowiązki wobec władcy. Czasami z jego rozkazu sprawowałeś dowództwo podczas wypraw wojennych. Te szybko się jednak kończyły, więc nie powróciłeś do swej awanturniczej młodości. Zarobiłeś sporo pieniędzy, masz swój zamek i ziemie, więc możesz sobie pozwolić na wszystko, czego dusza zapragnie.
str_retirement_text_8|Wspaniale o siebie zadbałeś. Twoje ogromne posiadłości i zgromadzone oszczędności pozwolą Ci spędzić resztę życia w luksusie. Powróciwszy do swego majątku w miejscowości {s8}, zaczynasz zajmować się polityką i wkrótce stajesz się znaczącą figurą na dworze władcy. Rozwiązujesz intrygi, polujesz, brylujesz na salonach, bawiąc gości niezliczonymi historiami wojennymi. Jednym słowem - masz udane życie.
str_retirement_text_9|Za Twoją wierną służbę władca podarował Ci dziedziczny tytuł, który pozwolił Ci wstąpić w szeregi arystokracji. Posiadłość {s7} zostaje objęta przez Ciebie we władanie, a Ty stajesz się jednym z najbardziej zaufanych ludzi władcy. Jesteś znany, co daje Ci wpływy i dużą władzę polityczną. Teraz poświęcasz się sprawom natury państwowej, zarządzasz swoimi majątkami i wspominasz dawne dni pełne przygód i sławy.
str_retirement_text_10|Zaczynałeś swą służbę od najniższych szczebli, lecz władca wysoko Cię cenił. Wielu zdziwiło się, kiedy podarował Ci dziedziczny tytuł {hrabiego/hrabiny} i posiadłość {s9}. Teraz masz do dyspozycji ogromny majątek i kapitał. Szybko zbliżasz się do władcy, prawie równasz się z nim siłą i wpływami, pomagasz mu rządzić krajem. Jesteś jedną z najbardziej znaczących figur w państwie.
str_loot_village|napadać na bezbronnych mieszkańców
str_steal_from_villagers|okradać biednych mieszkańców
str_men_hungry|głodować
str_men_unpaid|biedować
str_excessive_casualties|zamieniać każdą bitwę w krwawą jatkę
str_flee_battle|uciekać z pola bitwy
str_fail_quest|nie wykonać zadania, za które poręczono słowem honoru
str_squander_money|trwonić powierzone pieniądze
str_murder_merchant|popełniać morderstwa z zimną krwią
str_round_up_serfs|łapać niewolników na rozkaz dworzanina
str_battle_fate_1|Rozdzieliliśmy się w wirze walki
str_battle_fate_2|Zraniono mnie i zostawiono na śmierć
str_battle_fate_3|Cios wroga pozbawił mnie przytomności
str_battle_fate_4|Zażądano za mnie okupu
str_battle_fate_5|Wzięto mnie do niewoli, ale udało mi się uciec
str_npc_morale_report|Twój wybór towarzyszy {s6}, Twój sposób prowadzenia spraw {s7} i {s8} ogólny porządek rzeczy
str_happy|bardzo mi odpowiada
str_content|podoba mi się
str_concerned|nie podoba mi się
str_not_happy|zupełnie mi się nie podoba
str_miserable|brzydzi mnie
str_morale_reg1| Morale: {reg1}
str_bar_enthusiastic|                   Wojownik natchniony
str_bar_content|              Wojownik zadowolony
str_bar_weary|          Wojownik zmęczony
str_bar_disgruntled|     Wojownik niezadowolony
str_bar_miserable|  Wojownik zrozpaczony
str_here_plus_space|tutaj
str_npc1_intro|Kogo ja widzę! Ty przecież służyłeś pod dowództwem kniazia Jaremy...
str_npc2_intro|Proszę o wybaczenie, czy my się znamy?
str_npc3_intro|{Synu mój/Córko moja}! Pozwól mi poświęcić Twój posiłek i odmówić specjalną, piękną modlitwę, która przyniesie Ci szczęście w walce. Będzie Cię to kosztowało jedyne kilka kufelków chłodnego, pienistego piwa. 
str_npc4_intro|Bądź pozdrowiony, Kozaku! Nie chciałbyś wypić ze mną kielicha porządnej horyłki?
str_npc5_intro|Herr ritter, napijesz się ze mną?
str_npc6_intro|Bądź pozdrowiony, nieznajomy! To Ty szukasz chętnych ludzi? Jestem strzelcem, zwą mnie Teodot...
str_npc7_intro|Jeśli chcesz zaproponować mi napitek, to możesz nawet nie podchodzić!
str_npc8_intro|Isenmese!
str_npc9_intro|Witaj, {Panie/Pani}. Czy nie jesteś przypadkiem z Litwy?
str_npc10_intro|Victor de la Buscadeur, do usług.
str_npc11_intro|Chyba się znamy. Potrzebuję Twojej pomocy.
str_npc12_intro|Nie podoba mi się kolor Twojej twarzy, {Panie/Pani}. Może postawić Ci pijawki?
str_npc13_intro|Jeśli szukasz wróżki, to nie trafiłeś na czas. Wróżę tylko przy młodym księżycu.
str_npc14_intro|Dają tutaj okropne wino, {meister/pani}. Nie sądzisz?
str_npc15_intro|Czego się gapisz, chcesz skosztować wałka?
str_npc16_intro|Chcesz zaproponować mi pójście do Twojego pokoju za 10 talarów? Weź pod uwagę, że mam pod ręką ostry kindżał.
str_npc1_intro_response_1|Pomyliłeś się, ojcze. Przy okazji, nie widziałeś tu pana Zagłoby? Szukam go.
str_npc2_intro_response_1|Na razie nie. Nazywam się {playername}.
str_npc3_intro_response_1|Bądź pozdrowiony, święty ojcze! Czego się po tawernach tułasz? 
str_npc4_intro_response_1|A czemuż by nie wypić, jeśli człowiek dobry...
str_npc5_intro_response_1|Cóż, proszę. Powiedz no, co robi szwedzki muszkieter w tych stronach?
str_npc6_intro_response_1|Może i szukam. Czemu masz zniszczony kaftan, a do tego berdysz? Uciekłeś ze służby?
str_npc7_intro_response_1|Coś Ty. Nawet mi to do głowy nie przyszło. A sam z przyjemnością kielich wychylę.
str_npc8_intro_response_1|Wybacz, co mówiłeś?
str_npc9_intro_response_1|Chyba mnie z kimś mylisz, przyjacielu. 
str_npc10_intro_response_1|Ależ imię. Jesteś Hiszpanem?
str_npc11_intro_response_1|Nie przypominam sobie. A o co chodzi?
str_npc12_intro_response_1|Pijawki? A Ty co, cyrulik?
str_npc13_intro_response_1|Ciekawe. Myślałem, że lepiej jest wróżyć podczas pełni...
str_npc14_intro_response_1|A Ty, jak widzę, znasz się na winach...
str_npc15_intro_response_1|Boże broń! Wydawało mi się, że masz co opowiadać. Jak Cię zwą?
str_npc16_intro_response_1|Absolutnie nie! Przeciwnie, chciałem się dowiedzieć, czy ktoś Ci nie dokucza...
str_npc1_intro_response_2|Nie mam teraz ochoty na wspominki.
str_npc2_intro_response_2|Nie, wybaczcie, pomyliłem się.
str_npc3_intro_response_2|Nie spodziewałem się tu Ciebie zobaczyć... Odejdź, święty ojcze, Bóg z Tobą...
str_npc4_intro_response_2|Dziękuję, lecz już odjeżdżam.
str_npc5_intro_response_2|Wybacz, spieszę się.
str_npc6_intro_response_2|Nie, oszukano Cię.
str_npc7_intro_response_2|Tak, na Boga, nie mam z Tobą nic wspólnego.
str_npc8_intro_response_2|Odejdź, odejdź, bisurmanie. Nie rozumiem po waszemu.
str_npc9_intro_response_2|Porozmawiamy później, przyjacielu. Spieszę się.
str_npc10_intro_response_2|Bardzo się cieszę. Zobaczymy się później.
str_npc11_intro_response_2|Wybacz, spieszę się.
str_npc12_intro_response_2|Precz z moich oczu z tymi robalami, krwiopijco...
str_npc13_intro_response_2|Nie wierzę wróżkom. Żegnaj.
str_npc14_intro_response_2|Wybacz, wcale tak nie myślę!
str_npc15_intro_response_2|Nie, nie! Właśnie wychodzę...
str_npc16_intro_response_2|Po co od razu o takich rzeczach myśleć? Tak czy siak, właśnie wychodzę.
str_npc1_backstory_a|Masz szczęście, {synku/dziewucho}. Jam jest pan Zagłoba!
str_npc2_backstory_a|Jestem ostatnim przedstawicielem starożytnego rodu hospodarów wołoskich. Mój znamienity przodek to Wład Palownik, zwany też Drakulą - postrach Turków i władca Wołoszczyzny.
str_npc3_backstory_a|Od niedawna... jak by to powiedzieć... już nie noszę kapłańskich szat.
str_npc4_backstory_a|Zwą mnie Mamaj. Jestem potomkiem tego samego słynnego Kozaka, o którym pieśni śpiewają. Oczywiście, dziesięciu Lachów samymi szarawarami nie ubiję, ale pikę w rękach trzymać umiem. 
str_npc5_backstory_a|Nie całkiem mnie wypuszczono, dostałem permisję na jakiś czas. 
str_npc6_backstory_a|Tu masz rację. Uciekłem. Każdy na moim miejscu by tak postąpił. Pochodzę z Tuły, lecz ostatnie kilka lat służyłem w oddziale strzelców moskiewskich. Byłem tam dostarczycielem dziczyzny - zabijałem leśne zwierzęta na carski stół.
str_npc7_backstory_a|Wino, horyłka, sznaps - to przekleństwo mego życia. Wystarczy, że wezmę łyk krzepkiego napoju, a całe ciało zaczyna swędzieć i pokrywa się wypryskami...
str_npc8_backstory_a|Pomyliłem się, {Panie/Pani}. Isenmese po tatarsku oznacza: ''czy jeszcze żyjesz?''. To takie powitanie, coś w stylu ''co słychać?''.
str_npc9_backstory_a|Proszę o wybaczenie. Pozwól, że się przedstawię. Jestem Olgierd, nazwisko wolałbym zachować w sekrecie.
str_npc10_backstory_a|Jestem potomkiem starożytnego rodu, który zapuścił korzenie zarówno w Starym, jak i w Nowym Świecie. Buskadorowie brali udział chyba we wszystkich wojnach, już od czasów rekonkwisty.
str_npc11_backstory_a|Polują na mnie ludzie tatarskiego chana. Zajeździłem trzy konie i w końcu ukryłem się tutaj.
str_npc12_backstory_a|Pochodzę z Kijowa. Szkoliłem się w Kijowsko-Brackim Kolegium, nauczyłem się pisać i czytać i w końcu zostałem lekarzem. Do niedawna zajmowałem się Kozakami z kureniewskich przedmieść. Leczyłem ich ze skutków przepicia, puszczałem krew, robiłem opatrunki. I żyłbym sobie dostatnio, gdybym nie spotkał francuskiego kartografa... Jak mu tam... Guillaume'a de Beauplana. Był przejazdem w Kijowie, zaniemógł i wezwali mnie, żebym mu pijawki postawił... 
str_npc13_backstory_a|Jestem Oksana, wróżka. Sztuka wróżenia przekazywana jest w mojej rodzinie z babki na wnuczkę od niepamiętnych czasów.
str_npc14_backstory_a|Pewnie. Przecież jestem markietanką z patentem od samego króla Szwecji. A właściwie to byłam, do niedawna.
