str_no_string|AUCUNE CHAÎNE !
str_relation_plus_80|Loyauté
str_relation_plus_90|Loyauté
str_relation_mnus_100_ns|{s60} éprouve de l'hostilité envers vous.
str_relation_mnus_90_ns|{s60} éprouve de l'hostilité envers vous.
str_relation_mnus_80_ns|{s60} éprouve de l'hostilité envers vous.
str_relation_mnus_70_ns|{s60} éprouve de la haine envers vous.
str_relation_mnus_60_ns|{s60} éprouve de la haine envers vous.
str_relation_mnus_50_ns|{s60} éprouve de l'hostilité envers vous.
str_relation_mnus_40_ns|{s60} éprouve de la rancœur envers vous.
str_relation_mnus_30_ns|{s60} éprouve de la rancœur envers vous.
str_relation_mnus_20_ns|{s60} a des soupçons vous concernant.
str_relation_mnus_10_ns|{s60} a des soupçons vous concernant.
str_relation_plus_0_ns|{s60} éprouve de l'indifférence envers vous.
str_relation_plus_10_ns|{s60} éprouve de l'indifférence envers vous.
str_relation_plus_20_ns|{s60} éprouve de la sympathie envers vous.
str_relation_plus_30_ns|{s60} éprouve de la sympathie envers vous.
str_relation_plus_40_ns|{s60} vous soutient.
str_relation_plus_50_ns|{s60} vous soutient.
str_relation_plus_60_ns|{s60} est aimable avec vous.
str_relation_plus_70_ns|{s60} est aimable avec vous.
str_relation_plus_80_ns|{s60} vous offre sa loyauté.
str_relation_plus_90_ns|{s60} vous offre sa loyauté.
str_relation_reg1| Relations : {reg1}
str_center_relation_mnus_100|Le peuple vous voue une haine extrême
str_center_relation_mnus_90|Le peuple vous voue une haine intense
str_center_relation_mnus_80|Le peuple vous voue une haine féroce
str_center_relation_mnus_70|Le peuple vous déteste
str_center_relation_mnus_60|Le peuple entretient avec vous des relations aversives
str_center_relation_mnus_50|Le peuple entretient avec vous des relations extrêmement hostiles
str_center_relation_mnus_40|Le peuple entretient avec vous des relations très hostiles
str_center_relation_mnus_30|Le peuple est hostile à votre égard
str_center_relation_mnus_20|Le peuple est contre vous
str_center_relation_mnus_10|Le peuple s'oppose à vous
str_center_relation_plus_0|Le peuple est indifférent à votre égard
str_center_relation_plus_10|Le peuple est tolérant à votre égard
str_center_relation_plus_20|Le peuple est coopératif avec vous
str_center_relation_plus_30|Le peuple vous soutient plus ou moins
str_center_relation_plus_40|Le peuple vous soutient
str_center_relation_plus_50|Le peuple vous soutient beaucoup
str_center_relation_plus_60|Le peuple est loyal envers vous
str_center_relation_plus_70|Le peuple est très loyal envers vous
str_center_relation_plus_80|Le peuple est extrêmement loyal envers vous
str_center_relation_plus_90|Le peuple est exceptionnellement loyal envers vous
str_town_prosperity_0|La pauvreté du bourg de {s60} est insoutenable.
str_town_prosperity_10|Le bourg sordide de {s60} est presque désert.
str_town_prosperity_20|Le bourg de {s60} semble être un endroit misérable et désertique.
str_town_prosperity_30|Le bourg de {s60} semble pauvre et laissé à l'abandon.
str_town_prosperity_40|Le bourg de {s60} semble en difficulté.
str_town_prosperity_50|Le bourg de {s60} semble ordinaire.
str_town_prosperity_60|Le bourg de {s60} semble prospère.
str_town_prosperity_70|Le bourg prospère de {s60} grouille d'activité.
str_town_prosperity_80|Le bourg de {s60} semble riche et bien entretenu.
str_town_prosperity_90|Le bourg de {s60} est riche, tout comme ses habitants.
str_town_prosperity_100|Le splendide bourg de {s60} affiche ouvertement sa grande richesse.
str_village_prosperity_0|La pauvreté du village de {s60} est insoutenable.
str_village_prosperity_10|Le village de {s60} semble atrocement pauvre et misérable.
str_village_prosperity_20|Le village de {s60} semble très pauvre et désertique..
str_village_prosperity_30|Le village de {s60} semble pauvre et laissé à l'abandon.
str_village_prosperity_40|Le village de {s60} semble assez pauvre et en difficulté.
str_village_prosperity_50|Le village de {s60} semble ordinaire.
str_village_prosperity_60|Le village de {s60} semble prospère.
str_village_prosperity_70|Le village de {s60} semble florissant.
str_village_prosperity_80|Le village de {s60} semble riche et bien entretenu.
str_village_prosperity_90|Le village de {s60} semble très riche et prospère.
str_village_prosperity_100|Le village de {s60}, entouré par de vastes terrains fertiles, semble immensément riche.
str_war_report_minus_4|nous sommes sur le point de perdre la guerre
str_war_report_minus_3|la situation semble peu encourageante
str_war_report_minus_2|nous ne sommes pas en très bonne posture 
str_war_report_minus_1|nous pouvons encore gagner la guerre si nous nous rassemblons
str_war_report_0|nos forces et celles de l'ennemi sont équilibrées
str_war_report_plus_1|nous avons de bonnes chances de gagner la guerre
str_war_report_plus_2|nous nous trouvons dans une situation plutôt favorable
str_war_report_plus_3|nous ne devrions rencontrer aucune difficulté à les vaincre
str_war_report_plus_4|nous sommes sur le point de gagner la guerre
str_persuasion_summary_very_bad|Vous faites de votre mieux pour persuader {s50}, mais aucun de vos arguments ne semble aboutir. À chaque fois que vous essayez d'être sensé, vous semblez proférer des paroles totalement erronées qui vous écartent du sujet. Au moment où vous terminez de parler, vous n'êtes pas parvenu à établir un discours cohérent servant à vous valoriser et vous réalisez que tout ce que vous avez fait n'a servi qu'à vous enfoncer davantage. Bien entendu, vous n'impressionnez pas {s50}.
str_persuasion_summary_bad|Vous essayez de persuader {s50}, mais {reg51?elle:il} vous voit tout de suite venir. Même vos meilleurs arguments sonnent faux à vos oreilles. Par ailleurs, {s50} n'a pas une très haute opinion de ce que vous aviez à dire.
str_persuasion_summary_average|{s50} se révèle être un interlocuteur habile doté d'un esprit vif et vous ne pourrez avancer d'autres arguments sans qu'{reg51?elle:il} ne sache les contrer adroitement. À la fin de cette discussion, aucun d'entre vous n'est parvenu à gagner du terrain.
str_persuasion_summary_good|Grâce à un esprit vif et une argumentation fluide, vous finissez par gérer la situation, obligeant {s50} à céder sur certains points. Cependant, {reg51?elle:il} exprime encore des doutes au sujet de votre requête.
str_persuasion_summary_very_good|Vous faites un discours enthousiaste qui sonne comme une poésie pour les auditeurs attentifs. Le monde lui-même semble se taire pour mieux vous entendre. La profondeur des mots a ému {s50} et {reg51?elle:il} semble vouloir vous aider.
str_secret_sign_1|L'armoire danse à minuit...
str_secret_sign_2|Je vends ces tapisseries fines turques. Désirez-vous acheter l'une d'elles ?
str_secret_sign_3|L'ami d'un ami m'a envoyé...
str_secret_sign_4|Un fort vent d'est souffle et la rivière devient rouge...
str_countersign_1|Mais danse-t-elle pour le vaisselier ou le chandelier ?
str_countersign_2|Oui, ça m'intéresse, en avez-vous en bleu ?
str_countersign_3|Mais, mon ami, l'ami de votre ami n'aura jamais d'ami comme moi.
str_countersign_4|Avez-vous été malade ?
str_name_1|Sirko
str_name_2|Mozyra
str_name_3|Filon
str_name_4|Buhalo
str_name_5|Nechuy
str_name_6|Rourk
str_name_7|Asmund
str_name_8|Bjorn
str_name_9|Sigvar
str_name_10|Torgreyr
str_name_11|Gunnstein
str_name_12|Chort
str_name_13|Okun
str_name_14|Pad-Nez
str_name_15|Bag Hareur
str_name_16|Bal Hadeur
str_name_17|Tabash
str_name_18|Zamora
str_name_19|Gudz
str_name_20|Barnabas
str_name_21|Wojciech
str_name_22|Garsha
str_name_23|Baibak
str_name_24|Bakhmet
str_name_25|Akun
str_surname_1|{s50} Face de Rat
str_surname_2|{s50} l'Éventreur
str_surname_3|{s50} Dans l'Mille
str_surname_4|{s50} l'Efflanqué
str_surname_5|{s50} le Pigeon
str_surname_6|{s50} Gueule d'Or
str_surname_7|{s50} Raz de Marée
str_surname_8|{s50} le Grisonnant
str_surname_9|{s50} l'Avide
str_surname_10|{s50} le Bon
str_surname_11|{s50} le Hautain
str_surname_12|{s50} le Costaud
str_surname_13|{s50} le Gringalet
str_surname_14|{s50} le Chacal
str_surname_15|{s50} le Vantard
str_surname_16|{s50} Coup de Semonce
str_surname_17|{s50} l'Araignée
str_surname_18|{s50} l'Âne
str_surname_19|{s50} aux grandes oreilles
str_surname_20|{s50} le Mousquet
str_surname_21|{s50} le Blanc
str_surname_22|{s50} le Noir 
str_surname_23|{s50} le Rouge 
str_surname_24|{s50} le Funeste
str_surname_25|{s50} Bras de Fer
str_surname_26|{s50} l'Idiot
str_surname_27|{s50} l'Ancien
str_surname_28|{s50} les Longs Bras
str_surname_29|{s50} le Sanglier
str_surname_30|{s50} le Bossu
str_surname_31|{s50} la Boule
str_surname_32|{s50} le Gros
str_surname_33|{s50} le Jovial
str_surname_34|{s50} le Lugubre
str_surname_35|{s50} le Bigleux
str_surname_36|{s50} le Dresseur d'abeilles
str_surname_37|{s50} le Muet
str_surname_38|{s50} l'Adroit
str_surname_39|{s50} le Charmeur
str_surname_40|{s50} le Spécialiste
str_surname_41|{s50} le Loup 
str_surnames_end|fin des surnoms 
str_number_of_troops_killed_reg1|Nombre de troupes tuées : {reg1}
str_number_of_troops_wounded_reg1|Nombre de troupes blessées : {reg1}
str_number_of_own_troops_killed_reg1|Nombre de troupes alliées tuées : {reg1}
str_number_of_own_troops_wounded_reg1|Nombre de troupes alliées blessées : {reg1}
str_retreat|Battez en retraite !
str_siege_continues|Le combat continue...
str_casualty_display|Vos pertes : {s10}^Pertes ennemies : {s11}{s12}
str_casualty_display_hp|^Une blessure vous retire {reg1} point(s) de vie.
str_quest_log_updated|Le journal de quêtes a été mis à jour...
str_banner_selection_text|On vous a octroyé le droit de porter une bannière. Votre bannière représentera votre statut et vous honorera. Quelle bannière voulez-vous choisir ?
str_retirement_text_1|Vous réalisez trop tard que votre fortune ne sera pas éternelle. Il ne vous a pas fallu longtemps pour gaspiller le peu d'argent que vous aviez pris la peine de garder et plusieurs de vos tentatives désespérées pour repartir à l'aventure ont été infructueuses. Vous finissez comme mendiant à {s9}, vivant de l'aumône et de la charité de l'église. 
str_retirement_text_2|Vous réalisez trop tard que votre fortune ne sera pas éternelle. Il ne vous a pas fallu longtemps pour gaspiller le peu d'argent que vous aviez pris la peine de garder. Une fois votre dernier thaler dilapidé, vous commencez une vie de criminel dans les ruelles de {s9}, utilisant votre habilité à détrousser les petites gens pour gagner votre pitance.
str_retirement_text_3|Vous réalisez trop tard que votre fortune ne sera pas éternelle. Il ne vous a pas fallu longtemps pour gaspiller le peu d'argent que vous aviez pris la peine de garder. Alors, vous finissez par écumer les tavernes sans un sou, mais en obtenant vos verres des patrons indulgents en les régalant de vos exploits de guerre que personne ne prend jamais sérieux.
str_retirement_text_4|L'argent que vous aviez mis de côté s'épuise rapidement, mais vous parvenez tout de même à en rassembler suffisamment pour faire l'acquisition d'une terre aux alentours du village de {s7}. Là-bas, vous vivez en fermier libre et très vite vous commencez à attirer {d'eventuelles épouses/d'éventuels époux}. Avec le temps, les villageois vous considèrent comme un héros local. Une place d'honneur vous est toujours réservée lors des banquets et vos exploits sont contés encore et encore dans les auberges et les tavernes pour que les enfants puissent se souvenir de vous à jamais.
str_retirement_text_5|L'argent que vous aviez mis de côté s'épuise rapidement, mais il vous en reste assez pour faire l'acquisition d'une taverne à {s9}. Bien qu'au premier abord, les habitants de la région soient méfiants à votre égard, ils vous acceptent parmi eux. À mesure que le temps passe, votre taverne en pleine croissance devient un lieu de rencontre idéal ainsi qu'une salle de fêtes populaire. Les gens viennent de partout pour le gîte et le couvert grâce à votre renommée sans faille et aux récits épiques de vos aventures. Les gens viennent de loin pour goûter à votre cuisine, qu'on dit excellente, et pour écouter les récits épiques de votre vie d'aventurier, que vous ne manquez jamais de raconter.
str_retirement_text_6|Vous avez économisé avec sagesse tout au long de votre carrière. Désormais, votre fortune et votre intelligence vous permettent d'effectuer des investissements éclairés pour consolider votre avenir. Après avoir acheté plusieurs commerces et entrepôts à {s9}, votre discernement fait de vous l'un des marchands les plus importants du bourg et bientôt vous devenez très prospère, connu autant pour votre empire commercial que pour vos faits d'armes.
str_retirement_text_7|Vous êtes un noble propriétaire, néanmoins, de faible rang et votre futur est tout sauf garanti. Vous vous installez dans votre fief à {s7}, gérant les villages et leurs champs, rendant la justice dans les cours locales et remplissant vos obligations envers votre suzerain. De temps à autre, votre suzerain vous appelle à rallier et commander les armées de ses campagnes, mais ces périodes sont brèves et vous ne retrouvez jamais vraiment le goût de vos aventures d'antan. Vous avez déjà fait fortune. Avec votre propre manoir et vos possessions, vous n'avez que peu de souhaits qui ne puissent être exaucés grâce à vos revenus et vos richesses. 
str_retirement_text_8|Il est indiscutable que vous vous en êtes très bien tiré au niveau personnel. Vos nombreuses possessions et trésors d'aventures représentent assez pour vous garantir une vie douce et aisée pour le restant de vos jours. En prenant votre retraite en qualité de noble à {8}, vous échangez l'aventure pour la politique et très vite, vous vous imposez en tant que puissance dans le royaume de votre suzerain. Lorsque vous n'êtes pas occupé à déjouer les complots, vous chassez dans vos propres forêts, ou festoyez tout en contant mille et un exploits au combat. Vous vivez agréablement durant ces années.
str_retirement_text_9|En récompense de vos bons et loyaux services, votre suzerain décrète l'hérédité de votre titre, vous permettant ainsi d'atteindre les hautes sphères de la noblesse dans le royaume. Vous devenez baron de {7}, puis vous rejoignez les conseillers les plus proches de votre suzerain. Votre renommée vous octroie une influence et une force de persuasion subtiles ainsi qu'un pouvoir politique manifeste. Désormais vous écoulez les jours dans le jeu du pouvoir, tout en gérant vos immenses fiefs et en relatant avec fierté vos aventures d'antan.
str_retirement_text_10|Bien que vous ayez des origines modestes, votre suzerain vous tient en haute estime. Tout le royaume est surpris lorsqu'il vous confère le titre héréditaire de {comte/comtesse} de {s9}. Vous voilà à la tête de vastes fiefs et d'une immense fortune. Vous devenez très vite le conseiller le plus fidèle de votre suzerain, presque son égal, avec sous votre responsabilité une bonne partie du royaume. Vous siégez vous-même sur un trône dans un majestueux palais et êtes l'une des figures majeures du pays.
str_loot_village|attaquer les villageois innocents
str_steal_from_villagers|voler les pauvres villageois
str_men_hungry|provoquer une famine
str_men_unpaid|plonger dans la pauvreté
str_excessive_casualties|que chaque bataille se transforme en bain de sang pour nos hommes
str_flee_battle|fuir le combat
str_fail_quest|échouer dans une quête pour laquelle nous avons donné notre parole d'honneur
str_squander_money|dilapider l'argent que l'on nous a confié
str_murder_merchant|nous impliquer dans un meurtre de-sang froid
str_round_up_serfs|rassembler des serfs pour le compte d'un noble
str_battle_fate_1|Nous avons été séparés dans le feu de l'action
str_battle_fate_2|J'ai été blessé puis laissé pour mort
str_battle_fate_3|J'ai été assommé par l'ennemi
str_battle_fate_4|J'ai été capturé pour être échangé contre une rançon
str_battle_fate_5|J'ai été capturé, mais j'ai finalement réussi à m'enfuir
str_npc_morale_report|Je suis {s6} votre choix de compagnons, {s7} votre style de commandement et {s8} l'état général des affaires.
str_happy|satisfait de
str_content|content de
str_concerned|préoccupé par
str_not_happy|loin d'être satisfait de
str_miserable|franchement consterné par
str_morale_reg1| Moral : {reg1}
str_bar_enthusiastic|                   Enthousiaste
str_bar_content|              Content
str_bar_weary|          Fatigué
str_bar_disgruntled|     Maussade
str_bar_miserable|  Malheureux
str_here_plus_space|ici 
str_npc1_intro|Hé là, voyageur, ne seriez-vous pas par hasard un des guerriers du prince Yarema ?
str_npc2_intro|On ne se connaîtrait pas ?
str_npc3_intro|{Mon fils/Ma fille} ! Permettez-moi de bénir votre repas et de déclamer une magnifique prière qui vous portera chance dans la bataille. En échange, je ne demande que quelques chopes de bière fraîche !
str_npc4_intro|Bien le bonjour, Cosaque ! Voudriez-vous boire quelques verres de vodka avec moi ?
str_npc5_intro|Herr Ritter, voulez-vous vous joindre à moi ?
str_npc6_intro|Bien le bonjour, étranger ! Est-ce vous qui cherchez des hommes ? Je suis tireur d'élite, je m'appelle Fedot...
str_npc7_intro|Si vous voulez me payer un verre, abstenez-vous !
str_npc8_intro|Isanmesez !
str_npc9_intro|Bonjour, {Monsieur/Madame}. Ne viendriez-vous pas de Lituanie ?
str_npc10_intro|Victor de la Buscador, à votre service !
str_npc11_intro|Bonjour. Il me semble que nous nous connaissons. J'ai besoin de votre aide.
str_npc12_intro|La couleur de votre visage m'inquiète, {Monsieur/Madame}. Vous devriez peut-être utiliser des sangsues...
str_npc13_intro|Si vous voulez entendre la bonne aventure, ce n'est pas le bon moment. Je ne la dis que lorsque la lune est jeune.
str_npc14_intro|Enchantée, {Monsieur/Madame}. Le vin d'ici est ignoble, ne trouvez-vous pas ?
str_npc15_intro|Qu'est-ce que vous regardez ? Vous voulez tâter de mon rouleau à pâtisserie ?
str_npc16_intro|Vous êtes sur le point de me proposer dix thalers pour venir dans votre chambre ? Sachez que je tiens une dague bien aiguisée dans ma main.
str_npc1_intro_response_1|Non, vous faites erreur. Mais peut-être avez-vous vu le colonel Zagloba ici ? Je le cherche.
str_npc2_intro_response_1|Non, pas encore. Je m'appelle {playername}.
str_npc3_intro_response_1|Bon Dieu ! Pourquoi traînez-vous dans les tavernes ?
str_npc4_intro_response_1|Je ne suis pas contre un petit verre lorsque la compagnie est agréable...
str_npc5_intro_response_1|Ma foi, pourquoi pas ? Et qu'est-ce qui amène un mousquetaire suédois sur ces terres ?
str_npc6_intro_response_1|Je suis peut-être à la recherche de quelque chose. Pourquoi votre manteau est-il si usé ? Ouah, c'est une sacrée hache d'armes que voilà... Vous avez déserté l'armée ?
str_npc7_intro_response_1|Ma parole, ce n'est pas mon genre !
str_npc8_intro_response_1|Pardon, qu'avez-vous dit ?
str_npc9_intro_response_1|Vous devez me confondre avec quelqu'un d'autre, l'ami.
str_npc10_intro_response_1|Eh bien, quel drôle de nom. Vous êtes Espagnol ?
str_npc11_intro_response_1|Je ne me souviens pas. Quel est le problème ?
str_npc12_intro_response_1|Des sangsues ? Êtes-vous médecin ?
str_npc13_intro_response_1|Fascinant. J'ai toujours cru que la pleine lune était mieux pour cela.
str_npc14_intro_response_1|Vous êtes un connaisseur, hein ?
str_npc15_intro_response_1|Grand Dieu, non ! J'ai cru que vous vouliez me dire quelque chose. Comment vous appelez-vous ?
str_npc16_intro_response_1|Oh non... Au contraire, j'allais vous demander si vous aviez besoin de quoi que ce soit...
str_npc1_intro_response_2|L'heure n'est pas à la nostalgie.
str_npc2_intro_response_2|Excusez-moi, je me suis trompé...
str_npc3_intro_response_2|Tiens, tiens, comme c'est intéressant... Allez, mon père, Dieu pourvoira à vos besoins...
str_npc4_intro_response_2|Merci, mais j'allais partir.
str_npc5_intro_response_2|Excusez-moi, mais je suis pressé.
str_npc6_intro_response_2|Les apparences sont trompeuses.
str_npc7_intro_response_2|Pour l'amour du ciel, vous ne m'intéressez point.
str_npc8_intro_response_2|Va-t'en de là, païen, je ne comprends pas ton charabia.
str_npc9_intro_response_2|Nous parlerons plus tard, mon ami. Je suis pressé.
str_npc10_intro_response_2|J'en suis heureux. Nous nous verrons plus tard.
str_npc11_intro_response_2|Excusez-moi, mais je suis pressé.
str_npc12_intro_response_2|Prends tes satanés vers et va-t'en, espèce de parasite !
str_npc13_intro_response_2|Je n'ai pas le temps de jouer. Au revoir.
str_npc14_intro_response_2|Excusez-moi, mais je n'ai pas le temps de discuter. Bonne soirée.
str_npc15_intro_response_2|Non, ça ira ! Je m'en vais...
str_npc16_intro_response_2|Pourquoi envisagez-vous tout de suite le pire ? Ce n'est pas grave, je m'en vais.
str_npc1_backstory_a|C'est votre jour de chance, {fiston/ma fille}. Je suis le colonel Zagloba !
str_npc2_backstory_a|Je suis le dernier survivant d'une ancienne lignée de seigneurs valaques. Mon ancêtre, Vladislav Tepes, le célèbre Dracula, était le fléau des Turcs et le seigneur de Transylvanie !
str_npc3_backstory_a|Je suis, comment dire... Je ne suis plus vraiment les ordres sacrés.
str_npc4_backstory_a|Je m'appelle Mamai. Je suis le descendant du célèbre Cosaque du poème. Bien sûr, j'aurais bien du mal à étrangler une dizaine de Polonais avec mon pantalon pour seule arme, mais je sais très bien me servir d'une pique.
str_npc5_backstory_a|Non, j'ai simplement été démobilisé pour quelque temps.
str_npc6_backstory_a|C'est vrai. Je me suis enfui, qui ne l'aurait pas fait ? Je viens de Toula, mais ces dernières années, j'ai servi en tant que tireur d'élite de Moscou. J'ai autrefois été un chasseur célèbre, je ramenais le gibier aux cuisines royales.
str_npc7_backstory_a|Vin, vodka, schnaps... C'est ma faiblesse. Rien qu'une petite gorgée et j'ai des démangeaisons de partout.
str_npc8_backstory_a|Je vous prie de m'excuser, Monsieur. Isanmesez signifie "vivez-vous toujours ?". C'est une sorte de salutation, comme "enchanté".
str_npc9_backstory_a|Je vous fais mes plus plates excuses. Permettez-moi de me présenter : je m'appelle Algirdas. Je préfère garder mon nom de famille secret.
str_npc10_backstory_a|Je suis l'héritier d'une ancienne maison dont les racines s'étendent de l'Europe jusqu'au Nouveau Monde. Les Buscador ont participé à toutes les guerres depuis la Reconquista.
str_npc11_backstory_a|Les hommes du khan tartare me pourchassent. J'ai épuisé trois chevaux, puis j'ai décidé de me cacher ici.
str_npc12_backstory_a|Je viens de Kiev. J'ai appris à lire et à écrire à l'université de Kiev-Bratsk et je suis ensuite devenu médecin. Jusqu'à récemment, j'offrais mes services à la communauté cosaque de Kurenevska. Je soignais leurs gueules de bois, leur faisais des saignées, bandais leurs blessures. J'aurais eu la belle vie si je n'avais pas rencontré ce cartographe français... comment s'appelait-il... Guillaume de Beauplan. Il est tombé malade lors de son passage à Kiev et l'on m'a appelé pour lui appliquer des sangsues...
str_npc13_backstory_a|Je suis Oksana, je pratique la divination. Le don de la magie se transmet dans ma famille depuis des temps immémoriaux, de mère en fille...
str_npc14_backstory_a|Oh, certainement. Je suis commissaire de l'armée avec un brevet du roi de Suède en personne. Enfin, je l'étais...
