str_no_string|¡NO STRING!
str_siege_defender_order_attack_failure|El asalto se convierte en un baño de sangre. Los valientes esfuerzos no acarrean resultados positivos; la guarnición, sobrepasada, no puede proteger las murallas y el enemigo ejecuta a todos y cada uno de los defensores.
str_siege_defender_order_attack_continue|Los sangrientos asaltos continuados contra las murallas no son suficientes para ganar terreno y aún quedan en pie demasiados enemigos como para proclamar la victoria. El sitio continúa.
str_hero_taken_prisoner|{s1} del {s3} ha sido tomado prisionero por el {s2}.
str_hero_freed|{s1} del {s3} ha sido liberado por el {s2}.
str_center_captured|{s2} ha tomado {s1} del {s3}.
str_troop_relation_increased|Tu relación con {s1} ha mejorado de {reg1} a {reg2}.
str_troop_relation_detoriated|Tu relación con {s1} se ha deteriorado de {reg1} a {reg2}.
str_faction_relation_increased|Tu relación con {s1} ha mejorado de {reg1} a {reg2}.
str_faction_relation_detoriated|Tu relación con {s1} se ha deteriorado de {reg1} a {reg2}.
str_party_gained_morale|Tu grupo gana {reg1} puntos de moral.
str_party_lost_morale|Tu grupo pierde {reg1} puntos de moral.
str_qst_follow_spy_noticed_you|¡El espía te ha visto! ¡Está huyendo!
str_father|padre
str_husband|marido
str_wife|esposa
str_daughter|hija
str_mother|madre
str_son|hijo
str_brother|hermano
str_sister|hermana
str_he|Él
str_she|Ella
str_s3s_s2|{s2} del {s3}
str_s5_is_s51|{s5} es {s51}.
str_s5_is_the_ruler_of_s51|{s5} es el gobernante de {s51}. 
str_s5_is_a_nobleman_of_s6|{s5} forma parte de la nobleza de {s6}. 
str_relation_mnus_100|               Hostilidad
str_relation_mnus_90|               Hostilidad
str_relation_mnus_80|               Hostilidad
str_relation_mnus_70|               Odio
str_relation_mnus_60|               Odio
str_relation_mnus_50|               Rencor
str_relation_mnus_40|               Rencor
str_relation_mnus_30|               Recelo
str_relation_mnus_20|               Recelo
str_relation_mnus_10|               Indiferencia
str_relation_plus_0|               Indiferencia
str_relation_plus_10|               Indiferencia
str_relation_plus_20|               Simpatía
str_relation_plus_30|               Simpatía
str_relation_plus_40|               Apoyo
str_relation_plus_50|               Apoyo
str_relation_plus_60|               Amistad
str_relation_plus_70|               Amistad
str_relation_plus_80|               Devoción
str_relation_plus_90|               Devoción
str_relation_mnus_100_ns|{s60} tiene ansias de venganza contra ti.
str_relation_mnus_90_ns|{s60} tiene ansias de venganza contra ti.
str_relation_mnus_80_ns|{s60} tiene ansias de venganza contra ti.
str_relation_mnus_70_ns|{s60} te odia.
str_relation_mnus_60_ns|{s60} te odia.
str_relation_mnus_50_ns|{s60} se muestra hostil contigo.
str_relation_mnus_40_ns|{s60} está enfadado contigo.
str_relation_mnus_30_ns|{s60} siente rencor hacia ti.
str_relation_mnus_20_ns|{s60} se muestra reticente contigo.
str_relation_mnus_10_ns|{s60} sospecha de ti.
str_relation_plus_0_ns|A {s60} le eres indiferente.
str_relation_plus_10_ns|{s60} coopera contigo.
str_relation_plus_20_ns|{s60} te acoge con agrado.
str_relation_plus_30_ns|{s60} te es favorable.
str_relation_plus_40_ns|{s60} te apoya.
str_relation_plus_50_ns|{s60} es cordial contigo.
str_relation_plus_60_ns|{s60} es amable contigo.
str_relation_plus_70_ns|{s60} siente afecto por ti.
str_relation_plus_80_ns|{s60} te es leal.
str_relation_plus_90_ns|{s60} muestra devoción hacia ti.
str_relation_reg1| Relación: {reg1}
str_center_relation_mnus_100|El pueblo te odia con fervor
str_center_relation_mnus_90|El pueblo te odia intensamente
str_center_relation_mnus_80|El pueblo te odia con vehemencia
str_center_relation_mnus_70|El pueblo te odia
str_center_relation_mnus_60|El pueblo se muestra desagradable contigo
str_center_relation_mnus_50|El pueblo se muestra extremadamente hostil contigo
str_center_relation_mnus_40|El pueblo se muestra muy hostil contigo
str_center_relation_mnus_30|El pueblo se muestra hostil contigo
str_center_relation_mnus_20|El pueblo está en tu contra
str_center_relation_mnus_10|El pueblo se opone a ti
str_center_relation_plus_0|El pueblo muestra indiferencia hacia ti
str_center_relation_plus_10|El pueblo te acepta
str_center_relation_plus_20|El pueblo coopera contigo
str_center_relation_plus_30|El pueblo te respalda un poco
str_center_relation_plus_40|El pueblo te respalda
str_center_relation_plus_50|El pueblo te respalda incondicionalmente
str_center_relation_plus_60|El pueblo te es leal
str_center_relation_plus_70|El pueblo te es muy leal
str_center_relation_plus_80|El pueblo siente devoción por ti
str_center_relation_plus_90|El pueblo siente una enorme devoción por ti
str_town_prosperity_0|La pobreza de la ciudad de {s60} es insoportable.
str_town_prosperity_10|La inmunda ciudad de {s60} está prácticamente desierta.
str_town_prosperity_20|La ciudad de {s60} parece un lugar desolado y triste.
str_town_prosperity_30|La ciudad de {s60} parece pobre y descuidada.
str_town_prosperity_40|La ciudad de {s60} parece estar pasando por dificultades.
str_town_prosperity_50|La ciudad de {s60} parece poco interesante.
str_town_prosperity_60|La ciudad de {s60} parece estar prosperando.
str_town_prosperity_70|En la próspera ciudad de {s60} hay mucho ajetreo.
str_town_prosperity_80|La ciudad de {s60} parece rica y bien cuidada.
str_town_prosperity_90|La ciudad de {s60} es opulenta y sus calles están llenas de gente bien.
str_town_prosperity_100|La esplendorosa ciudad de {s60} presume abiertamente de sus riquezas.
str_village_prosperity_0|La pobreza de la aldea de {s60} es insoportable.
str_village_prosperity_10|La aldea de {s60} parece terriblemente pobre y miserable.
str_village_prosperity_20|La aldea de {s60} parece muy pobre y abandonada.
str_village_prosperity_30|La aldea de {s60} parece pobre y descuidada.
str_village_prosperity_40|La aldea de {s60} parece estar pasando dificultades.
str_village_prosperity_50|La aldea de {s60} no tiene nada de interesante.
str_village_prosperity_60|La aldea de {s60} parece estar prosperando.
str_village_prosperity_70|La aldea de {s60} parece bulliciosa y próspera.
str_village_prosperity_80|La aldea de {s60} parece rica y bien cuidada.
str_village_prosperity_90|La aldea de {s60} parece muy próspera y rica.
str_village_prosperity_100|La aldea de {s60}, rodeada de amplios y verdes pastos, parece inmensamente rica.
str_war_report_minus_4|estamos a punto de perder la guerra
str_war_report_minus_3|la situación es poco prometedora
str_war_report_minus_2|las cosas no van muy bien
str_war_report_minus_1|aún podemos ganar la guerra si nos esforzamos
str_war_report_0|estamos igualados con el enemigo
str_war_report_plus_1|tenemos posibilidades de ganar la guerra
str_war_report_plus_2|las cosas van bastante bien
str_war_report_plus_3|no tendremos dificultades para vencer
str_war_report_plus_4|estamos a punto de ganar la guerra
str_persuasion_summary_very_bad|Intentas persuadir a {s50}, pero parece que tus argumentos no son convincentes. Cada vez que empiezas a decir algo sensato, lo estropeas con algún comentario desafortunado. Y para cuando terminas de hablar, no has conseguido decir nada coherente a tu favor, y te das cuenta de que lo único que has hecho ha sido empeorarlo todo aún más. Como era de esperar, {s50} no se ha quedado con una impresión favorable.
str_persuasion_summary_bad|Intentas persuadir a {s50}, pero {reg51?ella:él} te domina desde el comienzo. Tus argumentos te suenan débiles incluso a ti. {s50}, por su parte, no se ha llevado  muy buena impresión de tu exposición.
str_persuasion_summary_average|{s50} resulta ser inteligente y convincente y parece que eres incapaz de presentarle un argumento que {reg51?ella:él} no sea capaz de rebatir con racionalidad. Al final, ninguno de los dos conseguís ganar terreno en la discusión.
str_persuasion_summary_good|Gracias a tu lucidez mental y tus buenos argumentos, eres capaz de exponer tu caso y logras que {s50} te conceda la razón varias veces, aunque sigue albergando dudas.
str_persuasion_summary_very_good|Tu apasionante y convincente discurso resuena en los oídos de los oyentes cual un poema. Parece que el mundo entero guardara silencio para poder escucharte mejor. Tus palabras han emocionado profundamente a {s50}, que parece mucho más proclive a ayudarte.
str_secret_sign_1|El armario baila a medianoche...
str_secret_sign_2|Vendo estos estupendos tapices turcos. ¿Deseáis comprar alguno?
str_secret_sign_3|Me envía el amigo de un amigo...
str_secret_sign_4|El viento sopla fuerte desde el este y el río se torna rojo...
str_countersign_1|¿Pero baila por la cómoda o por el candelabro?
str_countersign_2|Sí, ¿tenéis alguno azul?
str_countersign_3|Pero el amigo de vuestro amigo nunca tendrá un amigo como yo.
str_countersign_4|¿Habéis estado enfermo?
str_name_1|Sirko
str_name_2|Mozyra
str_name_3|Filon
str_name_4|Buhalo
str_name_5|Nechuy
str_name_6|Rourk
str_name_7|Asmund
str_name_8|Bjorn
str_name_9|Sigvar
str_name_10|Torgreyr
str_name_11|Gunnstein
str_name_12|Chort
str_name_13|Okun
str_name_14|Noseless
str_name_15|Brawler
str_name_16|Walker
str_name_17|Tabash
str_name_18|Zamora
str_name_19|Gudz
str_name_20|Barnabas
str_name_21|Wojciech
str_name_22|Garsha
str_name_23|Baibak
str_name_24|Bakhmet
str_name_25|Akun
str_surname_1|{s50} de Caramarcada
str_surname_2|{s50} el Destripador
str_surname_3|{s50} el Diana
str_surname_4|{s50} el Larguirucho
str_surname_5|{s50} el Pichón
str_surname_6|{s50} el Pico de Oro
str_surname_7|{s50} el Desencadenatormentas
str_surname_8|{s50} el Canoso
str_surname_9|{s50} el Avaro
str_surname_10|{s50} el Bonachón
str_surname_11|{s50} el Altanero
str_surname_12|{s50} el Ronco
str_surname_13|{s50} el Flaco
str_surname_14|{s50} el Chacal
str_surname_15|{s50} el Fanfarrón
str_surname_16|{s50} el Milano
str_surname_17|{s50} la Araña
str_surname_18|{s50} el Simplón
str_surname_19|{s50} Orejotas
str_surname_20|{s50} el Mosquete
str_surname_21|{s50} el Blanco
str_surname_22|{s50} el Negro
str_surname_23|{s50} el Rojo
str_surname_24|{s50} el Reloj de la Muerte
str_surname_25|{s50} Mano de Hierro
str_surname_26|{s50} el Tonto
str_surname_27|{s50} el Viejo
str_surname_28|{s50} Brazos Largos
str_surname_29|{s50} el Verraco
str_surname_30|{s50} el Jorobado
str_surname_31|{s50} el Pelota
str_surname_32|{s50} el Gordo
str_surname_33|{s50} el Risueño
str_surname_34|{s50} el Pesimista
str_surname_35|{s50} el Bizco
str_surname_36|{s50} el Zángano
str_surname_37|{s50} el Mudo
str_surname_38|{s50} el Tirador
str_surname_39|{s50} el Ligón
str_surname_40|{s50} el Banquero
str_surname_41|{s50} el Lobo
str_surnames_end|fin de apellidos
str_number_of_troops_killed_reg1|Número de soldados muertos: {reg1}
str_number_of_troops_wounded_reg1|Número de soldados heridos: {reg1}
str_number_of_own_troops_killed_reg1|Número de soldados aliados muertos: {reg1}
str_number_of_own_troops_wounded_reg1|Número de soldados aliados heridos: {reg1}
str_retreat|¡Retirada!
str_siege_continues|La lucha continúa...
str_casualty_display|Tus bajas: {s10}^Bajas enemigas: {s11}{s12}
str_casualty_display_hp|^Te han herido por {reg1} puntos de vida.
str_quest_log_updated|Se ha actualizado el diario de misiones...
str_banner_selection_text|Te han concedido el derecho de portar un estandarte. Tu estandarte representa tu rango y te proporciona honor. ¿Cuál quieres elegir?
str_retirement_text_1|Te das cuenta demasiado tarde de que tu dinero no durará mucho más. Has dilapidado rápidamente lo poco que conseguiste ahorrar y fracasas en tus desesperados intentos de volver a la aventura. Tus días terminan en {s9}, mendigando por las calles y viviendo de la benevolencia de la iglesia.
str_retirement_text_2|Te das cuenta demasiado tarde de que tu dinero no durará mucho más. Has dilapidado rápidamente lo poco que conseguiste ahorrar. Una vez se esfume tu último tálero, te verás obligado a robar por los callejones de {s9}, utilizando tus habilidades para ganarte el sustento robando calderilla a las mujeres y ciudadanos pobres.
str_retirement_text_3|Te das cuenta demasiado tarde de que tu dinero no durará mucho más. Has dilapidado rápidamente lo poco que conseguiste ahorrar y acabas vagabundeando y sin blanca, yendo de taberna en taberna y mendigando tragos a clientes indulgentes a cambio de relatos sobre la guerra, que nadie se cree.
str_retirement_text_4|El dinero que has ahorrado no te dura mucho tiempo, pero te las arreglas para comprar una propiedad cerca de la aldea de {s7}. Allí montas tu propia granja y pronto comienzan a aparecer posibles {esposas/esposos}. Con el tiempo, los campesinos comienzan a tratarte como un héroe. Siempre te ceden un lugar de honor en las fiestas y tus hazañas son narradas una y otra vez en las tabernas, para que los niños conserven para siempre tu recuerdo.
str_retirement_text_5|El dinero que has ahorrado no te dura mucho tiempo, pero es suficiente para comprar una pequeña taberna en {s9}. Aunque al principio los lugareños desconfían de ti, pronto te aceptan entre los suyos. Con el tiempo, tu taberna se convierte en un popular centro de diversión y reuniones. La gente viene de muy lejos para comer o alojarse en tu local, debido a tu fama y a las historias épicas que cuentas de tus días de aventurero.
str_retirement_text_6|Has sabido ahorrar a lo largo de tu carrera y ahora tu dinero e inteligencia te permiten hacer excelentes inversiones para asegurarte el futuro. Tras comprar varias tiendas y almacenes en {s9}, tu sagacidad te convierte en uno de los mercaderes más prominentes de la ciudad, y pronto se te conoce tanto por tu imperio comercial como por tus hazañas en el campo de batalla.
str_retirement_text_7|Al ser noble con tierras, aunque de la pequeña nobleza, tu futuro está asegurado. Te estableces en tus posesiones de {s7}, y administras la aldea y sus campos, impartes justicia en los tribunales y cumples tus obligaciones para con tu señor. Ocasionalmente, este te llama para que dirijas sus campañas, pero se trata de periodos cortos y nunca vuelves realmente a las aventuras de tus tiempos jóvenes. Ya has reunido una fortuna, y con las propiedades que tienes, hay pocos caprichos que tus ingresos no te puedan permitir.
str_retirement_text_8|No hay duda de que te ha ido muy bien en la vida. Tus extensas propiedades y la fortuna amasada durante tus aventuras son suficientes como para garantizarte una vida fácil durante el resto de tus días. Al retirarte a tu noble asiento en {s8} cambias la aventura por la política, y pronto te estableces como persona de gran poder en la corte real. Cuando no estás ocupado con las intrigas políticas, te dedicas a cazar en tus bosques privados, dar fiestas en tu gran salón y contar centenares de épicas historias de guerra a tus invitados. Tus siguientes años pasan sin más preocupaciones.
str_retirement_text_9|Como recompensa por tu servicio competente y leal, tu señor decreta que se te entregue un título hereditario, gracias a lo cual entras a formar parte de la nobleza mayor del reino. Se te confiere el título de barón de {s7}, y te conviertes en uno de los consejeros en quien más confía tu señor. Gracias a tu renombre, adquieres mucha influencia y autoridad. Ahora pasas tus días jugando a juegos de poder, administrando tus grandes feudos y recordando los viejos tiempos de aventuras y gloria.
str_retirement_text_10|Aunque tus principios fueron humildes, tu señor te tiene en gran estima, por lo que la noticia de la concesión de tu título hereditario de {conde/condesa} de {s9} no es recibida con gran sorpresa. Vastos feudos y fortunas son ahora tuyos. Pronto te conviertes en {el consejero/la consejera} más importante de tu señor, casi su igual, y en responsable de gran parte de la administración de su reino, mientras ocupas el trono de tu propio palacio como una de las figuras más poderosas de la nación.
str_loot_village|atacar a los aldeanos inocentes
str_steal_from_villagers|robar a los aldeanos pobres
str_men_hungry|sumirse en la hambruna
str_men_unpaid|sumirse en la pobreza
str_excessive_casualties|hacer de todas las batallas un baño de sangre
str_flee_battle|huir de la batalla
str_fail_quest|no poder cumplir una misión que aceptamos bajo palabra de honor
str_squander_money|malgastar el dinero que nos han confiado
str_murder_merchant|asesinar a sangre fría
str_round_up_serfs|perseguir siervos para un noble
str_battle_fate_1|Nos separamos en mitad de la batalla
str_battle_fate_2|Me hirieron y me dieron por muerto
str_battle_fate_3|El enemigo me dejó inconsciente
str_battle_fate_4|Me apresaron y pidieron una recompensa por mí
str_battle_fate_5|Me capturaron, pero logré escapar
str_npc_morale_report|Concretamente, {s6} tu elección de compañeros, {s7} tu autoridad y {s8} el estado de la situación.
str_happy|estoy satisfecho con
str_content|me alegra
str_concerned|me preocupa
str_not_happy|no estoy satisfecho con
str_miserable|me horroriza
str_morale_reg1| Moral: {reg1}
str_bar_enthusiastic|                   Entusiasta
str_bar_content|              Satisfecho
str_bar_weary|          Harto
str_bar_disgruntled|     Descontento
str_bar_miserable|  Hundido
str_here_plus_space|aquí 
str_npc1_intro|Salve, camarada. ¿No seréis por casualidad soldado del príncipe Yarema?
str_npc2_intro|Disculpad, pero ¿nos conocemos?
str_npc3_intro|¡{Hijo mío/Hija mía}! Permitidme bendecir la comida y decir una bonita plegaria que os traerá suerte en la batalla. ¡Pero para ello necesito unas cuantas jarras de cerveza fría!
str_npc4_intro|¡Hola, cosaco! ¿Os importaría tomaros unas copas de vodka conmigo?
str_npc5_intro|Herr Ritter, ¿queréis tomaros una copa conmigo?
str_npc6_intro|¡Hola, forastero! ¿Sois vos quien busca gente para contratarla? Yo soy tirador, Fedot, me llamo...
str_npc7_intro|Si lo que intentáis es ofrecerme una copa, ¡será mejor que no os acerquéis!
str_npc8_intro|¡Isanmesez!
str_npc9_intro|Saludos, {señor/señora}. ¿No seréis vos de Lituania por casualidad?
str_npc10_intro|¡Victor de Buscador, a su servicio!
str_npc11_intro|Hola. Al parecer ya nos conocemos. Necesito vuestra ayuda.
str_npc12_intro|Vuestro color de cara me preocupa, {señor/señora}. Quizá deberíais aplicaros unas sanguijuelas...
str_npc13_intro|Si buscáis un adivino, habéis venido en mal momento. Solo leo el futuro en luna nueva.
str_npc14_intro|Saludos, {señor/señora}. Este vino es repugnante, ¿no os parece?
str_npc15_intro|¿Qué miráis? ¿Queréis probar mi rodillo de amasar?
str_npc16_intro|¿Me váis a ofrecer diez táleros para entrar en vuestros aposentos? Tened en cuenta que llevo una daga muy afilada en la mano.
str_npc1_intro_response_1|No, os equivocáis. ¿No habréis visto por casualidad al coronel Zagloba por aquí? Le estoy buscando.
str_npc2_intro_response_1|No, aún no. Me llamo {playername}.
str_npc3_intro_response_1|¡Por todos los santos! ¿Por qué merodeáis por las tabernas, si se puede saber?
str_npc4_intro_response_1|Si la compañía es buena, ¿por qué no echar unos tragos?
str_npc5_intro_response_1|Sí, ¿por qué no? ¿Y qué hace un mosquetero sueco por estas tierras?
str_npc6_intro_response_1|Puede que esté buscando algo. ¿Por qué tenéis el abrigo tan desgastado? Y, madre de Dios, fijaos qué hacha de petos... Habéis desertado, ¿verdad?
str_npc7_intro_response_1|¡Santo cielo! ¡Ni soñarlo!
str_npc8_intro_response_1|Perdón, ¿qué habéis dicho?
str_npc9_intro_response_1|Creo que me habéis confundido con otra persona.
str_npc10_intro_response_1|Vaya, menudo nombre. ¿Sois español?
str_npc11_intro_response_1|No me acuerdo. Pero ¿qué es lo que ocurre?
str_npc12_intro_response_1|¿Cómo que sanguijuelas? ¿Ahora sois médico?
str_npc13_intro_response_1|Qué curioso. Pensaba que la luna llena era más propicia para leer el futuro.
str_npc14_intro_response_1|Ya veo que entendéis de vino, ¿eh?
str_npc15_intro_response_1|¡Por Dios, no! Pensaba que queríais decirme algo. ¿Cómo os llamáis?
str_npc16_intro_response_1|Ah, no... Más bien al contrario, quería preguntaros si puedo hacer algo por vos.
str_npc1_intro_response_2|No hay tiempo para los recuerdos sentimentales.
str_npc2_intro_response_2|Disculpad, me he confundido...
str_npc3_intro_response_2|Vaya, qué sorpresa más interesante... Marchaos, padre, Dios proveerá.
str_npc4_intro_response_2|Gracias, pero ya me estaba yendo.
str_npc5_intro_response_2|Perdonad, pero tengo prisa.
str_npc6_intro_response_2|Las apariencias engañan.
str_npc7_intro_response_2|Por el amor de Dios, no sois asunto mío.
str_npc8_intro_response_2|Nada en absoluto, de alguien tan excepcionalmente poco cortés. Buenos días.
str_npc9_intro_response_2|Ya hablaremos luego, amigo. Tengo prisa.
str_npc10_intro_response_2|Me alegro. Luego nos vemos.
str_npc11_intro_response_2|Perdonad, pero tengo prisa.
str_npc12_intro_response_2|¡Coged esos gusanos y marchaos, chupasangre!
str_npc13_intro_response_2|No tengo tiempo para jueguecitos de adivinos. Adiós.
str_npc14_intro_response_2|Perdonad, pero no tengo tiempo de hablar. Buenas tardes...
str_npc15_intro_response_2|¡Ni hablar! Yo ya me voy...
str_npc16_intro_response_2|¿Por qué en seguida pensáis que es algo malo? Da igual, me marcho.
str_npc1_backstory_a|Estáis de suerte, {hijo/hija mía}. ¡Yo soy el coronel Zagloba!
str_npc2_backstory_a|Soy el último superviviente de la dinastía de los Valash. Un famoso antepasado mío, Vladislav Tepes, conocido como Drácula, era el azote de los turcos y el señor de Transilvania.
str_npc3_backstory_a|Temporalmente he... ¿Cómo lo diría?... He dejado de aceptar las órdenes divinas.
str_npc4_backstory_a|Mamai es mi nombre. Soy descendiente del famoso cosaco de la canción del bardo. Es evidente que me resultaría dificil estrangular a diez polacos solo con mis pantalones, pero sé manejar la pica bastante bien.
str_npc5_backstory_a|No, solo me han apartado del servicio temporalmente.
str_npc6_backstory_a|Tenéis razón. He huido. ¿Quién no lo habría hecho? Soy de Tula, pero en los últimos años he servido como tirador moscovita. Antes era un afamado cazador que llevaba la caza de los bosques a los salones reales.
str_npc7_backstory_a|Vino, vodka o schnapps; son mi debilidad. Un solo sorbo y me empieza a picar el cuerpo.
str_npc8_backstory_a|Ah, disculpad, señor. "Insanmesez" quiere decir "¿aún vivís?". Es una especie de saludo, que equivale a "¿cómo estáis?".
str_npc9_backstory_a|Mis más humildes disculpas. Permitidme que me presente. Soy Algirdas. Mi apellido prefiero guardarlo en secreto.
str_npc10_backstory_a|Soy el heredero de una antigua dinastía, las raíces de la cual se extienden desde el Viejo hasta el Nuevo Mundo. Los Buscador lucharon en prácticamente todas las guerras desde la Reconquista.
str_npc11_backstory_a|Los hombres del kan tártaro me persiguen. He dejado exhaustos a tres caballos, y finalmente me he escondido aquí.
str_npc12_backstory_a|Soy de Kiev. Aprendí a leer y escribir en el colegio Kiev-Bratsk y luego me hice médico. Hasta ahora, he ofrecido mis servicios a los cosacos de la comunidad de Kurenevskoe. Les he curado resacas, les he practicado sangrías y les he curado heridas. Y qué vida habría tenido de no haber conocido a aquel cartógrafo francés... ¿Cómo se llamaba?... Guillaume de Beauplan. Cayó enfermo y al pasar por Kiev, me pidieron que lo desangrara con sanguijuelas.
str_npc13_backstory_a|Soy Oksana, el adivino. El arte de la magia se ha transmitido a lo largo de todas las generaciones de mi familia, de padres a hijos, desde tiempos inmemoriales...
str_npc14_backstory_a|Por supuesto. Soy intendente del ejército con privilegio para servir al propio rey de Suecia. O mejor dicho, lo era...
str_npc15_backstory_a|Me llamo Varvara, y soy de Novgorod. Allí es donde he vivido toda mi vida, hasta que enviudé.
str_npc16_backstory_a|¿Ofendido? ¿Yo? Creedme, aquellos que me ofenden ya no están en este mundo.
str_npc1_backstory_b|Terminaríais de contar antes todas las hojas que hay en el bosque que los enemigos a los que he dado muerte. Si mis cabellos fuesen tan numerosos como los adversarios a los que he abatido con mis propias manos, los barberos habrían ganado una fortuna conmigo. Que me lleve el diablo si miento...
str_npc2_backstory_b|El rey de Hungría es el enemigo mortal de los Valachs, y difundió el terrible rumor de que mi antepasado tenía sed de sangre. Esas leyendas y cuentos se convirtieron en la ruina de mi familia. Los descendientes de Drácula abandonaron Transilvania y se instalaron en Kamenets, cerca de la frontera. Yo llevo un tiempo viviendo como trotamundos. No es la vida que habría elegido...
str_npc3_backstory_b|Soy el padre Spasokukotsky. El obispo de Riga me dio una pequeña parroquia de pueblo, pero al cabo de una semana ya me había enviado a su sacristán para ver si cumplía con mis obligaciones. Después de la misa del domingo, ese pesado vino a mi humilde celda. Primero me preguntó qué hacía una parroquiana en mi cama, y luego tuvo la desfachatez de empezar a sermonearme. Me explicó que uno no podía hacer girar el incensario sobre su cabeza durante el sermón, y yo soporté como pude su condescendencia.Me dijo que las plegarias deben concluirse con la palabra "amén", y no con lo que yo dije, y aún así me mantuve en silencio. A la parroquia le encantaba mi manera de hacer las cosas, ¿sabes? Pero entonces, cuando empezó a gritarme que había visto que se vendían bienes de mi iglesia en el mercado de Riga, no pude soportarlo más y le di con un bastón tan fuerte que se salvó por los pelos.
