qst_deliver_message|{s13}'{.e} Mesaj İlet.
qst_oim_getman_kill_radzivill|Ataman Radziwill
qst_oim_getman_za_barabasha|Barabash İçin!
qst_oim_getman_caravan|Kervandaki Mektup
qst_oim_getman_za_hmelya|Hmel İçin!
qst_oim_na_rech_pospolitu|Lehistan'a!
qst_oim_getman_hmel_reb|İsyan
qst_oim_getman_hmel_casus_beli|Ordu Hadisesi
qst_oim_getman_hmel_greate_war|İki Cephede Savaş
qst_oim_getman_korona_vitovta|Vytautas'ın Tacı
qst_oim_getman_last_qst|Denizden Denize
qst_oim_na_msk_tsarzd|Moskova Çarlığı'na!
qst_oim_getman_barabash_reb|İsyan!
qst_oim_getman_barabash_casus_beli|Ordu Hadisesi
qst_oim_getman_barabash_greate_war|İki Cephede Savaş
qst_oim_dmitriy_main|Çar Sırları...
qst_dmitriy_loot_villages|Köyleri Harap Et
qst_oim_dmitriy_gerasim|Gerasim Evangelic
qst_oim_dmitriy_elena|Eleanor
qst_oim_dmitriy_eleonora|Eleanor'u Carl'a Getir
qst_oim_dmitriy_eleonora_home|Eleanor'u Prense Getir
qst_oim_dmitriy_deliver_letter_msk|Çar'a Mektup
qst_oim_dmitriy_deliver_letter_shwed|Çar'a Mektup
qst_oim_dmitriy_talk_to_voevoda|Kumandanla Konuş
qst_oim_dmitriy_tsar_prison|Çar'ın Gündemi
qst_oim_dmitriy_razin|Stepan Razin
qst_biyars_specnaz|Boyar'larla Konuşma
qst_oim_alevtina_hanum|Alevtina-hanum
qst_oim_black_lord|Sahte Üçüncü Dmitry 
qst_oim_black_lord_text|Sahte Üçüncü Dmitry 
qst_oim_dmitriy_elections|Çar'ın Seçimleri
qst_oim_dmitriy_elections_text|Çar'ın Seçimleri
qst_oim_duel_wound|Düelloda Yaralanan
qst_oim_duel_wound_text|Düelloda Yaralanan
qst_oim_alcoholic|Alkolizm
qst_oim_alcoholic_text|Alkolizm
qst_oim_illness_1|Ateş
qst_oim_illness_1_text|Ateş
qst_oim_illness_2|Gut
qst_oim_illness_2_text|Gut
qst_oim_illness_3|Ödem
qst_oim_illness_3_text|Ödem
qst_oim_illness_4|Dizanteri
qst_oim_illness_4_text|Dizanteri
qst_oim_illness_5|Uyuz
qst_oim_illness_5_text|Uyuz
qst_oim_potop_capture_city|Şehri Ele Geçir
qst_oim_deliver_caravan|Kervanı Götür
qst_oim_trade_pantent|Ticari İmtiyaz
qst_oim_hunt_down_thieves|Sığır Hırsızlarını Yakala
qst_oim_get_feast_supplies|Şölen için Malzeme Bul
qst_oim_invest_2|Parayı İade Et
qst_quests_end|Görev Tamamlandı
