str_no_string|NO STRING!
str_surname_29|Hınzır {s50}
str_surname_30|Kambur {s50}
str_surname_31|Topaç {s50}
str_surname_32|Koca {s50}
str_surname_33|Şen {s50}
str_surname_34|Kasvetli {s50}
str_surname_35|Sarıkafa {s50}
str_surname_36|Arabacı {s50}
str_surname_37|Dilsiz {s50}
str_surname_38|Nişancı {s50}
str_surname_39|Çapkın {s50}
str_surname_40|Küfeci {s50}
str_surname_41|Tilki {s50}
str_surnames_end|surnames end
str_number_of_troops_killed_reg1|Öldürülen asker sayısı: {reg1}
str_number_of_troops_wounded_reg1|Yaralı asker sayısı: {reg1}
str_number_of_own_troops_killed_reg1|Öldürülen müttefik asker sayısı: {reg1}
str_number_of_own_troops_wounded_reg1|Yaralı müttefik asker sayısı: {reg1}
str_retreat|Geri çekil!
str_siege_continues|Muharebe devam ediyor...
str_casualty_display|Zayiat: {s10}^Düşman zayiatı: {s11}{s12}
str_casualty_display_hp|^{reg1} kadar yaralandın.
str_quest_log_updated|Vazife günlüğü yenilendi...
str_banner_selection_text|Bir sancak taşıma hakkıyla ödüllendirildin. Sancağın konumunun göstergesi olup sana onur kazandıracak. Hangi sancağı seçeceksin?
str_retirement_text_1|Paranın dayanmayacağının farkına varmak için artık çok geç. Kenara attığın azıcık parayı da çarçur etmen uzun sürmüyor ve tekrar maceracılığa atılmak denemelerinin de hepsi başarısızlıkla sonuçlanıyor. Sonunda {s9} sokaklarında artıklarla ve kilisenin yardımıyla hayatta kalabilen bir dilenci oluyorsun.
str_retirement_text_2|Paranın dayanmayacağının farkına varmak için artık çok geç. Kenara attığın azıcık parayı da çarçur etmen uzun sürmüyor. Hayatın {s9} en adi hırsızlıkları yaparak geçinmeye çalışmaktan ibaret kalıyor.
str_retirement_text_3|Paranın dayanmayacağının farkına varmak için artık çok geç. Kenara attığın azıcık parayı da çarçur etmen uzun sürmüyor. Beş parasız kalıp handan hana savrulup, kimsenin inanmadığı savaş hikayelerinle insanlardan içki dilenerek hayatını tüketiyorsun.
str_retirement_text_4|Biriktirdiğin gümüş çok fazla dayanacak gibi değil ama sen yinede {s7} civarında bir parça toprak alacak kadar denkleştirebiliyorsun. Orada hür bir çiftçi olup potansiyel {eş/eş} adayları için fırsatlar kollamaya başlıyorsun. Zamanla köylüler seni kendi içlerindeki kahraman olarak görmeye başlıyorlar. Hep sana bir şeref köşesi ayrılan toplu yemeklerde hikayelerin defalarca anlatılıp aktarılıyor.
str_retirement_text_5|Biriktirdiğin gümüş çok fazla dayanacak gibi değil ama sen yinede {s9} civarında bir han almaya yetecek kadar denkleştirebiliyorsun. Yerel halk başta senden çekinseler de sana alışıyorlar ve hatta zamanla işletmen tercih edilen bir buluşma ve yeyip içme mekanına dönüşüyor. İnsanlar uzaklardan yerinde yeyip içmeye ve konaklamaya geliyorlar. Gelenlere de kahramanlık hikayelerini anlatıp paylaşıyorsun.
str_retirement_text_6|Çalıştığın süre boyunca akıllıca yaptığın birikimler ve bu birikimleri zekice kullanabilmen sayesinde geleceğini garantiye alan yatırımlar yapabiliyorsun. {s9} dolaylarında pek çok dükkan ve depo satın aldıktan sonra girişimciliğin seni şehirdeki en tanınmış tüccar yapıyor ve kısa zamanda askeri olduğu kadar ticaret dehasıyla da anılan zengin bir {adam/kadın} oluyorsun.
str_retirement_text_7|Her ne kadar kıdemsiz olsa da, toprak sahibi bir soylu olman geleceğini garanti altına almış oluyor. {s7} civarlarındaki mülküne yerleşip köyü ve tarlaları yönetiyor, yerel birimlere hükmediyor ve lorduna karşı vazifelerini yerine getiriyorsun. Arada sırada seferlerine seni de dahil ediyor ancak bunlar senin gençliğindeki maceralarla kıyaslanacak şeyler olmuyor. Yüklü bir servetin sahibi olmuşsun, bütün mal ve mülkünle artık arzuladığın pek az şey kalmış.
str_retirement_text_8|Kendinizi çok iyi idare ettiğiniz su götürmez bir gerçek. Geniş topraklarınız ve maceracılıktan gelen servetiniz, hayatınızın sonuna kadar zengin ve rahat bir yaşamı garantilemeniz için yeterli. {s8}{.de}ki soylu makamınızdan emekli olmanızla, macera yerine politika geçiyor ve kısa zamanda hükümdarınızın krallığında dikkate alınıyor ve  güce sahip oluyorsunuz. Kendinizi oyalayacak entrikalar, avlanacak ormanlarınız, ziyafet verecek salonlarınız ve anlatacak onlarca güzel savaş hikayenizle, sonraki yılların tadını çıkarmanız hiç de zor olmuyor.
str_retirement_text_9|Lordunuz, etkin ve sadık hizmetlerinizin karşılığı olarak size bir soyluluk unvanı verilmesine karar verdi. Bundan sonra eylemlerinize {s7} Baronu olarak devam edeceksiniz ve efendinizin en yakın danışmanlarından biri olacaksınız. Şimdi günlerinizi güç oyunlarıyla, mülklerinizi yöneterek ve eski günlerdeki ihtişamı yad ederek geçireceksiniz.
str_retirement_text_10|Mütevazi bir noktadan başlamış olsanız da, lordunuzun gözünde büyük itibara sahipsiniz ve size {s9} {kontu/kontesi} gibi soylu bir unvan verdiğinde bu, ülkede bir şok dalgası oluşturdu. Geniş topraklar ve servet artık sizin ellerinizde. Hızlıca lordunuzun en güvenilir müşaviri oluyorsunuz, neredeyse dengi ve toprak yönetimi adına çoğu işi yapıyorsunuz ve  diyarın en güçlü figürlerinden birisi olarak ihtişamlı sarayınızdaki tahtınıza oturuyorsunuz.
str_loot_village|masum köylülere saldırmamız
str_steal_from_villagers|fakir köylülerden çalmamız
str_men_hungry|yiyeceksiz kalmamız
str_men_unpaid|adamlarınıza ücretlerini ödeyememen
str_excessive_casualties|her savaşı bizim aleyhimize bir kan banyosuna çevirmemiz
str_flee_battle|savaştan kaçmamız
str_fail_quest|şeref sözüyle kabul ettiğimiz bir görevde başarısız olmamız
str_squander_money|bize güvenilip verilen parayı saçıp savurmamız
str_murder_merchant|soğukkanlı bir cinayet işlememiz
str_round_up_serfs|bir soylu namına köle toplamamız
str_battle_fate_1|savaş hengamesi içinde birbirimizi kaybetmemiz
str_battle_fate_2|Yaralandım ve ölüme terk edildim
str_battle_fate_3|Düşmanlar tarafından bayıltıldım
str_battle_fate_4|Yakalandım ve fidye için tutuldum.
str_battle_fate_5|Yakalandım, ancak sonrasında kaçmayı becerdim.
str_npc_morale_report|Yoldaş tercihlerin konusunda {s6}, liderliğinle ilgili {s7} ve genel durumla alakalı olarak {s8} hissediyorum.
str_happy|mutlu
str_content|huzurlu
str_concerned|tedirgin
str_not_happy|mutsuz
str_miserable|dehşete düşmüş
str_morale_reg1| Moral: {reg1}
str_bar_enthusiastic|                   Hevesli
str_bar_content|              Huzurlu
str_bar_weary|          Tedirgin
str_bar_disgruntled|     Hoşnutsuz
str_bar_miserable|  Acınası
str_here_plus_space|burada
str_npc1_intro|Selam olsun yolcu! Prens Yarema'nın savaşçılarından biri olma ihtimalin yoktur, değil mi?
str_npc2_intro|Affedersin, tanışmış mıydık?
str_npc3_intro|Evlat! Müsaade et de bir yandan yemeğini kutsayayım bir yandan da savaşırken sana şans getirecek bir dua okuyayım. Eh, sen de bana bir kupa bira ısmarla oradan!
str_npc4_intro|Selamlar olsun Kazak! Benimle birkaç bardak votka içmeye var mısın?
str_npc5_intro|Hey dostum, içki içerken bana katılır mısın?
str_npc6_intro|Selam sana yabancı! İşe alınacak adam arayan sen misin? Ben bir nişancıyım, ismin Fedot...
str_npc7_intro|Eğer bana bir içki ısmarlamaya çalışıyorsan geri dur derim!
str_npc8_intro|Isanmesez!
str_npc9_intro|Merhabalar {beyim/hanımım}. Acaba Litvanya'lı olma ihtimaliniz var mıdır?
str_npc10_intro|Victor de la Buscador, emrinize amadeyim!
str_npc11_intro|Merhaba. Sanırım daha önce tanışmıştık. Yardımına ihtiyacım var.
str_npc12_intro|Yüzünüzün rengi beni huzursuz ediyor, {beyim/hanımım}. Belki bir miktar sülük tatbik etmek istersiniz...
str_npc13_intro|Eğer bir falcı arıyorsan şanssız bir zamanda geldin. Sadece yarım ay zamanında geleceği görebiliyorum.
str_npc14_intro|Merhabalar, {beyim/hanımım}. Bu hanın şarapları berbat, etleri de kalas gibi, ne dersiniz?
str_npc15_intro|Ne bakıyorsun sen? Oklavamı kafana yemek mi istiyorsun?
str_npc16_intro|Odana gelmem karşılığında bana bir Taler mi teklif ediyorsun? Dikkat et elimde çok sivri bir hançer var.
str_npc1_intro_response_1|Hayır, yanlışın var. Her neyse, belki Albay Zagloba'yı buralarda görmüşsündür? Onu arıyorum...
str_npc2_intro_response_1|Hayır henüz değil. Adım {playername}.
str_npc3_intro_response_1|İyi günler peder! Neden hanlarda dolanıyorsun?
str_npc4_intro_response_1|Ortam iyiyse neden bir iki tane içki devirmeyesin ki...
str_npc5_intro_response_1|Tabii ya neden olmasın. Peki İsveçli bir nişancının buralarda ne işi olabilir?
str_npc6_intro_response_1|Belki bir şey arıyorumdur. Ceketin neden bu kadar soluk ve şu baltanın haline bak... Asker kaçağı değilsin değil mi?
str_npc7_intro_response_1|Aman öyle bir şey düşünmem!
str_npc8_intro_response_1|Pardon, ne dedin?
str_npc9_intro_response_1|Dostum beni başkasıyla karıştırdın sanırım.
str_npc10_intro_response_1|Ne isimmiş be. İspanyol musun?
str_npc11_intro_response_1|Hatırlayamadım. Sıkıntı neydi ki?
str_npc12_intro_response_1|Sülük mü? Nesin sen doktor falan mı?
str_npc13_intro_response_1|İlginç. Dolunayın falcılık için en iyi zaman olduğunu sanırdım.
str_npc14_intro_response_1|Şarap tatmasını biliyorsun demek hm?
str_npc15_intro_response_1|Tanrım hayır! Bana bir şey söyleyeceksin sanmıştım. Ee, ismin ne senin?
str_npc16_intro_response_1|Yok yok! Tam tersine benim yapabileceğim bir şey olabilir mi diye sormak istemiştim.
str_npc1_intro_response_2|Gönülden hatıraların paylaşılmasının zamanı değil şimdi.
str_npc2_intro_response_2|Affedersin, kafam karışmıştı.
str_npc3_intro_response_2|Heh, nasıl da sürpriz oldu... Git şimdi peder, tanrı yardımcın olsun...
str_npc4_intro_response_2|Teşekkür ederim ama hali hazırda gidiyorum.
str_npc5_intro_response_2|Kusura bakma ama acelem var.
str_npc6_intro_response_2|Görüntü aldatıcı olabilir.
str_npc7_intro_response_2|Tanrı aşkına seninle ilgilenmiyorum bile!
str_npc8_intro_response_2|Git buradan seni münafık! Senin saçma lisanından hiçbir şey anlamıyorum.
str_npc9_intro_response_2|Daha sonra konuşalım dostum, acelem var.
str_npc10_intro_response_2|Memnun oldum, sonra tekrar görüşelim.
str_npc11_intro_response_2|Affedersin, acelem var.
str_npc12_intro_response_2|Solucanlarını da alıp kaybol seni sülük!
str_npc13_intro_response_2|Falcılarla işim olmaz, hoşçakal!
str_npc14_intro_response_2|Üzgünüm konuşacak vaktim yok, hoşçakal.
str_npc15_intro_response_2|Hayır ve yine hayır, gittim bile!
str_npc16_intro_response_2|Neden hemen en kötüsünü bekliyorsun ki? Boş versene, ben gidiyorum.
str_npc1_backstory_a|Şanslısın evlat. Ben Albay Zagloba'yım!
str_npc2_backstory_a|Valash hükümdarlarından gelen soyun son temsilcisiyim. En meşhur atam, Vladislav Tepes, Drakula diye de bilinir, transilvanyanın efendisidir ve Türklere kan kusturmuştur!
str_npc3_backstory_a|Bir süredir ben... nasıl desem ki... ilahi emirler almayı kestim.
str_npc4_backstory_a|İsmim Mamai'dir. Şu meşhur şarkıdaki Kazak'ın soyundan gelmeyim. Tabii 10 Leh'i pantolonumla boğamam ama kargı nasıl kullanılır çok iyi bilirim.
str_npc5_backstory_a|Sadece bir süreliğine ordudan ayrıldım.
str_npc6_backstory_a|Doğru dedin. Kaçtım ben – ama kim kaçmazdı ki? Tulalıyım aslında ama birkaç senedir Moskova nişancısı olarak hizmet veriyorum. Bir zamanlar meşhur bir avcıydım ve şehrin zenginlerine ormanlardan av eti getirirdim.
str_npc7_backstory_a|Şarap, votka ve şnaps – benim zaaflarım. Tek bir yudumla bile bana kaşıntılar gelmeye başlar.
str_npc8_backstory_a|Affedersiniz {beyim/hanımım}. Isanmesez “hala hayatta mısın?” demek. Bir çeşit selamlaşma aslında “ne haber, nasılsın” gibi.
str_npc9_backstory_a|Özürlerimi kabul ediniz. İzin verin kendimi tanıtayım -- Adım Algirdas. Soyadımı gizli tutmayı tercih ederim.
str_npc10_backstory_a|Kökleri eski ve yeni dünyaya yayılmış kadim bir sülaleye mensubum. Buscadorlar Reconquista'dan beri hemen her savaşta savaşmışlardır.
str_npc11_backstory_a|Tatar Hanının adamları benim peşimde. Üç at yordum ve en sonunda kendimi buraya atabildim.
