qstr_Next_Page|Sonraki sayfa
qstr_DEBUG:_{s1}_is_now_a|DEBUG: {s1} artık oyuncunun esiri.
qstr_DEBUG:_{s1}_is_now_a_|DEBUG: {s1} artık {s2}'{.nin} esiri.
qstr_{s54}_is_a_claimant_|{s54} {s56} tahtına talip.
qstr_nowhere|Hiçbir yer
qstr_{s57}_and_{s58}|{s57} ve {s58}
qstr_{s57}_{s58}|{s57}, {s58}
qstr_{reg3?She:He}|{reg3?O:O}
qstr_^{s59}|^{s59}
qstr_{reg6?:{reg4?{s54}_i|{reg6?:{reg4?{s54} {s56}'{.nin} hükümdarıdır.^:{s54}'{.den} {s55}'{.nin} vasalıdır.^}}Nam: {reg5}.^{reg9?{reg3?O:} {s58}'{.nin} {reg3?leydisidir:lordudur}.:{reg3?Onun:} hiç mülkü yoktur.}{s59}
qstr_The_town_of_{s50}|{s50} şehri
qstr_The_village_of_{s50}|{s52} yakınlarındaki {s50}
qstr_{s51}_belongs_to_{s1|{s51} {s2}{.den} {s1}'{.e} ait.^
qstr_{s7}_and_{s8}|{s7} ve {s8}
qstr_{s2}It_has_no_villag|{s2}Hiç köyü yok.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Bağlı köyleri:Bağlı köyü} {s8}.^
qstr_{s2}Its_prosperity_i|{s2}Refah durumu: {s50}
qstr_{s7}_{s8}|{s7}, {s8}
qstr_noone|hiçkimse
qstr_{s9}_and_{s10}|{s9} ve {s10}
qstr_{s9}_{s10}|{s9}, {s10}
qstr_{s11}_and_{s12}|{s11} ve {s12}
qstr_{s11}_{s12}|{s11}, {s12}
qstr_{s5}_is_ruled_by_{s6|{s5} {s6} tarafından yönetiliyor.^{s8} onun kontrolünde.^Vasalları {s10}.^Düşmanları {s12}.
qstr_{s5}_has_been_defeat|{s5} yenildi!
qstr_{s7}_opened_the_gate|{s7} kapıları açtı
qstr_{s7}_closed_the_gate|{s7} kapıları kapattı
qstr_+{reg1}_to_party_mor|Grup moraline +{reg1}
qstr_Requires_{reg1}_inte|Okumak için {reg1} zekâ gerekir.
qstr_Reading_Progress:_{r|Okuma süreci: %{reg1}
qstr_wound_treament|yara bakımı
qstr_trainer|talimci
qstr_surgery|cerrahlık
qstr_+1_to_{s1}_while_in_|Envanterdeyken {s1} becerisine +1
qstr_{s2}|{s2}
qstr_Base_damage_radius:_|Şarapnel alanı: {reg1} adım. Hasar alanı: {reg2} adım.
qstr_Move_here|Buraya hareket et.
qstr_View_notes|Notlara bak.
qstr_killed|Ölü
qstr_wounded|Yaralı
qstr_{s0}^TOTAL:_{reg3}__|{s0}^TOPLAM: {reg3} ({s2})
qstr_None|N/A
qstr_^None|^Hiç
qstr_nothing|hiç
qstr_{reg0}_village{reg1?|{reg0} köy{reg1?s:}
qstr_{reg0}_castle{reg1?s|{reg0} kale{reg1?s:}
qstr_{reg0}_castle{reg1?s:|{reg0} kale{reg1?s:} ve {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} şehir{reg1?s:}
qstr_{reg0}_town{reg1?s:}_|{reg0} şehir{reg1?s:} ve {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} şehir{reg1?s:}, {s0}
qstr_Your_opponents_are_r|Rakiplerin dövüşe hazır.
qstr_Try_to_destroy_as_ma|Olabildiğince fazla hedefi yok etmeye çalış. Pisti tamamlamak için iki buçuk dakikan var.
qstr_Stay_behind_the_line|Çizginin arkasında durup hedefleri vur. Boşa sallamamaya çalış.
qstr_Battle_Advantage_=_{|Savaş Avantajı = {reg0}.
qstr_{s9}_wants_you_to_re|{s9} sonraki emre kadar ordusunu takip etmeni istiyor.
qstr_OIM_add__{s3}_prosil|{s3}'{.den} ilk emrin bir sehri ele geçirmek.
qstr__Being_Raided_|(Saldırı altında)
qstr__Looted_|(Yağmalandı)
qstr__Under_Siege_|(Kuşatma Altında)
qstr_The_village_of_{s1}_|{s1} {s2} tarafından yağmalandı.
qstr_{s3}_is_no_longer_un|{s3} artık kuşatma altında değil.
qstr_Enemies_spotted_near|{s1} yakınlarında bir düşman grubu tespit edildi.
qstr_{s1}_has_been_besieg|{s1} {s3}'{.den} {s2} tarafından kuşatıldı.
qstr_{s1}_is_chosen_as_th|{s1}, {s2}'nın mareşali olarak seçildi. 
qstr_{s1}_is_the_new_mars|{s1}'nın yeni mareşali {s2}.
qstr_{s1}_decided_to_do_n|{s1} hiçbir şey yapmamaya karar verdi.
qstr_{s1}_decided_to_gath|{s1} bir ordu toplamaya karar verdi.
qstr_{s1}_decided_to_besi|{s1} {s2}'{.i} kuşatmaya karar verdi.
qstr_{s1}_decided_to_raid|{s1} {s2}'{.e} taarruz etmeye karar verdi.
qstr_{s1}_decided_to_atta|{s1} {s2}'{.e} saldırmaya karar verdi.
qstr_{s1}_decided_to_attac|{s1} {s2} civarındaki tüm düşmanlara saldırmaya karar verdi.
qstr_You_gained_{reg12}_r|{reg12} nam kazandın.
qstr_You_lose_{reg12}_ren|{reg12} nam kaybettin.
qstr_Your_relation_with_{|{s1} ile ilişkin ilerledi.
qstr_Your_relation_with_{s|{s1} ile ilişkin geriledi.
qstr_You_gain_honour.|Onur kazandın.
qstr_You_lose_honour.|Onur kaybettin.
qstr_{s1}_has_declared_wa|{s1}, {s2}{.e} savaş açtı.
qstr_{s1}_and_{s2}_have_m|{s1} ve {s2} barış anlaşması imzaladılar.
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?{s3} topraklarındaydı:şu anda {s3} topraklarında}.
qstr_{s2}_{reg3?was:is}_t|{s2} {s3} topraklarına doğru {reg3?gidiyordu:gidiyor} ve {reg3?:şu sıralar} {s4} yakınlarında {reg3?idi:olmalı}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?kırdaydı:kırda} ve {reg3?: şu sıralar} {s3} {reg3?yakınlarındaydı:yakınlarında olmalı}.
qstr_{s2}_{reg3?was:is}_b|{s2} {s3} zindanında {reg3?hapsedilmişti:tutuluyor}.
qstr_{s2}_{reg3?was:has_b|{s2} düşmanları tarafından esir {reg3?alınmıştı:tutuluyor}. 
qstr_{reg3?{s2}_s_locatio|{reg3?{s2} nerede bilinmiyordu:{s2} nerede bilmiyorum}.
qstr_{s6}_has_joined_your|{s6} grubuna katıldı
qstr_You_now_owe_{reg2}_d|{s1}'{.e} {reg2} taler borçlusun.
qstr_Renown_value_for_thi|Bu savaşın nam değeri {reg8}.
qstr_You_have_run_into_a_|Bir tuzağa düştün!
qstr_You_are_attacked_by_|Bir grup haydut tarafından saldırıya uğradın!
qstr_Holding|Duruyor
qstr_Following|İzliyor
qstr_Charging|Hücum ediyor
qstr_Advancing|İlerliyor
qstr_Falling_Back|Geri Çekiliyor
qstr_Standing_Closer|Birbirine yaklaşıyor
qstr_Spreading_Out|Birbirinden uzaklaşıyor
qstr_Standing|Duruyor
qstr_N/A|N/A
qstr_Any_Weapon|Silah serbest
qstr_Blunt_Weapons|Bayıltıcı Silahlar
qstr_{s1}_Rebels|{s1} Asileri
qstr_Given_by:_{s62}|{s62} tarafından verildi.
qstr_Given_on:_{s60}|{s60} tarihinde verildi.
qstr_You_have_{reg0}_days|Bu görevi bitirmek için {reg0} günün var.
qstr_This_quest_has_been_|Bu görev sonlandı. Bitirmek için {s59} ile konuş.
qstr_This_quest_has_been_s|Bu görev başarıyla tamamlandı. {s59} ile konuşup ödülünü al.
qstr_This_quest_has_faile|Bu görev başarısız oldu. {s59} ile konuşup durumu açıkla.
qstr_At_the_time_quest_wa|Görev verildiğinde:^{s1}
qstr_{s1}_is_infested_by_|{s1} haydut saldırısı altında.
qstr_{s5}_has_a_strength_|{s5} gücü : {reg1} asker
qstr_The_last_time_you_sa|Onu son gördüğün yer {s1}.
qstr_The_last_time_you_he|Onun hakkında son haber aldığın zaman {s1}.
qstr_{s50}|{s50}
qstr_Current_garrison_con|Garnizonda {reg5} asker bulunuyor.{reg4?^{reg6} gün yetecek yiyecek stoğu var.:}
qstr_Very_Poor|Çok Fakir
qstr_Poor|Fakir
qstr_Average|Ortalama
qstr_Rich|Zengin
qstr_Very_Rich|Çok Zengin
qstr_Manor|Malikane
qstr_A_manor_lets_you_res|Malikane köyde kalmanı sağlar ve  burada kalırken askerlerin maaşını yarıya düşürür.
qstr_Mill|Değirmen
qstr_A_mill_increases_vil|Değirmen köyün refah seviyesini %5 artırır.
qstr_Watch_Tower|Gözcü Kulesi
qstr_A_watch_tower_lets_t|Gözcü kulesi köylülerin daha erken alarm vermelerini sağlar. Düşmanların köyü yağmalaması için gereken zamanı %25 artırır.
qstr_School|Okul
qstr_A_shool_increases_th|Okul köylülerin sadakatini her ay +1 artırır.
qstr_Messenger_Post|Ulak Karakolu
qstr_A_messenger_post_let|Ulak karakolu, yakında düşman olduğu zamanlarda çok uzakta olsan da köylülerin sana mesaj yollamasına olanak tanır.
qstr_Prison_Tower|Hapishane Kulesi
qstr_A_prison_tower_reduc|Hapishane Kulesi burada tutulan mahkumların başarıyla kaçma şansını düşürür.
qstr_Prosperity_of_{s2}_h|{s2}{.de} refah seviyesi {s3} durumudan {s4} durumuna geçti.
qstr_{s4}_looks_upset.|{s4} sinirli görünüyor.
qstr_OiM_You_ve_lost_your|Atını kaybettin.
qstr_oim_potop_negative_e|1655 yılında Lehistan kralı, Sejm'i, yani parlementoyu dağıtıp, kendini aynı Moskova hükümranlığındaki gibi Çar ilan etti.  Ama hain üst tabaka bunun sürmesine izin veremezdi. Haliyle kısa sürede tüm Lehistan, Litvanya, Rusyn ve Ukrayna topraklarına yayılan bir isyan çıktı. Büyüyen isyanı bastırmak için kral, Cermen Landsknechtleri olarak bilinen paralı askerleri tuttu.  ^Göz açıp kapamadan tüm Lehistan-Litvanya bölgesi savaşın ateşiyle kuru çıra gibi yanıp tükenmişti. Sözde Çar Jan Kasimir'e gelince; hem halkın hem de soyluların desteğini kaybedince tahtından feragat edip kaçtı. Yanında sadece avam tabakadan gelme kumandanı {playername} kalmıştı. Masovia-Prussia sınırında, oralarda cirit atan büyük bir haydut grubu tarafından pusuya düşürüldüler. Kral ve tüm yoldaşları öldürüldü. Cesetleri de asla bulunamadı. ^Zenon Petretsky, "Lehistan'ın Kısa Tarihi" (1855).
qstr_your_party|grubun
qstr_{reg0?One_of_your_pr|{reg0?Senin mahkumun olan, :}{s3}{.den} {s1} tutsaklıktan kaçtı!
qstr_You_brought_{reg3}_h|{s1} için {reg3} baş sığır götürdün.
qstr_I_heard_that_there_w|Yakında {s62} içinde bir turnuva olacağını duydum.
qstr_I_heard_that_one_can|{s63}{.de} çok ucuza {s62} bulunduğunu duydum.
qstr_I_heard_that_they_pa|{s63}{.de} {s62} için çok yüksek fiyatlar ödendiğini duydum.
qstr_Log_entry_{reg3}:_ty|Günlük kaydı {reg3}: çeşit {reg4}
qstr_Center:_{s4}|Merkez: {s4}
qstr_Troop:_{s4}|Asker: {s4}
qstr_Lord:_{s4}|Lord: {s4}
qstr_Ally_party_is_presen|Müttefik grup mevcut
qstr_{s4}_is_present_at_e|{s4} vakada yerini alıyor
qstr_Event_#{reg5}_type_{|Event #{reg5}, type {reg6}, time {reg8}: player's nation's relation to troop object = {reg7}
qstr_Event_#{reg5}_type_{r|Event #{reg5}, type {reg6}, time {reg8}: player's nation's relation to center object nation = {reg7}
qstr_Event_#{reg5}_type_{re|Event #{reg5}, type {reg6}, time {reg8}: player's nation's relation to nation object = {reg7}
qstr_Event_#{reg5}_type_{reg|Event #{reg5}, type {reg6}, time {reg8}. No relevant nation relation
qstr_Event_#{reg5}_type_{reg6|Event #{reg5}, type {reg6}, time {reg8}. Player unaffiliated
qstr_Elapsed_hours:_{reg7|Geçen süre: {reg7}
qstr_Reputation_type:_{s1|Şöhret cinsi: {s15}
qstr_Entries_up_to_#{reg5|Entries up to #{reg5} skipped
qstr__{reg6}_dinarov_|({reg6} taler)
qstr__{s20}_{s22}_{s5}| {s20}, {s22} {s5}
qstr_{s0}___{reg1}|{s0} - {reg1}
qstr__^not_drunk|^^[Ayık]
qstr__^slightly_drinken|^^[Çakırkeyif]
qstr__^quite_drunk|^^[Sarhoş]
qstr__^cant_say_few_words|^^[Kör Kütük Sarhoş]
qstr_V_otryade_nachalas_e|{s0} adamlarını hasta ediyor. Tedavi için askerlerini bir handa dinlendirip, iyi yemek yemelerini sağlamalısın. Aynı zamanda bir doktora göstersen de iyi edersin. 
qstr_{s0}|{s0}
qstr_{s50}_i_{s0}|{s50} ve {s0}
qstr_v_otryade_nachalas_e|{s0} adamlarını hasta ediyor. Tedavi için askerlerini bir handa dinlendirip, iyi yemek yemelerini sağlamalısın. Aynı zamanda bir doktora göstersen de iyi edersin. 
qstr_v_otryade_nachalis_e|{s50} adamlarını hasta ediyor
qstr_{s2}_{reg3?was:is}_in|{s2} {reg3?kırdaydı:kırda} ve şu anda {s3} yakınlarında olmalı. 
qstr_Player:_v_gorode_{s3|Oyuncu: {s31} yakında {s30}'{.de} tamamlanacak.
qstr_{s0}_{s2}|{s0}, {s2}
qstr_V_gorode_{s30}_zaver|{s31} {s30}'{.de} idi.
qstr_Glava|Vali
qstr_tax:_{reg3}|vergiler: {reg3}
qstr__{s2}_stud:_{reg0}| {s2} stud: {reg0}
qstr_depozita|Yatırılan para
qstr_kredita|Alınan borç
qstr_Zdes_vi_mozhete_zaka|Buradan kendine mükemmel silahlar sipariş edebilirsin.
qstr_Zdes_vi_mozhete_zakaz|Buradan kendine mükemmel zırhlar sipariş edebilirsin.
qstr_Vash_zakaz_esche_ne_|Siparişin henüz hazır değil.
qstr_Vi_esche_ne_zabrali_|Daha bir önceki siparişini almadın!
qstr_Za_mir_nuzhno_budet_|Bize {s5}'{.i} verirsen barış yapmaya hazırız.
qstr_Za_mir_nuzhno_budet_o|{s5} ve {s2}'{.i} bana verirsen barış yapmaya hazırım.
qstr_Uchitivaya_silu_vash|Kuvvetlerinin kudretine saygı duyuyoruz. Barış yapmaya hazırız.  
qstr_Za_mir_vam_nuzhno_bu|{reg1} talerlik küçük bir bağış karşılığı barış yapmaya hazırız.
qstr_^{s20}_{s21}|^{s20} {s21}
qstr_gorode|Şehir
qstr_zamke|Kale
qstr_sele|Köylüler
qstr_V_{s22}_hodyat_sluhi|{s22}de dolaşan söylentiler:{s21}
qstr_V_etom_{s22}_nichego|{s22}'{.de} ilgi çekici herhangi bir şey olmamış.
qstr_{s3}_{reg1}_|{s3}({reg1})
qstr_{s4}_{s3}_{reg1}_|{s4}, {s3}({reg1})
qstr_Party_has_nothing_to|Grubun açlıktan kıvranıyor!
qstr_{s31}|{s31}
qstr__{s32}| {s32}
qstr__| 
qstr_Cannot_leave_now.|Şu anda ayrılamazsın.
qstr_You_must_stay_behind|Yerdeki çizginin ardında durmalısın! Puan sayılmadı.
qstr_You_run_away_from_th|Savaş alanından kaçtın.
qstr_You_came_into_the_wo|Dünyaya, sadece yaşadıkları eve sahip, çökmekte olan asillerin {reg3?kızı:oğlu} olarak geldin. Ne var ki, ailenin zorluklarına rağmen, sana iyi bir eğitim verdiler ve saray yaşamı ve aristokrasinin engelleri üstüne seni eğittiler.
qstr_You_were_born_the_{r|Kâr peşinde oradan oraya giden gezgin tüccarların {reg3?kızı:oğlu} olarak dünyaya geldin. Ailen çoğundan daha zengin olsa ve seni olabildiğince eğitseler de, yolda arkadaş edinecek pek az zamanın oldu ve zamanın çoğunu birilerine bir şeyler satarak geçirdin.
qstr_As_a_child_your_fami|Çocukken, yerel lordun koruması olan babanın maaşıyla fakir bir hayattan tırmandınız. Kolay değildi ve eğitim almak için çok fakirdiniz. Genelde sokaklarda kendini korumayı öğrendin, silahla veya silahsız.
qstr_{reg3?daughter:son}|{reg3?kız:oğlan}
qstr_You_were_the_{reg3?d|Ormanda yaşayan, ihtiyaçlarını karşılamak için ne gerekirse yapan bir ailenin {reg3?kızıydın:oğluydun}. Avcılık, odunculuk, ok yapımı, hatta işler sıkınca kaçak avlanma. Kış, hem insanları hem de hayvanları götürdüğünden, sen ve ailen için hiçbir zaman iyi bir dönem olmadı, ama sen sonraki şafağı görmek için yaşadın; kardeşlerin senin kadar şanslı olamamış olsalar da.
qstr_You_were_a_child_of_|Sen kuru topraklardaki büyük kamplarda yaşayan bir gezgin göçmen kabilesinde doğan bir bozkır çocuğuydun. Kabiledeki diğerleri gibi, ailen atları her şeyin üstünde tutardı, ve neredeyse daha yürümeyi öğrenmeden sana ata binmeyi öğretmişlerdi.
qstr_As_the_{reg3?daughte|Bir hırsızın {reg3?kızı:oğlu} olarak, çok az 'resmi' bir eğitim aldın. Bunun yerine sokaklarda cüzdan çalmayı öğrenene kadar dilendin, maymuncuk kullanmayı öğrenene kadar cüzdan çaldın ve tüm çocukluk hayatın böyle geçti. Yine de, bu uzun yıllar seni sokakların üstadı yaptı, şehirlerde ve gölgelerde yatan sırları herkesten iyi farkedebildin.
qstr_As_a_{reg3?girl:boy}|Çocukluktan çıkan bir {reg3?kız:oğlan} olarak, bölgenin asillerinden birinin sarayında yaşamaya yollandın. Orada ilk dersin, evin lord ve hanımlarını beklerken göstereceğin tevazuydu. Ama onların satranç oyunlarından, dedikodularından ve hatta büyük işler ve saray aşkları üzerine şiirlerden, yetişkinlerin çatışma ve yarışma dünyaları hakkında çok şey öğrendin. Ayrıca diğer çocukların, büyüklerini taklit edercesine birbirlerine sopa salladıkları kaba oyunlarını öğrendin.
qstr_As_a_{reg3?girl:boy}_|Çocukluktan çıkan bir {reg3?kız:oğlan} olarak, yerel bir zanaatkarın yanına iş öğrenmek için çırak olarak girdin. Ustanın yanında yıllar süren boyu sıkı çalışma ve öğrenme sonucunda seni kalfalığa terfi etti ve kalmak istediğin sürece tam ödeme yapmak üzere işe aldı.
qstr_As_a_{reg3?girl:boy}_g|Çocukluktan çıkan bir {reg3?kız:oğlan} olarak, zengin bir tüccarın çırağı oldun ve yıllar boyunca dükkanlar ve kervanlarda ticaretle uğraştın. Kısa süre sonra ucuza alıp yükseğe satarak,  müşteriyi yine de iyi bir anlaşma yaptığına inandırma sanatında ustalaştın.
qstr_As_a_{reg3?girl:boy}_gr|Çocukluktan çıkan bir {reg3?kız:oğlan} olarak, sokaklarda, hayatta kalmak için ne gerekirse yaparak yaşadın. Dilenip, hırsızlık yapıp ve çeteler için çalışıp ekmeğini kazanmaya çalışırken, bu şiddet dünyasında, kanunun ve kötülüğünü isteyenlerin bir adım önünde varolarak yaşamını sürdürdün.
qstr_As_a_{reg3?girl:boy}_gro|Çocukluktan çıkan bir {reg3?kız:oğlan} olarak, kendi atında geniş bozkırlarda gezip çölün ve otun yollarını öğrendin. Bazen aç kaldıysan da, bu ıssız dünyada usta bir avcı ve izci oldun. Bir göçebenin hayatını yaşadığın bu sürede vücudun da sertleşip kaslarla güçlenmeye başladı.
qstr_{reg3?daughter:man}|{reg3?kadını:adamı}
qstr_Though_the_distincti|Sana birden olmuş gibi gelse de, geçen zamanın sonunda bir yetişkin oldun ve dünya gözüne farklı görünmeye başladı. Sarayda silahtar ünvanı aldığında, silahlarla uzun zaman harcamış ve sert vurup, o vuruşları karşılamayı da öğrenmiştin. Lorduna, ve bir gün senin altında olabilecek kişilere karşı olan görevlerin anlatıldı. Şövalyelik ideallerinin yanısıra, işin o kadar neşelendirici olmayan tarafı konusunda da bilgilendin - eski savaşçıların, acımasız güç politikaları, ihanet ve gasplar üzerine anlattıkları hikayelerden, insanların amaçlarına ulaşmak için kahramanlık kadar adiliği de nasıl kullandığını öğrendin.
qstr_{reg3?woman:man}|{reg3?yetişkin:yetişkin}
qstr_Though_the_distinctio|Sana birden olmuş gibi gelse de, geçen zamanın sonunda bir yetişkin oldun ve dünya gözüne farklı görünmeye başladı. Saraydaki sıkı bir oluşuma sahip, sürekli hanım hanım işler yapan hanımlardan oluşan gruba girdin; asillerin karıları, metresleri yanında daha bir koca bulamamış bakirelerin de içinde olduğu bir gruptu bu. Ancak burada bile politikanın işlediğini, hanımların sarayda evlenmemiş uygun erkeklerin dikkatini çekmek için birbirleri arkasından nasıl iş çevirdiklerini ve nasıl birbirleriyle uğraştıklarını gördün. Kısa zamanda bu durumları kendi avantajına çevirmeyi öğrendin. Bununla birlikte biraz incelikle dünyada büyük bir etkiye sahip olabileceğini fark ettin.
qstr_Though_the_distinction|Sana birden olmuş gibi gelse de, geçen zamanın sonunda bir yetişkin oldun ve dünya gözüne farklı görünmeye başladı. Sesin ve sırtına astığın enstrümanın hariç bir şeyin olmaksızın kendini yollara vurdun. Fakir bir hayattı, pek çok akşam aç kaldığın yetmezmiş gibi sanatı anlayan biri bile çıkmazdı, ancak müziğinle hayatta kalmayı başardın. Yıllar geçtikçe sarhoş kalabalıklara çalmakta ve herhangi birinden istediğin herhangi bir şeyi konuşarak elde etmekte ustalaştın.
qstr_Though_the_distinction_|Sana birden olmuş gibi gelse de, geçen zamanın sonunda bir yetişkin oldun ve dünya gözüne farklı görünmeye başladı. Kendini en büyük şehirlerin birinde teoloji, felsefe ve tıp üstüne çalışan bir üniversite öğrencisi olarak buldun. Ama tüm derslerin konferans salonlarında geçmedi. Arkadaşların şarap, kadın veya iyi bir kavga için ara sokaklara girerken onlara her zaman katılmamış olabilirsin. Ne var ki, kırık bir çene nasıl düzeltilir ya da öfkeli bir kasabalıyı silahını indirmeye yanaştırıp dükkanındaki hasarı parayla ödemeyi kabul etmesi için nasıl ikna edilir, bu süre boyunca gözlemleyip öğrendin.
qstr_Though_the_distinction_f|Sana birden olmuş gibi gelse de, geçen zamanın sonunda bir yetişkin oldun ve dünya gözüne farklı görünmeye başladı. Açık yolların çağrısına uyarak, köyden köye dolaşıp bulduğun her şeyi alıp sattın. Zengin bir varoluş değildi, ama pazarlık konusuna gelince en cimri ihtiyarlardan bile iyi fiyat alacak kadar ustalaştın. Yakında, biliyordun ki, kendi ticaret imparatorluğunu kuracak noktaya gelecektin...
qstr_Though_the_distinction_fe|Sana birden olmuş gibi gelse de, geçen zamanın sonunda bir yetişkin oldun ve dünya gözüne farklı görünmeye başladı. Bir demirci olarak, basit metallerden yararlı ve güzel eşyalar üreterek kariyerine başladın. Zaman geçtikçe işinin erbabı oldun ve iyi işlerden iyi paralar kazanmaya başladın. Karnında aşın, şöminende ateşin; işin ve yükselen saygınlığından gurur duyabileceğin bir hale geldin.
qstr_Though_the_distinction_fel|Sana birden olmuş gibi gelse de, geçen zamanın sonunda bir yetişkin oldun ve dünya gözüne farklı görünmeye başladı. Sıradan insanların para için çabalamasından hoşnutsuz bir halde, kuralları bir kenara atıp, yerel lordun şahsi ormanında avlanmaya başladın. Geyikler, domuzlar ve kazları avladın ve tezgah arkasından değerli etleri sattın. Nöbetçilerinin burnunun dibinde ağaçları kestin ve pek çok evi bu odunlarla, tabii ki bir kaç gümüş karşılığı, ısıttın.
qstr_Only_you_know_exactl|Eski hayatını bitirip maceracı olmaya niye karar verdiğini tam olarak sadece sen biliyorsun. Yine de, öfken yüreğini kavururken, ayrılmak zor bir seçim olmadı. İntikam istiyorsun. Adalet istiyorsun. Sana yapılmış olanlar geri alınamaz ve bu borçlar sadece kanla ödenebilir...
qstr_Only_you_know_exactly|Eski hayatını bitirip maceracı olmaya niye karar verdiğini tam olarak sadece sen biliyorsun. Aklında tek şey var, o da artık burada kalamayacağın. Öylesine sevdiğin birinin anıları bu kadar acı dolu ve bu kadar yakınındayken artık olmaz. Belki de yeni bir hayat sana, ismini ağzına almaktan çekindiğin o kişinin adını onurlandırmanı ya da unutmanı sağlayabilir...
qstr_Only_you_know_exactly_|Eski hayatını bitirip maceracı olmaya niye karar verdiğini tam olarak sadece sen biliyorsun. Tanıdık olan şeyler sıkıcı olup da gezip görme hayallerin hayatını ele geçirdiğinde, evin ne ara senin için adeta bir hapishaneye dönmüştü emin bile değilsin. Belki uzak bir yere dair özlemin vardı, belki de sadece uçsuz bucaksız arazilere ve gönlünce yolculuk yapma özgürlüğüne; ama burada kalamayacağın artık kesindi. Sadece gittin ve asla arkana bakmadın...
qstr_Only_you_know_exactly_w|Eski hayatını bitirip maceracı olmaya niye karar verdiğini tam olarak sadece sen biliyorsun. Ne var ki, geri dönemeyeceğini biliyorsun. Geri dönecek bir yer kalmadı. Evin diye bildiğin yer artık yok ve geniş mi geniş bu dünyada bir başına kaldığın gerçeğiyle yüzleşmelisin. Ya batacaksın, ya çıkacaksın...
