qstr_Next_Page|Nächste Seite
qstr_A_shool_increases_th|Eine Schule erhöht die Loyalität der Dörfler um +1 pro Monat.
qstr_Messenger_Post|Botenstation
qstr_A_messenger_post_let|Mit einer Botenstation benachrichtigen Euch die Dörfler, wenn Feinde in der Nähe sind, selbst wenn Ihr weit weg seid.
qstr_Prison_Tower|Kerkerturm
qstr_A_prison_tower_reduc|Ein Kerkerturm verringert die Fluchtchancen der Insassen.
qstr_Prosperity_of_{s2}_h|Der Wohlstand von {s2} hat sich von {s3} auf {s4} geändert.
qstr_{s4}_looks_upset.|{s4} sieht verärgert aus.
qstr_OiM_You_ve_lost_your|Ihr habt Euer Pferd verloren.
qstr_oim_potop_negative_e|Im Jahre unseres Herrn 1655 löste der polnische König den Sejm -- das Parlament -- auf und rief sich zum Zaren nach dem Vorbild des Souveräns von Moskau aus. Dies konnte der verräterische Adel nicht hinnehmen, und schon bald hatte die Revolte alle Lande Großpolens, Litauens, Reußens und der Ukraine ergriffen. Um die wachsende Rebellion zu ersticken, heuerte der König deutsche Landsknechte als Söldner an. ^Es dauerte nicht lange, und die ganze polnisch-litauische Staatengemeinschaft war von den Flammen des Krieges verzehrt wie ein Haufen Zunder. Jan Kasimir, der Möchtegern-Zar, verzichtete angesichts des Loyalitätsverlusts bei seinen Leuten und dem Adel auf den Thron und floh. Begleitet wurde er von seinem neuesten Befehlshaber, einem Kriegsherrn von niederer Geburt namens {Spielername}. An der Grenze von Masowien und Preußen wurden sie von zahlreichen Banditen überfallen, die in jenen Tagen eine weit verbreitete Gefahr waren. Der König und seine Gefährten wurden getötet, und ihre Überreste wurden niemals gefunden. ^Zenon Petretsky, „Eine kurze Historie der polnischen Republik“ (1855)
qstr_your_party|Euer Trupp
qstr_{reg0?One_of_your_pr|{s1} von {s3}{reg0?, einer Eurer Gefangenen,:} ist entflohen!
qstr_You_brought_{reg3}_h|Ihr habt {s1} {reg3} Stück Vieh gebracht.
qstr_I_heard_that_there_w|Man sagt, es gebe in {s62} bald ein Turnier.
qstr_I_heard_that_one_can|Wie ich höre, kann man {s62} sehr billig in {s63} erstehen.
qstr_I_heard_that_they_pa|Man sagt, für {s62} werde in {s63} sehr gut gezahlt.
qstr_Log_entry_{reg3}:_ty|Logbucheintrag {reg3}: Typ {reg4}
qstr_Center:_{s4}|Zentrum: {s4}
qstr_Troop:_{s4}|Truppe: {s4}
qstr_Lord:_{s4}|Fürst: {s4}
qstr_Ally_party_is_presen|Alliierte Partei ist anwesend
qstr_{s4}_is_present_at_e|{s4} ist beim Ereignis anwesend
qstr_Event_#{reg5}_type_{|Ereignis #{reg5}, Typ {reg6}, Zeit {reg8}: Verhältnis der Spielernation zum Truppenobjekt = {reg7}
qstr_Event_#{reg5}_type_{r|Ereignis #{reg5}, Typ {reg6}, Zeit {reg8}: Verhältnis der Spielernation zur Nation des Zentrumsobjekts = {reg7}
qstr_Event_#{reg5}_type_{re|Ereignis #{reg5}, Typ {reg6}, Zeit {reg8}: Verhältnis der Spielernation zum Nationsobjekt = {reg7}
qstr_Event_#{reg5}_type_{reg|Ereignis #{reg5}, Typ {reg6}, Zeit {reg8}. Keine relevante Nationenbeziehung
qstr_Event_#{reg5}_type_{reg6|Ereignis #{reg5}, Typ {reg6}, Zeit {reg8}. Spieler ungebunden
qstr_Elapsed_hours:_{reg7|Verstrichene Stunden: {reg7}
qstr_Reputation_type:_{s1|Ansehenstyp: {s15}
qstr_Entries_up_to_#{reg5|Einträge bis #{reg5} übersprungen
qstr__{reg6}_dinarov_| ({reg6} Taler)
qstr__{s20}_{s22}_{s5}| {s20}, {s22} {s5}
qstr_{s0}___{reg1}|{s0} - {reg1}
qstr__^not_drunk|^^[Nüchtern]
qstr__^slightly_drinken|^^[Beschwipst]
qstr__^quite_drunk|^^[Betrunken]
qstr__^cant_say_few_words|^^[Sturzbetrunken]
qstr_V_otryade_nachalas_e|{s0} plagt eure Mannen. Lasst Eure Soldaten bei einem guten Essen in der Schänke rasten, um sie zu heilen. Außerdem sollten sie einen Doktor aufsuchen.
qstr_{s0}|{s0}
qstr_{s50}_i_{s0}|{s50} und {s0}
qstr_v_otryade_nachalas_e|{s0} plagt eure Mannen. Lasst Eure Soldaten bei einem guten Essen in der Taverne rasten, um sie zu heilen. Außerdem sollten sie einen Doktor aufsuchen.
qstr_v_otryade_nachalis_e|{s50} plagt eure Mannen.
qstr_{s2}_{reg3?was:is}_in|{s2} {reg3?war:ist} in der Wildnis, wohl in der Nähe von {s3}.
qstr_Player:_v_gorode_{s3|Spieler: {s31} soll bald in {s30} entstehen.
qstr_{s0}_{s2}|{s0}, {s2}
qstr_V_gorode_{s30}_zaver|{s31} ist entstanden in {s30}.
qstr_Glava|Bürgermeister
qstr_tax:_{reg3}|Steuern: {reg3}
qstr__{s2}_stud:_{reg0}| {s2} stud: {reg0}
qstr_depozita|Kaution
qstr_kredita|Guthaben
qstr_Zdes_vi_mozhete_zaka|Hier könnt Ihr Euch exzellente Waffen bestellen.
qstr_Zdes_vi_mozhete_zakaz|Hier könnt Ihr Euch exzellente Rüstungen bestellen.
qstr_Vash_zakaz_esche_ne_|Eure Bestellung ist noch nicht fertig.
qstr_Vi_esche_ne_zabrali_|Ihr habt Eure letzte Bestellung noch nicht abgeholt!
qstr_Za_mir_nuzhno_budet_|Wir sind zum Friedensschluss bereit, wenn Ihr uns {s5} gebt.
qstr_Za_mir_nuzhno_budet_o|Ich bin zum Friedensschluss bereit, wenn Ihr mir {s5} und {s2} gebt.
qstr_Uchitivaya_silu_vash|Wir respektieren die Macht Eurer Waffen. Wir sind zum Friedensschluss bereit.
qstr_Za_mir_vam_nuzhno_bu|Für den bescheidenen Betrag von {reg1} Talern sind wir zum Friedensschluss bereit.
qstr_^{s20}_{s21}|^{s20} {s21}
qstr_gorode|Stadt
qstr_zamke|Festung
qstr_sele|Dorf
qstr_V_{s22}_hodyat_sluhi|Es geht ein Gerücht: {s21}
qstr_V_etom_{s22}_nichego|In {s22} hat sich nichts Interessantes ereignet.
qstr_{s3}_{reg1}_|{s3}({reg1})
qstr_{s4}_{s3}_{reg1}_|{s4}, {s3}({reg1})
qstr_Party_has_nothing_to|Euer Trupp hungert!
qstr_{s31}|{s31}
qstr__{s32}| {s32}
qstr__| 
qstr_Cannot_leave_now.|Ihr könnt jetzt nicht aufbrechen.
qstr_You_must_stay_behind|Ihr müsst hinter der Linie auf dem Boden bleiben! Punkt wird nicht gezählt.
qstr_You_run_away_from_th|Ihr seid vom Schlachtfeld geflohen.
qstr_You_came_into_the_wo|Ihr kamt auf die Welt als {reg3?Tochter:Sohn} einer verarmten Adelsfamilie, die nichts als das Haus besaß, in dem sie lebte. Trotz aller Schwierigkeiten sparte sich Eure Familie jedoch eine gute Ausbildung für Euch vom Munde ab und bereitete Euch von Kindesbeinen an auf die Härten des Lebens als Aristokrat und bei Hofe vor.
qstr_You_were_born_the_{r|Ihr wurdet geboren als {reg3?Tochter:Sohn} fahrender Kaufleute, die auf der Suche nach Gewinn ständig von einem Ort zum anderen zogen. Eure Eltern waren zwar überdurchschnittlich wohlhabend und erzogen Euch, so gut sie konnten, doch Ihr hattet wenig Gelegenheit, unterwegs Freundschaften zu schließen, und lebtet hauptsächlich für die Augenblicke, da Ihr Eurer Familie mit einem guten Handel helfen konntet.
qstr_As_a_child_your_fami|Als Ihr Kind wart, nährte sich Eure Familie mehr schlecht als recht vom mageren Sold, den euer Vater als Gardist des örtlichen Fürsten erhielt. Diese Existenz war nicht einfach. Für eine gute Ausbildung war Eure Armut zu groß. Vor allem lerntet Ihr, wie man sich auf der Straße verteidigt -- mit und ohne Waffen.
qstr_{reg3?daughter:son}|{reg3?Tochter:Sohn}
qstr_You_were_the_{reg3?d|Ihr wurdet geboren als {reg3?Tochter:Sohn} einer Familie, die in den Wäldern lebte und es sehr schwer hatte, über die Runden zu kommen. Sie jagte, fällte Holz, stellte Pfeile her und wilderte sogar, wenn es mal wieder nichts zu beißen gab. Der Winter war stets eine besonders harte Zeit, denn die Kälte raffte Mensch und Tier gleichermaßen dahin. Ihr erlebtet stets den neuen Frühling, doch einige Eurer Geschwister hatten nicht so viel Glück.
qstr_You_were_a_child_of_|Ihr wurdet als Kind der Steppe in einen Nomadenstamm hineingeboren und lebtet in großen Lagern in der dürren Prärie. Wie die anderen Stammesmitglieder schätzte Eure Familie Pferde mehr als alles andere, und sie brachte Euch das Reiten bei, ehe Ihr zu laufen lerntet. 
qstr_As_the_{reg3?daughte|Als {reg3?Tochter:Sohn} eines Diebes war Eure Ausbildung sehr überschaubar. Ihr wart auf der Straße und betteltet, bis Ihr gelernt hattet, wie man Börsen aufschlitzt. Ihr schlitztet, bis Ihr gelernt hattet, Schlösser aufzubrechen. So sah Eure Kindheit aus. Die langen Jahre ließen Euch allerdings gewieft und vertraut mit den Geheimnissen der Städte und finsteren Gassen werden.
qstr_As_a_{reg3?girl:boy}|Als {reg3?Mädchen:Junge}, den Kinderschuhen kaum entwachsen, wurdet Ihr an den Hof eines Adligen des Landes geschickt. Dort erhieltet Ihr eine erste Lektion in Sachen Demut, als Ihr den Herrschaften des Hauses dientet. Deren Schachpartien jedoch, ihr Klatsch, sogar ihre Balladen von großen Taten und höfischer Liebe lehrten Euch viel über die Welt der Erwachsenen voller Konflikte und Konkurrenz. Auch die rauen Spiele der anderen Kinder, die die Schwertkämpfe der Erwachsenen mit Stöcken nachahmten, waren lehrreich für Euch.
qstr_As_a_{reg3?girl:boy}_|Als {reg3?Mädchen:Junge}, den Kinderschuhen kaum entwachsen, gingt Ihr bei einem örtlichen Handwerker in die Lehre. Nach harten Lehrjahren unter Eurem neuen Meister erreichtet Ihr in den Rang eines Gesellen und wurdet als voll bezahlter Handwerker eingestellt, solange Ihr zu bleiben wünschtet.
qstr_As_a_{reg3?girl:boy}_g|Als {reg3?Mädchen:Junge}, den Kinderschuhen kaum entwachsen, gingt Ihr bei einem wohlhabenden Kaufmann in die Lehre. Ihr erlerntet den Beruf über Jahre, betriebt Läden und lenktet Wagen. Nicht lange, und Ihr wart bewandert in der Kunst des wohlfeilen Einkaufs, des lukrativen Verkaufs sowie darin, den Kunden glauben zu lassen, er würde ein Schnäppchen machen.
qstr_As_a_{reg3?girl:boy}_gr|Als {reg3?Mädchen:Junge}, den Kinderschuhen kaum entwachsen, gingt Ihr auf die Straße und tatet, was Ihr musstet, um zu überleben. Bettelnd, stehlend und mit Handlangereien für Banden erwarbt Ihr Euer täglich Brot. Ihr lebtet von einem Tag zum nächsten in dieser brutalen Welt und bliebt dem Gesetz sowie denen, die Euch übel wollten, stets eine Nasenlänge voraus.
qstr_As_a_{reg3?girl:boy}_gro|Als {reg3?Mädchen:Junge}, den Kinderschuhen kaum entwachsen, rittet Ihr auf Eurem eigenen Pferd durch die riesigen Steppen und wurdet vertraut mit dem Gras und der Wüste. Bisweilen musstet Ihr hungern, doch wurdet Ihr zum fähigen Jäger und Fährtenleser in dieser unwegsamen Wildnis. Auch Euren Körper stähltet Ihr, als Ihr zu einem Nomaden heranwuchst.
qstr_{reg3?daughter:man}|{reg3?Tochter:Mann}
qstr_Though_the_distincti|Ihr wuchst heran, und als Ihr {reg3?zur Frau:zum Mann} geworden wart, schien sich die ganze Welt um Euch herum verändert zu haben. Als Ihr zum Knappen eines Edlen bei Hofe ernannt wurdet, übtet Ihr lange Stunden an den Waffen, lerntet, harte Schläge auszuteilen -- und auch einzustecken. Man unterwies Euch in Euren Obliegenheiten Eurem Fürsten gegenüber sowie in Euren Pflichten gegenüber Euren zukünftigen Vasallen. Doch nicht nur mit den ritterlichen Idealen wurdet Ihr vertraut, sondern auch mit den weniger annehmlichen Seiten -- die alten Krieger berichteten von ruchloser Machtpolitik, von Verrat, Usurpation und Männern, die Ihre Ziele nicht nur mit Mut, sondern auch mit Arglist verfolgten.
qstr_{reg3?woman:man}|{reg3?Frau:Mann}
qstr_Though_the_distinctio|Ihr wuchst heran, und als Ihr {reg3?zur Frau:zum Mann} geworden wart, schien sich die ganze Welt um Euch herum verändert zu haben. Ihr wurdet Teil des exklusiven Kreises der Frauen am Hof, einer Riege vornehmer Damen, Gattinnen und Gespielinnen der Adligen und unverheiratete Jungfern, die ihrer Vermählung harrten. Und auch hier fandet Ihr Politik am Werk. Die Damen schmieden Ränke um des gesellschaftlichen Ansehens Willen und konkurrierten aufs Bitterste miteinander, wenn es galt, den Blick eines interessanten Junggesellen auf sich zu ziehen. Bald wusstet Ihr, derlei Situationen und Intrigen zu Eurem Vorteil zu nutzen. Zugleich erkanntet Ihr, welch großen Einfluss Ihr in der Welt ausüben konntet, wenn Ihr es nur subtil genug angingt.
qstr_Though_the_distinction|Ihr wuchst heran, und als Ihr {reg3?zur Frau:zum Mann} geworden wart, schien sich die ganze Welt um Euch herum verändert zu haben. Ihr machtet Euch allein auf den Weg, mit nichts als dem Instrument auf Eurem Rücken und Eurer Stimme ausgerüstet. Es war ein bescheidenes Dasein mit manch nächtlichem Magenknurren, wenn die Leute Euer Spiel wieder nicht zu schätzen gewusst hatten, doch irgendwie schlugt Ihr Euch durch mit Eurer Musik. Im Lauf der Jahre lerntet Ihr, das trunkene Volk in den Tavernen zufriedenzustellen, und noch besser wurdet Ihr darin, anderen gegenüber Euren Willen durchzusetzen.
qstr_Though_the_distinction_|Ihr wuchst heran, und als Ihr {reg3?zur Frau:zum Mann} geworden wart, schien sich die ganze Welt um Euch herum verändert zu haben. Ihr gingt an die Universität einer der großen Städte und studiertet Theologie, Philosophie und Medizin. Doch nicht alle Lektionen erhieltet Ihr in den Hörsälen. Ihr mögt vielleicht nicht jedes Mal mit Euren Kameraden gezogen sein, wenn sie auf der Suche nach Wein, Weib und Wirtshausschlägerei durch die Gassen stromerten. Doch lerntet Ihr auf jeden Fall, wie man einen gebrochenen Kiefer richtet und wie man aufgebrachte Bürger überredet, den Knüttel wegzulegen und sich mit Barem über die Verwüstungen ihres Besitzes hinwegtrösten zu lassen.
qstr_Though_the_distinction_f|Ihr wuchst heran, und als Ihr {reg3?zur Frau:zum Mann} geworden wart, schien sich die ganze Welt um Euch herum verändert zu haben. Ihr folgtet dem Ruf der Straße, reistet von Dorf zu Dorf und kauftet und verkauftet, was Ihr konntet. Es war kein Leben im Wohlstand, aber Ihr wurdet ein ausgezeichneter Feilscher, der noch die knickrigsten Alten zu guten Preisen überreden konnte. Ihr wusstet, nicht mehr lange, und Ihr würdet Euer eigenes Handelsimperium aufbauen ...
qstr_Though_the_distinction_fe|Ihr wuchst heran, und als Ihr {reg3?zur Frau:zum Mann} geworden wart, schien sich die ganze Welt um Euch herum verändert zu haben. Ihr ergrifft den Beruf des Schmieds und fertigtet Nützliches wie Schönes aus schlichtem Metall. Mit der Zeit wurdet Ihr zu einem Meister Eurer Zunft, und man begann, für Eure edlen Werke stolze Preise zu zahlen. Mit vollem Magen und Holz im Ofen konntet Ihr stolz sein auf Eure Arbeit und Euer zunehmendes Ansehen.
qstr_Though_the_distinction_fel|Ihr wuchst heran, und als Ihr {reg3?zur Frau:zum Mann} geworden wart, schien sich die ganze Welt um Euch herum verändert zu haben. Angesichts der verzweifelten Jagd der Massen nach jeder Münze gingt Ihr in die Wälder Eures Fürsten, um Euch von den dortigen Reichtümern zu nehmen, was Ihr wolltet -- und zur Hölle mit dem Gesetz! Hirsche, Wildschweine, Gänse erlegtet Ihr und verkauftet das wertvolle Fleisch unter der Hand. Bäume fälltet Ihr vor der Nase der Forstaufseher und machtet Feuerholz daraus, das manche kalte Hütte im Winter wärmte. Gegen ein paar Silberstücke natürlich.
