str_no_string|NO STRING!
str_attack_walls_success|Nach einer erbitterten Schlacht gelingt es Euren tapferen Soldaten, dem Feind die Mauern zu entringen.
str_attack_walls_failure|Eure Soldaten fallen reihenweise, während sie auf die Mauern einstürmen. Wer noch lebt, rennt alsbald um sein Leben und lässt sich nie wieder blicken.
str_attack_walls_continue|Eine blutige Schlacht entbrennt, in der beide Seiten tapfer kämpfen. Doch trotz der Anstrengungen Eurer Truppen bleibt die Festung in der Hand des Feindes.
str_order_attack_success|Tapfer kämpfen Eure Mannen, sie schlagen den Feind.
str_order_attack_failure|Ihr betrachtet die Schlacht mit wachsender Verzweiflung, denn der Feind mäht Eure Mannen nieder und vertreibt die ramponierten Überlebenden.
str_order_attack_continue|Trotz langer, aufreibender Schlacht waren Eure Soldaten nicht imstande, den entscheidenden Sieg zu erringen.
str_join_order_attack_success|Eure Mannen fochten tapfer neben Euren Verbündeten und teilten den Ruhm, den Feind zu vernichten.
str_join_order_attack_failure|Ihr betrachtet die Schlacht mit wachsender Verzweiflung, denn der Feind mäht Eure Mannen nieder und vertreibt die ramponierten Überlebenden.
str_join_order_attack_continue|Trotz verbissener Schlacht konnten Eure Truppen ebenso wenig wie Eure Verbündeten den entscheidenden Sieg erringen.
str_siege_defender_order_attack_success|Die Mannen der Garnison halten die Mauern mit Geschick und Mut, brechen den Ansturm der Feinde und verwandeln die bedrohliche Situation in einen fundamentalen Triumph.
str_siege_defender_order_attack_failure|Der Angriff gerät rasch zum Blutbad. Alle tapferen Verteidigungsversuche sind vergebens. Die unterlegene Garnison kann die Mauern nicht halten und fällt bis zum letzten Verteidiger vor den Schwertern der Feinde.
str_siege_defender_order_attack_continue|Die blutigen Angriffe auf die Mauern bringen zwar nicht den Durchbruch, doch für einen richtigen Sieg der Verteidiger verbleiben zu viele Feinde. Die Belagerung geht weiter.
str_hero_taken_prisoner|{s1} aus {s3} wurde von {s2} gefangengenommen.
str_hero_freed|{s1} aus {s3} wurde von {s2} aus der Gefangenschaft befreit.
str_center_captured|{s2} haben {s3} {s1} genommen.
str_troop_relation_increased|Euer Verhältnis zu {s1} hat sich von {reg1} auf {reg2} verbessert.
str_troop_relation_detoriated|Euer Verhältnis zu {s1} hat sich von {reg1} auf {reg2} verschlechtert.
str_faction_relation_increased|Euer Verhältnis zu {s1} hat sich von {reg1} auf {reg2} verbessert.
str_faction_relation_detoriated|Euer Verhältnis zu {s1} hat sich von {reg1} auf {reg2} verschlechtert.
str_party_gained_morale|Euer Trupp erhält {reg1} Moral.
str_party_lost_morale|Euer Trupp büßt {reg1} Moral ein.
str_qst_follow_spy_noticed_you|Der Spion hat Euch entdeckt! Er gibt Fersengeld!
str_father|Vater
str_husband|Ehemann
str_wife|Ehefrau
str_daughter|Tochter
str_mother|Mutter
str_son|Sohn
str_brother|Bruder
str_sister|Schwester
str_he|Er
str_she|Sie
str_s3s_s2|{s2} von {s3}
str_s5_is_s51|{s5} ist {s51}.
str_s5_is_the_ruler_of_s51|{s5} ist der Herrscher von {s51}.
str_s5_is_a_nobleman_of_s6|{s5} ist ein Edler aus {s6}.
str_relation_mnus_100|Feindseligkeit
str_relation_mnus_90|Feindseligkeit
str_relation_mnus_80|Feindseligkeit
str_relation_mnus_70|Hass
str_relation_mnus_60|Hass
str_relation_mnus_50|Abneigung
str_relation_mnus_40|Abneigung
str_relation_mnus_30|Misstrauen
str_relation_mnus_20|Misstrauen
str_relation_mnus_10|Gleichgültigkeit
str_relation_plus_0|Gleichgültigkeit
str_relation_plus_10|Gleichgültigkeit
str_relation_plus_20|Sympathie
str_relation_plus_30|Sympathie
str_relation_plus_40|Unterstützung
str_relation_plus_50|Unterstützung
str_relation_plus_60|Freundlichkeit
str_relation_plus_70|Freundlichkeit
str_relation_plus_80|Ergebenheit
str_relation_plus_90|Ergebenheit
str_relation_mnus_100_ns|{s60} verspürt Rachedurst Euch gegenüber.
str_relation_mnus_90_ns|{s60} verspürt Rachedurst Euch gegenüber.
str_relation_mnus_80_ns|{s60} verspürt Rachedurst Euch gegenüber.
str_relation_mnus_70_ns|{s60} verspürt Hass Euch gegenüber.
str_relation_mnus_60_ns|{s60} verspürt Hass Euch gegenüber.
str_relation_mnus_50_ns|{s60} ist Euch feindlich gesinnt.
str_relation_mnus_40_ns|{s60} ist zornig auf Euch.
str_relation_mnus_30_ns|{s60} grollt Euch.
str_relation_mnus_20_ns|{s60} murrt über Euch.
str_relation_mnus_10_ns|{s60} zweifelt an Euch.
str_relation_plus_0_ns|{s60} hat keine Meinung zu Euch.
str_relation_plus_10_ns|{s60} ist Euch gegenüber aufgeschlossen.
str_relation_plus_20_ns|{s60} ist Euch geneigt.
str_relation_plus_30_ns|{s60} ist Euch wohlgesonnen.
str_relation_plus_40_ns|{s60} möchte Euch unterstützen.
str_relation_plus_50_ns|{s60} ist Euch freundlich gesinnt.
str_relation_plus_60_ns|{s60} verspürt Freundschaft für Euch.
str_relation_plus_70_ns|{s60} ist begeistert von Euch.
str_relation_plus_80_ns|{s60} hält treu zu Euch.
str_relation_plus_90_ns|{s60} ist Euch ergeben.
str_relation_reg1|Verhältnis {reg1}
str_center_relation_mnus_100|Die Bevölkerung hasst Euch abgrundtief.
str_center_relation_mnus_90|Die Bevölkerung hasst Euch sehr.
str_center_relation_mnus_80|Die Bevölkerung hasst Euch ziemlich.
str_center_relation_mnus_70|Die Bevölkerung hasst Euch.
str_center_relation_mnus_60|Die Bevölkerung verspürt Hass auf Euch.
str_center_relation_mnus_50|Die Bevölkerung ist Euch extrem feindlich gesinnt.
str_center_relation_mnus_40|Die Bevölkerung ist Euch sehr feindlich gesinnt.
str_center_relation_mnus_30|Die Bevölkerung ist Euch feindlich gesinnt.
str_center_relation_mnus_20|Die Bevölkerung ist gegen Euch.
str_center_relation_mnus_10|Die Bevölkerung ist nicht einverstanden mit Euch.
str_center_relation_plus_0|Ihr seid der Bevölkerung gleichgültig.
str_center_relation_plus_10|Die Bevölkerung akzeptiert Euch.
str_center_relation_plus_20|Die Bevölkerung ist Euch gegenüber aufgeschlossen.
str_center_relation_plus_30|Die Bevölkerung unterstützt Euch ein wenig.
str_center_relation_plus_40|Die Bevölkerung unterstützt Euch.
str_center_relation_plus_50|Die Bevölkerung unterstützt Euch sehr.
str_center_relation_plus_60|Die Bevölkerung hält treu zu Euch.
str_center_relation_plus_70|Die Bevölkerung hält sehr treu zu Euch.
str_center_relation_plus_80|Die Bevölkerung ist Euch ergeben.
str_center_relation_plus_90|Die Bevölkerung ist Euch völlig ergeben.
str_town_prosperity_0|Die Armut der Stadt {s60} ist unerträglich.
str_town_prosperity_10|Die elende Stadt {s60} ist praktisch verlassen.
str_town_prosperity_20|Die Stadt {s60} ist ein armseliger, verkommener Ort.
str_town_prosperity_30|Die Stadt {s60} wirkt arm und vernachlässigt.
str_town_prosperity_40|Die Stadt {s60} scheint Probleme zu haben.
str_town_prosperity_50|Die Stadt {s60} scheint nicht weiter bemerkenswert.
str_town_prosperity_60|Die Stadt {s60} scheint zu prosperieren.
str_town_prosperity_70|Die prosperierende Stadt {s60} vibriert vor Leben.
str_town_prosperity_80|Die Stadt {s60} wirkt reich und gepflegt.
str_town_prosperity_90|Die Stadt {s60} ist prächtig und voller betuchter Leute.
str_town_prosperity_100|Die glanzvolle Stadt {s60} prunkt mit ihrem üppigen Reichtum.
str_village_prosperity_0|Die Armut des Dorfs {s60} ist unerträglich.
str_village_prosperity_10|Das Dorf {s60} sieht fürchterlich arm und elend aus.
str_village_prosperity_20|Das Dorf {s60} sieht ziemlich arm und elend aus.
str_village_prosperity_30|Das Dorf {s60} wirkt arm und vernachlässigt.
str_village_prosperity_40|Das Dorf {s60} scheint einigermaßen arm und problembeladen.
str_village_prosperity_50|Das Dorf {s60} scheint nicht weiter bemerkenswert.
str_village_prosperity_60|Das Dorf {s60} kommt offenbar über die Runden.
str_village_prosperity_70|Das Dorf {s60} scheint zu prosperieren.
str_village_prosperity_80|Das Dorf {s60} wirkt reich und gepflegt.
str_village_prosperity_90|Das Dorf {s60} wirkt sehr reich und glücklich.
str_village_prosperity_100|Das Dorf {s60}, inmitten riesiger, fruchtbarer Lande, sieht extrem reich aus.
str_war_report_minus_4|Wir sind drauf und dran, den Krieg zu verlieren.
str_war_report_minus_3|Die Lage ist ernst.
str_war_report_minus_2|Die Dinge liegen nicht gut für uns.
str_war_report_minus_1|Wir können den Krieg gewinnen, wenn wir uns reinhängen.
str_war_report_0|Wir sind mit dem Feind gleichauf.
str_war_report_plus_1|Wir haben Chancen, den Krieg zu gewinnen.
str_war_report_plus_2|Die Dinge laufen in unserem Sinne.
str_war_report_plus_3|Wir sollten den Gegner problemlos bezwingen können.
str_war_report_plus_4|Der Sieg ist so gut wie unser.
str_persuasion_summary_very_bad|Nach Kräften versucht Ihr, {s50} zu überzeugen, doch keins Eurer Argumente will verfangen. Immer, wenn Ihr gerade vernünftig klingt, entschlüpft Euch wieder ein Lapsus, der Euch den roten Faden verlieren lässt. Bis zum Ende Eurer Rede könnt Ihr kein einziges kohärentes Argument zu Euren Gunsten formulieren, und Ihr erkennt, dass Ihr nichts getan habt, als Euch selbst eine Grube zu graben. Erwartetermaßen sieht {s50} nicht eben beeindruckt aus.
str_persuasion_summary_bad|Ihr müht Euch redlich, {s50} zu überzeugen, doch {reg51?sie:er} argumentiert Euch sofort an die Wand. Selbst Eure stärksten Argumente klingen hohl in Euren eigenen Ohren. {s50} hat entsprechend keine allzu hohe Meinung von dem, was Ihr vorzubringen habt.
str_persuasion_summary_average|{s50} erweist sich als geschulter Redner mit scharfem Verstand, und ihr könnt nichts vorbringen, wogegen {reg51?sie:er} keine berechtigten Einwände hätte. Zuletzt hat es keiner der Diskussionspartner geschafft, den anderen zu überzeugen.
str_persuasion_summary_good|Euer wendiger Geist und Eure geschickte Argumentation helfen Euch, Euren Fall angebracht hervorzubringen, und {s50} muss inhaltlich etliche Zugeständnisse machen. Es gelingt euch allerdings nicht, alle {reg51?ihre:seine} Zweifel auszuräumen.
str_persuasion_summary_very_good|Ihr haltet eine leidenschaftliche Rede, so ergreifend und überzeugend wie hohe Poesie. Die ganze Welt scheint innezuhalten, um Euch zu lauschen. Die inspirierenden Worte haben {s50} tief bewegt, und {reg51?sie:er} scheint nun viel aufgeschlossener, Euch zu unterstützen.
str_secret_sign_1|Der Schrank, er tanzt zur Mitternacht...
str_secret_sign_2|Ich biete diese feinen türkischen Wandteppiche feil. Möchtet Ihr nicht welche erwerben?
str_secret_sign_3|Ein Freund eines Freundes sandte mic...
str_secret_sign_4|Scharf geht der Wind von Ost, und der Fluss färbt sich rot...
str_countersign_1|Tanzt er denn für die Kommode oder für den Kerzenhalter? 
str_countersign_2|Gerne, habt Ihr welche in Blau?
str_countersign_3|Aber, mein Freund, der Freund Eures Freundes wird nie einen Freund haben wie mich.
str_countersign_4|War Euch nicht wohl?
str_name_1|Sirko
str_name_2|Mosyra
str_name_3|Filon
str_name_4|Buhalo
str_name_5|Netschuy
str_name_6|Rourk
str_name_7|Asmund
str_name_8|Björn
str_name_9|Sigvar
str_name_10|Torgreyr
str_name_11|Gunnstein
str_name_12|Chort
str_name_13|Okun
str_name_14|Keinenas
str_name_15|Prügler
str_name_16|Läufer
str_name_17|Tabasch
str_name_18|Zamora
str_name_19|Gudz
str_name_20|Barnabas
str_name_21|Woizjek
str_name_22|Garscha
str_name_23|Baibak
str_name_24|Bakhmet
str_name_25|Akun
str_surname_1|{s50} Marklitz
str_surname_2|{s50} der Schlächter
str_surname_3|{s50} die Zwille
str_surname_4|{s50} der Schmächtige
str_surname_5|{s50} das Täubchen
str_surname_6|{s50} Goldmund
str_surname_7|{s50} Sturmbrecher
str_surname_8|{s50} der Grauhaarige
str_surname_9|{s50} der Gierige
str_surname_10|{s50} Guteseel
str_surname_11|{s50} der Erhabene
str_surname_12|{s50} der Schlittenhund
str_surname_13|{s50} der Dürre
str_surname_14|{s50} der Schakal
str_surname_15|{s50} der Maulheld
str_surname_16|{s50} der Drachen
str_surname_17|{s50} die Spinne
str_surname_18|{s50} der Gimpel
str_surname_19|{s50} Segelohr
str_surname_20|{s50} die Muskete
str_surname_21|{s50} der Weiße
str_surname_22|{s50} der Schwarze
str_surname_23|{s50} der Rote
str_surname_24|{s50} Totenwächter
str_surname_25|{s50} Eisenhand
str_surname_26|{s50} der Trottel
str_surname_27|{s50} der Alte
str_surname_28|{s50} der Langarmige
str_surname_29|{s50} das Wildschwein
str_surname_30|{s50} der Bucklige
str_surname_31|{s50} die Kugel
str_surname_32|{s50} der Fette
str_surname_33|{s50} der Vergnügte
str_surname_34|{s50} der Griesgram
str_surname_35|{s50} Schielauge
str_surname_36|{s50} der Bienenmeister
str_surname_37|{s50} der Stumme
str_surname_38|{s50} der Scharfschütze
str_surname_39|{s50} der Weiberheld
str_surname_40|{s50} der Wechsler
str_surname_41|{s50} der Wolf
str_surnames_end|Nachnamen Ende
str_number_of_troops_killed_reg1|Anzahl getöteter Truppenmitglieder: {reg1}
str_number_of_troops_wounded_reg1|Anzahl verwundeter Truppenmitglieder: {reg1}
str_number_of_own_troops_killed_reg1|Anzahl getöteter Verbündeter: {reg1}
str_number_of_own_troops_wounded_reg1|Anzahl verwundeter Truppenmitglieder: {reg1}
str_retreat|Rückzug!
str_siege_continues|Der Kampf dauert an...
str_casualty_display|Eure Verluste: {s10}^Gegnerische Verluste: {s11}{s12}
str_casualty_display_hp|^Ihr habt durch Verwundungen {reg1} Trefferpunkte verloren.
str_quest_log_updated|Das Quest-Logbuch wurde aktualisiert...
str_banner_selection_text|Ihr habt das Recht erworben, ein Banner zu tragen. Euer Banner bezeichnet Euren Status und bringt Euch Ehre. Welches Banner wählt Ihr?
str_retirement_text_1|Zu spät erkennt Ihr, dass Euer Geld nicht ausreicht. Es dauert nicht lange, und Ihr habt Eure spärlichen Rücklagen aufgezehrt. Eure verzweifelten Versuche, Euch wieder in Abenteuer zu stürzen, scheitern kläglich. Ihr endet als Bettler in {s9}, lebt von Almosen und der Gnade der Kirche.
str_retirement_text_2|Zu spät erkennt Ihr, dass Euer Geld nicht ausreicht. Es dauert nicht lange, und Ihr habt Eure spärlichen Rücklagen aufgezehrt. Als Ihr aller Taler bar seid, führt Ihr in den Gassen von {s9} das Leben eines Tunichtguts, setzt zum Überleben Eure niederen Talente ein und beraubt die Frauen und armen Städter ihrer Kupferlinge.
str_retirement_text_3|Zu spät erkennt Ihr, dass Euer Geld nicht ausreicht. Es dauert nicht lange, und Ihr habt Eure spärlichen Rücklagen aufgezehrt. Mittellos diffundiert Ihr von einer Taverne zur anderen, bettelt duldsame Gäste um Getränke an und revanchiert Euch mit Kriegsanekdoten, die Euch keiner glaubt.
str_retirement_text_4|Lang reicht das Silber nicht, das Ihr gespart habt, doch Ihr könnt genug zusammenkratzen, um Euch beim Dorf {s7} ein Stück Land zu kaufen. Dort werdet Ihr freier Bauer, und bald beginnen sich potenzielle {Ehefrauen/Ehemänner} für Euch zu interessieren. Nach einiger Zeit beginnen die Dörfler Euch als ihren lokalen Helden zu behandeln. Stets erhaltet Ihr bei Festen den Ehrenplatz, und Eure Heldentaten werden in den Schänken und Tavernen so oft wiederholt, dass sich die Jungen für immer an Euch erinnern werden.
str_retirement_text_5|Lang reicht das Silber nicht, das Ihr gespart habt, doch Ihr könnt genug zusammenkratzen, um Euch im Dorf {s9} eine kleine Taverne zu kaufen. Die Dörfler, obzwar zunächst misstrauisch, akzeptieren Euch bald, und schließlich ist Eure Taverne ein beliebter Ort für Treffen und Feste. Die Leute wandern meilenweit, um bei Euch zu speisen oder zu übernachten, und Ihr seid berühmt für die epischen Geschichten, die Ihr aus Euren Abenteurertagen zu berichten wisst.
str_retirement_text_6|Eure Laufbahn hindurch habt Ihr weise gespart, und nun erlauben Euch Euer Silber und Eure Intelligenz einige hervorragende Investitionen, die Eure Zukunft sichern. Nachdem Ihr in {s9} mehrere Läden und Warenlager gekauft habt, gehört Ihr dank Eurer Schläue bald zu den besten Kaufleuten der Stadt und werdet {ein wohlhabender Mann/eine wohlhabende Frau}, für Euer Handelsimperium ebenso bekannt wie für Eure vormaligen militärischen Abenteuer.
str_retirement_text_7|Als Landadliger, unbedeutend oder nicht, ist eure Zukunft zu gut wie gesichert. Ihr lasst Euch auf Eurem Sitz in {s7} nieder, verwaltet das Dorf und die Felder, sprecht Recht und erfüllt Eure Verpflichtungen Eurem Fürsten gegenüber. Bisweilen lässt Euch der Fürst rufen, damit Ihr Truppen sammelt und sie in seinen Kampagnen befehligt, doch sind dies nur kurze Episoden, mit Eurer abenteuerlichen Jugend nicht zu vergleichen. Ihr habt Euer Glück schon gemacht, besitzt Eure Halle und Eure Ländereien, und es gibt nur wenige Wünsche, die Euch angesichts Eures Vermögens und der Einkünfte von Eurem Grund und Boden versagt bleiben.
str_retirement_text_8|Fraglos habt Ihr es sehr weit gebracht. Eure ausgedehnten Ländereien und das Vermögen, das Ihr in Eurer Abenteurerzeit angehäuft habt, garantieren Euch ein reiches, einfaches Leben bis ans Ende Eurer Tage. Ihr zieht Euch auf Euren Adelssitz in {s8} zurück, befasst Euch mit Politik statt mit Abenteuern und etabliert Euch bald als Machtinstitution am königlichen Hof Eurer Nation. Wenn Ihr nicht mit politischen Intrigen beschäftigt seid, jagt Ihr in Euren Privatwäldern oder gebt Bankette in Eurer Halle, bei denen Ihr die Gäste mit Hunderten erlesenen Kriegsgeschichten unterhaltet. Es dürfte Euch nicht schwerfallen, das Beste aus Euren verbleibenden Jahren zu machen.
str_retirement_text_9|Als Lohn für Eure kompetenten, loyalen Dienste bescheidet Euer Fürst Euch einen Erbtitel, der Euch zum festen Bestandteil des Hochadels im Reich macht. Ihr seid nun Baron von {s7} und werdet zu einem der engsten Ratgeber Eures Fürsten. Euer Ansehen verschafft Euch reichlich subtilen Einfluss und signifikante Macht. Ihr verbringt Eure Tage mit den Spielen der Macht, verwaltet Eure ausgedehnten Lehen und schwelgt in Erinnerungen an die alten, ruhmreichen Tage der Abenteuer.
str_retirement_text_10|Wiewohl Eure Anfänge bescheiden waren, schätzt Euer Fürst Euch doch sehr, und das Erstaunen im Reich ist nicht groß, als er Euch den Erbtitel {des Grafen/der Gräfin} von {s9} verleiht. Ausgedehnte Lehen und Reichtümer unterstehen Euch nun. Rasch werdet Ihr zum engsten Ratgeber Eures Fürsten, seid ihm beinahe gleichgestellt und fest eingebunden in die Regierung des Reichs. Als eine der einflussreichsten Personen der Nation thront Ihr in Eurem eigenen prächtigen Palast.
str_loot_village|unschuldige Dörfler angreifen
str_steal_from_villagers|arme Dörfler bestehlen
str_men_hungry|plötzlich Hunger leiden
str_men_unpaid|plötzlich verarmen
str_excessive_casualties|jede Schlacht zu einem Blutbad für die eigenen Leute machen
str_flee_battle|vom Schlachtfeld fliehen
str_fail_quest|bei einer Quest versagen, die auf Ehrenwort unternommen wurde
str_squander_money|uns anvertrautes Geld verprassen
str_murder_merchant|uns in kaltblütigen Mord verstricken
str_round_up_serfs|Leibeigene auf Befehl eines Adligen einfangen
str_battle_fate_1|Wir wurden in der Hitze des Gefechts getrennt
str_battle_fate_2|Ich wurde verwundet und für tot zurückgelassen
str_battle_fate_3|Der Feind schlug mich bewusstlos
str_battle_fate_4|Ich wurde ergriffen und gegen Lösegeld gefangengehalten
str_battle_fate_5|Ich wurde gefangengenommen, konnte jedoch später entkommen
str_npc_morale_report|Ich bin {s6} Eurer Gefährtenwahl, {s7} Eurem Führungsstil und {s8} dem allgemeinen Stand der Dinge.
str_happy|glücklich mit
str_content|zufrieden mit
str_concerned|nicht so glücklich mit
str_not_happy|unglücklich mit
str_miserable|angewidert von
str_morale_reg1| Moral: {reg1}
str_bar_enthusiastic|                   Enthusiastisch
str_bar_content|              Zufrieden
str_bar_weary|          Erschöpft
str_bar_disgruntled|     Verdrossen
str_bar_miserable|  Verzweifelt
str_here_plus_space|hier 
str_npc1_intro|Holla, Reisender. Ihr seid nicht zufällig ein Krieger des Prinzen Yarema?
str_npc2_intro|Verzeiht -- sind wir uns nicht schon einmal begegnet?
str_npc3_intro|{Mein Sohn/Meine Tochter}! Gestattet mir, Eure Speise zu segnen und ein schönes, ausführliches Gebet zu sprechen, auf dass das Schlachtenglück mit Euch sei. Dafür verlange ich nichts als ein paar Humpen kühlen Bieres!
str_npc4_intro|Seid gegrüßt, Kosak! Warum leert Ihr nicht ein paar Becher Wodka mit mir?
str_npc5_intro|Herr Ritter, wollt Ihr mir nicht auf einen Schluck Gesellschaft leisten?
str_npc6_intro|Meinen Gruß, Fremder! Seid Ihr es, der Mannen anzuwerben sucht? Ich bin Scharfschütze, Fedot mein Name...
str_npc7_intro|Wenn Ihr mir einen Trank anzubieten sucht, wahrt Ihr besser Abstand!
str_npc8_intro|Isanmesez!
str_npc9_intro|Seid gegrüßt, {Herr/Herrin}. Ihr seid nicht zufällig aus Litauen?
str_npc10_intro|Victor del Buscador, zu Euren Diensten!
str_npc11_intro|Hallo. Mich dünkt, wir sind uns schon begegnet. Ich bedarf Eurer Hilfe.
str_npc12_intro|Die Farbe Eures Antlitzes besorgt mich, {Herr/Herrin}. Vielleicht solltet Ihr es mit Blutegeln versuchen...
str_npc13_intro|Wenn Ihr eine Wahrsagerin braucht, seid Ihr zur Unzeit gekommen. Ich sage nur wahr, wenn der Mond jung ist.
str_npc14_intro|Seid gegrüßt, {Herr/Herrin}. Der Wein hier ist abscheulich, findet Ihr nicht?
str_npc15_intro|Was gafft Ihr da? Ihr wollt wohl mein Nudelholz zu schmecken kriegen?
str_npc16_intro|Ihr bietet mir zehn Taler dafür, dass ich Eure Kammer betrete? Seid gewahr, dass ich einen sehr scharfen Dolch in der Hand halte.
str_npc1_intro_response_1|Nein, da irrt Ihr Euch. Doch habt Ihr vielleicht Pan Zagloba hier gesehen? Ich suche ihn.
str_npc2_intro_response_1|Ich glaube nicht. Mein Name ist {Spielername}.
str_npc3_intro_response_1|Gottes Segen, heiliger Vater! Was durchstreift Ihr die Tavernen?
str_npc4_intro_response_1|Nichts spricht gegen einen gehaltvollen Schluck, wenn nur die Gesellschaft taugt...
str_npc5_intro_response_1|Nun, warum nicht. Und was führt einen schwedischen Musketier in diese Lande?
str_npc6_intro_response_1|Vielleicht suche ich tatsächlich. Was ist Euer Mantel so zerschlissen? Und ach, sieh sich einer diese Streitaxt an... Desertiert, wie?
str_npc7_intro_response_1|Nichtdoch. Ich würde es nicht wagen!
str_npc8_intro_response_1|Verzeiht, was sagtet Ihr?
str_npc9_intro_response_1|Ihr müsst mich verwechseln, mein Freund.
str_npc10_intro_response_1|Alle Wetter, welch ein Name. Seid Ihr Spanier?
str_npc11_intro_response_1|Ich entsinne mich nicht. Worum geht es denn?
str_npc12_intro_response_1|Blutegel? Was seid Ihr, ein Doktor?
str_npc13_intro_response_1|Faszinierend. Ich dachte, der beste Mond zum Wahrsagen sei ein voller.
str_npc14_intro_response_1|Ihr kennt Euch aus mit Wein, wie?
str_npc15_intro_response_1|Gott bewahre, nein! Ich dachte vielmehr, Ihr hättet mir etwas mitzuteilen. Wie ist Euer Name?
str_npc16_intro_response_1|Oh nein... Ganz im Gegenteil, ich wollte Euch fragen, ob ich etwas für Euch tun kann...
str_npc1_intro_response_2|Dies ist nicht die Zeit, um in Erinnerungen zu schwelgen.
str_npc2_intro_response_2|Verzeiht, dann habe ich mich geirrt...
str_npc3_intro_response_2|Potz, welch Überraschung... Geht nun, heiliger Vater. Der Herr wird’s geben...
str_npc4_intro_response_2|Ich danke Euch, doch ich bin eben im Aufbruch.
str_npc5_intro_response_2|Verzeiht, ich muss mich sputen.
str_npc6_intro_response_2|Äußerlichkeiten können täuschen.
str_npc7_intro_response_2|Um Himmels Willen, was kümmert denn Ihr mich.
str_npc8_intro_response_2|Geht, fort mit Euch, Ihr Heide. Euer Gestammel versteh ich nicht.
str_npc9_intro_response_2|Wir sprechen uns später, mein Freund. Ich bin in Eile.
str_npc10_intro_response_2|Sehr erfreut. Wir sprechen uns ein anderes Mal.
str_npc11_intro_response_2|Verzeiht, ich muss eilen.
str_npc12_intro_response_2|Nehmt Euer Gewürm und verschwindet, Blutsauger!
str_npc13_intro_response_2|Ich habe keine Zeit für die Spielereien der Wahrsager. Lebt wohl.
str_npc14_intro_response_2|Entschuldigt, ich habe keine Zeit zu reden. Euch einen guten Abend...
str_npc15_intro_response_2|Nein, durchaus nicht! Ich will eben aufbrechen...
